gameId,season,week,team,opponent,offense_passingPlays_explosiveness,offense_passingPlays_successRate,offense_passingPlays_totalPPA,offense_passingPlays_ppa,offense_rushingPlays_explosiveness,offense_rushingPlays_successRate,offense_rushingPlays_totalPPA,offense_rushingPlays_ppa,offense_passingDowns_explosiveness,offense_passingDowns_successRate,offense_passingDowns_ppa,offense_standardDowns_explosiveness,offense_standardDowns_successRate,offense_standardDowns_ppa,offense_openFieldYardsTotal,offense_openFieldYards,offense_secondLevelYardsTotal,offense_secondLevelYards,offense_lineYardsTotal,offense_lineYards,offense_stuffRate,offense_powerSuccess,offense_explosiveness,offense_successRate,offense_totalPPA,offense_ppa,offense_drives,offense_plays,defense_passingPlays_explosiveness,defense_passingPlays_successRate,defense_passingPlays_totalPPA,defense_passingPlays_ppa,defense_rushingPlays_explosiveness,defense_rushingPlays_successRate,defense_rushingPlays_totalPPA,defense_rushingPlays_ppa,defense_passingDowns_explosiveness,defense_passingDowns_successRate,defense_passingDowns_ppa,defense_standardDowns_explosiveness,defense_standardDowns_successRate,defense_standardDowns_ppa,defense_openFieldYardsTotal,defense_openFieldYards,defense_secondLevelYardsTotal,defense_secondLevelYards,defense_lineYardsTotal,defense_lineYards,defense_stuffRate,defense_powerSuccess,defense_explosiveness,defense_successRate,defense_totalPPA,defense_ppa,defense_drives,defense_plays
282410024,2008,1,Oregon State,Stanford,0.960348703927988,0.5185185185185185,13.812269179570594,0.2557827625846406,0.7429480569871585,0.375,-0.0184599846174465,-0.0007691660257269375,1.3418826025857498,0.4827586206896552,0.40509716175457633,0.5353389204609978,0.4807692307692308,-0.020501358800259342,3,0.125,28,1.1666666666666667,71,2.95,0.16666666666666666,0.0,0.8248674217365498,0.48148148148148145,10.681747033269227,0.13187342016381762,13,81,1.506781283352091,0.23529411764705882,-2.8544096976032063,-0.1679064528001886,1.0834519285178987,0.3181818181818182,4.178876537422975,0.09497446675961306,2.7114213787991495,0.15789473684210525,0.11985887650424881,0.7549769667731429,0.38636363636363635,-0.026805258519977934,38,0.8636363636363636,34,0.7727272727272727,107,2.4363636363636365,0.18181818181818182,1.0,1.0484436285770438,0.31746031746031744,1.0978872787016982,0.01742678220161426,13,63
282410024,2008,1,Stanford,Oregon State,1.506781283352091,0.23529411764705882,-2.8544096976032063,-0.1679064528001886,1.0834519285178987,0.3181818181818182,4.178876537422975,0.09497446675961306,2.7114213787991495,0.15789473684210525,0.11985887650424881,0.7549769667731429,0.38636363636363635,-0.026805258519977934,38,0.8636363636363636,34,0.7727272727272727,107,2.4363636363636365,0.18181818181818182,1.0,1.0484436285770438,0.31746031746031744,1.0978872787016982,0.01742678220161426,13,63,0.960348703927988,0.5185185185185185,13.812269179570594,0.2557827625846406,0.7429480569871585,0.375,-0.0184599846174465,-0.0007691660257269375,1.3418826025857498,0.4827586206896552,0.40509716175457633,0.5353389204609978,0.4807692307692308,-0.020501358800259342,3,0.125,28,1.1666666666666667,71,2.95,0.16666666666666666,0.0,0.8248674217365498,0.48148148148148145,10.681747033269227,0.13187342016381762,13,81
282410041,2008,1,Hofstra,UConn,1.4205230092206949,0.3142857142857143,-8.283735949722717,-0.23667816999207764,0.4475515744671852,0.3333333333333333,-1.3726508275358924,-0.06536432512075678,1.783399166313919,0.30434782608695654,0.19792991354504985,0.49280404421974794,0.35294117647058826,-0.42852782990171434,7,0.3333333333333333,20,0.9523809523809523,66,3.1476190476190475,0.09523809523809523,1.0,0.9682864576228636,0.3333333333333333,-10.017558205122143,-0.17574663517758143,12,57,0.6930239724091555,0.6129032258064516,1.8537222197981398,0.05979749096123031,0.6927114421059984,0.5675675675675675,5.063529762075192,0.13685215573176193,2.0391890792529805,0.46153846153846156,0.49499255648517565,0.45527239072006,0.6181818181818182,0.008769977228473608,39,1.0540540540540542,52,1.4054054054054055,134,3.608108108108108,0.16216216216216217,0.6,0.692859893999998,0.5882352941176471,6.917251981873331,0.10172429385107841,11,68
282410041,2008,1,UConn,Hofstra,0.6930239724091555,0.6129032258064516,1.8537222197981398,0.05979749096123031,0.6927114421059984,0.5675675675675675,5.063529762075192,0.13685215573176193,2.0391890792529805,0.46153846153846156,0.49499255648517565,0.45527239072006,0.6181818181818182,0.008769977228473608,39,1.0540540540540542,52,1.4054054054054055,134,3.608108108108108,0.16216216216216217,0.6,0.692859893999998,0.5882352941176471,6.917251981873331,0.10172429385107841,11,68,1.4205230092206949,0.3142857142857143,-8.283735949722717,-0.23667816999207764,0.4475515744671852,0.3333333333333333,-1.3726508275358924,-0.06536432512075678,1.783399166313919,0.30434782608695654,0.19792991354504985,0.49280404421974794,0.35294117647058826,-0.42852782990171434,7,0.3333333333333333,20,0.9523809523809523,66,3.1476190476190475,0.09523809523809523,1.0,0.9682864576228636,0.3333333333333333,-10.017558205122143,-0.17574663517758143,12,57
282410059,2008,1,Georgia Tech,Jacksonville State,1.6393278105034574,0.4117647058823529,4.690221170657179,0.2758953629798341,1.1757432458387622,0.39473684210526316,3.5362203468012856,0.0930584301789812,2.5517769449812957,0.2857142857142857,0.5067313016525056,1.0502408656211362,0.43902439024390244,0.027614714495692368,105,2.763157894736842,48,1.263157894736842,115,3.013157894736842,0.23684210526315788,0.3333333333333333,1.3232474255048017,0.4,8.226441517458465,0.14957166395379026,13,55,0.6456895631601647,0.2564102564102564,-10.870373680440883,-0.27872753026771496,0.9676522408664654,0.48148148148148145,6.155890179876591,0.22799593258802192,0.8520515547094646,0.2727272727272727,0.14390086263266139,0.8190626726240534,0.38636363636363635,-0.17909778360188278,8,0.2962962962962963,42,1.5555555555555556,106,3.937037037037037,0.14814814814814814,0.5,0.8276684679506825,0.3484848484848485,-4.714483500564291,-0.07143156819036804,13,66
282410059,2008,1,Jacksonville State,Georgia Tech,0.6456895631601647,0.2564102564102564,-10.870373680440883,-0.27872753026771496,0.9676522408664654,0.48148148148148145,6.155890179876591,0.22799593258802192,0.8520515547094646,0.2727272727272727,0.14390086263266139,0.8190626726240534,0.38636363636363635,-0.17909778360188278,8,0.2962962962962963,42,1.5555555555555556,106,3.937037037037037,0.14814814814814814,0.5,0.8276684679506825,0.3484848484848485,-4.714483500564291,-0.07143156819036804,13,66,1.6393278105034574,0.4117647058823529,4.690221170657179,0.2758953629798341,1.1757432458387622,0.39473684210526316,3.5362203468012856,0.0930584301789812,2.5517769449812957,0.2857142857142857,0.5067313016525056,1.0502408656211362,0.43902439024390244,0.027614714495692368,105,2.763157894736842,48,1.263157894736842,115,3.013157894736842,0.23684210526315788,0.3333333333333333,1.3232474255048017,0.4,8.226441517458465,0.14957166395379026,13,55
282410066,2008,1,Iowa State,South Dakota State,1.2657333964366795,0.6111111111111112,9.769307237153194,0.5427392909529553,0.6059654518765043,0.4634146341463415,1.13029613301264,0.02756819836616195,1.725324480581649,0.47058823529411764,0.694580981814386,0.4032050155285354,0.5555555555555556,-0.054710289650426853,17,0.4146341463414634,47,1.146341463414634,126,3.0707317073170732,0.1951219512195122,0.75,0.723718825238381,0.532258064516129,9.345913656575354,0.15074054284798957,10,62,0.3099861817452992,0.4594594594594595,-6.756083071257083,-0.18259683976370494,0.6709091653765645,0.44,2.1526927707151455,0.08610771082860581,0.8151202445612188,0.3333333333333333,0.09438269525025211,0.2959125845812847,0.5238095238095238,-0.16712557706887463,12,0.48,21,0.84,83,3.308,0.12,0.6666666666666666,0.42123857147299293,0.4603174603174603,-5.03723763663744,-0.07995615296249904,12,63
282410066,2008,1,South Dakota State,Iowa State,0.3099861817452992,0.4594594594594595,-6.756083071257083,-0.18259683976370494,0.6709091653765645,0.44,2.1526927707151455,0.08610771082860581,0.8151202445612188,0.3333333333333333,0.09438269525025211,0.2959125845812847,0.5238095238095238,-0.16712557706887463,12,0.48,21,0.84,83,3.308,0.12,0.6666666666666666,0.42123857147299293,0.4603174603174603,-5.03723763663744,-0.07995615296249904,12,63,1.2657333964366795,0.6111111111111112,9.769307237153194,0.5427392909529553,0.6059654518765043,0.4634146341463415,1.13029613301264,0.02756819836616195,1.725324480581649,0.47058823529411764,0.694580981814386,0.4032050155285354,0.5555555555555556,-0.054710289650426853,17,0.4146341463414634,47,1.146341463414634,126,3.0707317073170732,0.1951219512195122,0.75,0.723718825238381,0.532258064516129,9.345913656575354,0.15074054284798957,10,62
282410193,2008,1,Miami (OH),Vanderbilt,1.1689703032063088,0.3181818181818182,-5.2945348652123405,-0.12033033784573502,1.087722331248885,0.36363636363636365,1.725937129787548,0.07845168771761582,0.6594067927233433,0.2,-0.004013923724544422,1.0642307184071025,0.4166666666666667,-0.09653001284953933,30,1.3636363636363635,28,1.2727272727272727,71,3.231818181818182,0.22727272727272727,0.25,0.9967600641264759,0.35294117647058826,-4.713719091268776,-0.06931939840101141,13,68,1.474781504907516,0.29411764705882354,-0.21907515094140656,-0.012886773584788621,1.1359944164639884,0.4318181818181818,3.568377164753337,0.0810994810171213,1.3855912091155242,0.2777777777777778,0.10194926010230329,1.0626815780267782,0.4666666666666667,0.04001517952793501,110,2.5,62,1.4090909090909092,117,2.668181818181818,0.29545454545454547,0.2,1.1247795840053831,0.4126984126984127,3.6357697605985346,0.057710631120611665,13,63
282410193,2008,1,Vanderbilt,Miami (OH),1.474781504907516,0.29411764705882354,-0.21907515094140656,-0.012886773584788621,1.1359944164639884,0.4318181818181818,3.568377164753337,0.0810994810171213,1.3855912091155242,0.2777777777777778,0.10194926010230329,1.0626815780267782,0.4666666666666667,0.04001517952793501,110,2.5,62,1.4090909090909092,117,2.668181818181818,0.29545454545454547,0.2,1.1247795840053831,0.4126984126984127,3.6357697605985346,0.057710631120611665,13,63,1.1689703032063088,0.3181818181818182,-5.2945348652123405,-0.12033033784573502,1.087722331248885,0.36363636363636365,1.725937129787548,0.07845168771761582,0.6594067927233433,0.2,-0.004013923724544422,1.0642307184071025,0.4166666666666667,-0.09653001284953933,30,1.3636363636363635,28,1.2727272727272727,71,3.231818181818182,0.22727272727272727,0.25,0.9967600641264759,0.35294117647058826,-4.713719091268776,-0.06931939840101141,13,68
