offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
California,Pac-10,Kansas State,Big 12,232352306,23235230601,1,False,1,81,81,"{'seconds': 52, 'minutes': 14}",1,86,86,"{'seconds': 49, 'minutes': 13}",3,-5,PUNT,False,0,0,0,0
Kansas State,Big 12,California,Pac-10,232352306,23235230602,2,True,1,41,59,"{'seconds': 49, 'minutes': 13}",1,100,0,"{'seconds': 45, 'minutes': 12}",4,59,RUSHING TD,True,0,0,7,0
California,Pac-10,Kansas State,Big 12,232352306,23235230603,3,False,1,0,0,"{'seconds': 45, 'minutes': 12}",1,77,77,"{'seconds': 39, 'minutes': 12}",1,0,KICKOFF,False,0,7,0,7
California,Pac-10,Kansas State,Big 12,232352306,23235230604,4,True,1,77,77,"{'seconds': 39, 'minutes': 12}",1,0,0,"{'seconds': 39, 'minutes': 10}",7,77,PASSING TD,False,0,7,7,7
Kansas State,Big 12,California,Pac-10,232352306,23235230605,5,False,1,0,100,"{'seconds': 39, 'minutes': 10}",1,25,75,"{'seconds': 32, 'minutes': 10}",1,0,KICKOFF,True,7,7,7,7
Kansas State,Big 12,California,Pac-10,232352306,23235230606,6,True,1,25,75,"{'seconds': 32, 'minutes': 10}",1,96,4,"{'seconds': 29, 'minutes': 6}",8,71,MADE FG,True,7,7,10,7
California,Pac-10,Kansas State,Big 12,232352306,23235230607,7,False,1,0,0,"{'seconds': 29, 'minutes': 6}",1,80,80,"{'seconds': 23, 'minutes': 6}",1,0,KICKOFF,False,7,10,7,10
California,Pac-10,Kansas State,Big 12,232352306,23235230608,8,False,1,80,80,"{'seconds': 23, 'minutes': 6}",1,31,31,"{'seconds': 46, 'minutes': 2}",9,49,RUSH,False,7,10,7,10
Sacramento State,Big Sky,Oregon State,Pac-10,232400204,23240020401,1,False,1,80,80,"{'seconds': 55, 'minutes': 14}",1,25,25,"{'seconds': 38, 'minutes': 9}",13,55,MISSED FG,False,0,0,0,0
Oregon State,Pac-10,Sacramento State,Big Sky,232400204,23240020402,2,True,1,25,75,"{'seconds': 38, 'minutes': 9}",1,78,22,"{'seconds': 45, 'minutes': 4}",10,53,MADE FG,True,0,0,3,0
Sacramento State,Big Sky,Oregon State,Pac-10,232400204,23240020403,3,False,1,0,0,"{'seconds': 45, 'minutes': 4}",1,80,80,"{'seconds': 20, 'minutes': 3}",1,0,KICKOFF,False,0,3,0,3
Sacramento State,Big Sky,Oregon State,Pac-10,232400204,23240020404,4,False,1,80,80,"{'seconds': 20, 'minutes': 3}",1,53,53,"{'seconds': 15, 'minutes': 3}",4,27,PUNT,False,0,3,0,3
Oregon State,Pac-10,Sacramento State,Big Sky,232400204,23240020405,5,False,1,13,87,"{'seconds': 15, 'minutes': 3}",1,28,72,"{'seconds': 5, 'minutes': 1}",6,15,PUNT,True,3,0,3,0
Sacramento State,Big Sky,Oregon State,Pac-10,232400204,23240020406,6,False,1,88,88,"{'seconds': 5, 'minutes': 1}",2,89,89,"{'seconds': 35, 'minutes': 14}",3,-1,PUNT,False,0,3,0,3
