offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000916,1,False,0,56,44,"{'seconds': 0, 'minutes': 0}",3,45,55,"{'seconds': 1, 'minutes': 9}",4,13,PUNT,True,14,14,14,14
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000901,2,False,1,20,80,"{'seconds': 48, 'minutes': 14}",1,83,17,"{'seconds': 45, 'minutes': 12}",5,63,INT,True,0,0,0,0
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000902,3,False,1,80,80,"{'seconds': 45, 'minutes': 12}",1,96,96,"{'seconds': 51, 'minutes': 9}",4,-16,TURNOVER ON DOWNS,False,0,0,0,0
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000903,4,False,1,96,4,"{'seconds': 51, 'minutes': 9}",1,98,2,"{'seconds': 7, 'minutes': 8}",4,2,TURNOVER ON DOWNS,True,0,0,0,0
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000904,5,True,1,98,98,"{'seconds': 7, 'minutes': 8}",1,0,0,"{'seconds': 18, 'minutes': 5}",5,98,PASSING TD,False,0,0,7,0
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000905,6,False,1,20,80,"{'seconds': 18, 'minutes': 5}",1,36,64,"{'seconds': 32, 'minutes': 2}",6,16,PUNT,True,0,7,0,7
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000906,7,False,1,84,84,"{'seconds': 32, 'minutes': 2}",1,67,67,"{'seconds': 17, 'minutes': 0}",5,17,PUNT,False,7,0,7,0
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000907,8,True,1,44,56,"{'seconds': 17, 'minutes': 0}",2,100,0,"{'seconds': 21, 'minutes': 13}",7,56,PASSING TD,True,0,7,7,7
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000908,9,False,2,56,56,"{'seconds': 21, 'minutes': 13}",2,23,23,"{'seconds': 52, 'minutes': 7}",10,33,FG MISSED,False,7,7,7,7
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000909,10,False,2,23,77,"{'seconds': 52, 'minutes': 7}",2,21,79,"{'seconds': 1, 'minutes': 7}",3,-2,PUNT,True,7,7,7,7
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000910,11,True,2,60,60,"{'seconds': 1, 'minutes': 7}",2,0,0,"{'seconds': 2, 'minutes': 6}",2,60,PASSING TD,False,7,7,14,7
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000911,12,False,2,20,80,"{'seconds': 2, 'minutes': 6}",2,32,68,"{'seconds': 42, 'minutes': 3}",4,12,PUNT,True,7,14,7,14
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000912,13,False,2,79,79,"{'seconds': 42, 'minutes': 3}",2,53,53,"{'seconds': 43, 'minutes': 1}",6,26,PUNT,False,14,7,14,7
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000913,14,True,2,39,61,"{'seconds': 43, 'minutes': 1}",2,100,0,"{'seconds': 2, 'minutes': 1}",3,61,PASSING TD,True,7,14,14,14
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000914,15,False,2,80,80,"{'seconds': 2, 'minutes': 1}",2,72,72,"{'seconds': 0, 'minutes': 0}",1,8,END OF HALF,False,14,14,14,14
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000917,16,False,3,85,85,"{'seconds': 1, 'minutes': 9}",3,54,54,"{'seconds': 31, 'minutes': 3}",8,31,PUNT,False,14,14,14,14
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000918,17,False,3,27,73,"{'seconds': 31, 'minutes': 3}",3,67,33,"{'seconds': 40, 'minutes': 0}",5,40,FUMBLE,True,14,14,14,14
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000919,18,True,3,82,82,"{'seconds': 40, 'minutes': 0}",4,85,85,"{'seconds': 50, 'minutes': 14}",2,-3,INT,False,14,14,14,20
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000920,19,True,4,97,3,"{'seconds': 50, 'minutes': 14}",4,100,0,"{'seconds': 44, 'minutes': 14}",1,35,INT RETURN TOUCH,True,21,14,21,14
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000921,20,False,4,80,80,"{'seconds': 44, 'minutes': 14}",4,85,85,"{'seconds': 53, 'minutes': 12}",2,-5,PUNT,False,14,21,14,21
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000922,21,True,4,42,58,"{'seconds': 53, 'minutes': 12}",4,100,0,"{'seconds': 42, 'minutes': 11}",3,58,RUSHING TD,True,21,14,28,14
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000923,22,False,4,80,80,"{'seconds': 42, 'minutes': 11}",4,75,75,"{'seconds': 17, 'minutes': 10}",3,5,PUNT,False,14,28,14,28
Arizona State,Pac-10,Northern Arizona,Big Sky,262430009,26243000924,23,True,4,9,91,"{'seconds': 17, 'minutes': 10}",4,100,0,"{'seconds': 18, 'minutes': 3}",14,91,RUSHING TD,True,28,14,35,14
Northern Arizona,Big Sky,Arizona State,Pac-10,262430009,26243000925,24,False,4,80,80,"{'seconds': 18, 'minutes': 3}",4,65,65,"{'seconds': 0, 'minutes': 0}",5,15,END OF GAME,False,14,35,14,35
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002101,1,False,1,80,80,"{'seconds': 56, 'minutes': 14}",1,19,19,"{'seconds': 19, 'minutes': 11}",8,61,FG MISSED,False,0,0,0,0
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002102,2,False,1,28,72,"{'seconds': 19, 'minutes': 11}",1,72,28,"{'seconds': 20, 'minutes': 6}",10,52,FG GOOD,True,0,0,3,0
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002103,3,False,1,39,39,"{'seconds': 20, 'minutes': 6}",1,71,71,"{'seconds': 12, 'minutes': 5}",3,5,PUNT,False,0,0,0,3
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002104,4,False,1,37,63,"{'seconds': 12, 'minutes': 5}",1,66,34,"{'seconds': 42, 'minutes': 0}",10,29,FG MISSED,True,3,0,3,0
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002105,5,False,1,66,66,"{'seconds': 42, 'minutes': 0}",1,66,66,"{'seconds': 10, 'minutes': 0}",3,0,INT,False,0,3,0,3
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002106,6,False,1,41,59,"{'seconds': 10, 'minutes': 0}",2,71,29,"{'seconds': 1, 'minutes': 13}",5,30,FG MISSED,True,3,0,3,0
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002107,7,True,2,71,71,"{'seconds': 1, 'minutes': 13}",2,0,0,"{'seconds': 42, 'minutes': 11}",4,71,PASSING TD,False,0,3,7,3
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002108,8,False,2,25,75,"{'seconds': 42, 'minutes': 11}",2,17,83,"{'seconds': 3, 'minutes': 9}",3,-8,PUNT,True,3,7,3,7
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002109,9,True,2,36,36,"{'seconds': 3, 'minutes': 9}",2,0,0,"{'seconds': 40, 'minutes': 7}",3,36,RUSHING TD,False,7,3,14,3
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002110,10,False,2,24,76,"{'seconds': 40, 'minutes': 7}",2,44,56,"{'seconds': 2, 'minutes': 4}",6,20,PUNT,True,3,14,3,14
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002111,11,False,2,61,61,"{'seconds': 2, 'minutes': 4}",2,53,53,"{'seconds': 35, 'minutes': 1}",3,8,PUNT,False,14,3,14,3
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002112,12,False,2,21,79,"{'seconds': 35, 'minutes': 1}",2,33,67,"{'seconds': 0, 'minutes': 0}",4,12,END OF HALF,True,3,14,3,14
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002113,13,False,3,28,72,"{'seconds': 53, 'minutes': 14}",3,41,59,"{'seconds': 21, 'minutes': 12}",4,13,INT,True,3,14,3,14
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002114,14,True,3,41,41,"{'seconds': 21, 'minutes': 12}",3,0,0,"{'seconds': 52, 'minutes': 9}",9,41,PASSING TD,False,14,3,20,3
San Diego State,Mountain West,UTEP,Conference USA,262430021,26243002115,15,True,3,22,78,"{'seconds': 52, 'minutes': 9}",3,2,98,"{'seconds': 29, 'minutes': 8}",3,-20,FUMBLE,True,3,20,3,27
UTEP,Conference USA,San Diego State,Mountain West,262430021,26243002116,16,True,3,3,3,"{'seconds': 29, 'minutes': 8}",3,2,2,"{'seconds': 21, 'minutes': 8}",1,2,FUMBLE RETURN TD,False,27,3,27,3
