offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Alabama,SEC,Miami,ACC,401281942,4012819421,1,True,1,75,75,"{'seconds': 0, 'minutes': 15}",1,0,0,"{'seconds': 7, 'minutes': 12}",7,75,TD,False,0,0,7,0
Miami,ACC,Alabama,SEC,401281942,4012819422,2,False,1,25,75,"{'seconds': 7, 'minutes': 12}",1,42,58,"{'seconds': 44, 'minutes': 9}",5,17,PUNT,True,0,7,0,7
Alabama,SEC,Miami,ACC,401281942,4012819423,3,True,1,75,75,"{'seconds': 44, 'minutes': 9}",1,20,20,"{'seconds': 39, 'minutes': 4}",11,55,FG,False,7,0,10,0
Miami,ACC,Alabama,SEC,401281942,4012819424,4,False,1,25,75,"{'seconds': 39, 'minutes': 4}",1,33,67,"{'seconds': 44, 'minutes': 2}",3,8,PUNT,True,0,10,0,10
Alabama,SEC,Miami,ACC,401281942,4012819425,5,True,1,80,80,"{'seconds': 44, 'minutes': 2}",2,0,0,"{'seconds': 12, 'minutes': 14}",10,80,TD,False,10,0,17,0
Miami,ACC,Alabama,SEC,401281942,4012819426,6,False,2,25,75,"{'seconds': 12, 'minutes': 14}",2,36,64,"{'seconds': 49, 'minutes': 13}",2,8,FUMBLE,True,0,17,0,17
Alabama,SEC,Miami,ACC,401281942,4012819427,7,True,2,33,33,"{'seconds': 49, 'minutes': 13}",2,33,33,"{'seconds': 33, 'minutes': 11}",4,0,FG,False,17,0,20,0
Miami,ACC,Alabama,SEC,401281942,4012819428,8,False,2,25,75,"{'seconds': 33, 'minutes': 11}",2,30,70,"{'seconds': 26, 'minutes': 9}",3,5,PUNT,True,0,20,0,20
Alabama,SEC,Miami,ACC,401281942,4012819429,9,True,2,74,74,"{'seconds': 26, 'minutes': 9}",2,0,0,"{'seconds': 55, 'minutes': 6}",7,74,TD,False,20,0,27,0
Miami,ACC,Alabama,SEC,401281942,40128194210,10,False,2,30,70,"{'seconds': 55, 'minutes': 6}",2,44,56,"{'seconds': 2, 'minutes': 4}",5,14,PUNT,True,0,27,0,27
Alabama,SEC,Miami,ACC,401281942,40128194211,11,False,2,73,73,"{'seconds': 2, 'minutes': 4}",2,56,56,"{'seconds': 57, 'minutes': 1}",5,17,PUNT,False,27,0,27,0
Miami,ACC,Alabama,SEC,401281942,40128194212,12,True,2,20,80,"{'seconds': 57, 'minutes': 1}",2,35,65,"{'seconds': 0, 'minutes': 0}",11,60,END OF HALF,True,0,27,3,27
Miami,ACC,Alabama,SEC,401281942,40128194213,13,False,3,25,75,"{'seconds': 0, 'minutes': 15}",3,99,1,"{'seconds': 19, 'minutes': 10}",14,74,DOWNS,True,3,27,3,27
Alabama,SEC,Miami,ACC,401281942,40128194214,14,True,3,99,99,"{'seconds': 19, 'minutes': 10}",3,0,0,"{'seconds': 29, 'minutes': 9}",3,99,TD,False,27,3,34,3
Miami,ACC,Alabama,SEC,401281942,40128194215,15,False,3,25,75,"{'seconds': 29, 'minutes': 9}",3,25,75,"{'seconds': 17, 'minutes': 9}",2,0,INT,True,3,34,3,34
Alabama,SEC,Miami,ACC,401281942,40128194216,16,True,3,45,45,"{'seconds': 17, 'minutes': 9}",3,0,0,"{'seconds': 1, 'minutes': 7}",5,45,TD,False,34,3,41,3
Miami,ACC,Alabama,SEC,401281942,40128194217,17,True,3,25,75,"{'seconds': 1, 'minutes': 7}",3,100,0,"{'seconds': 18, 'minutes': 5}",7,75,TD,True,3,41,10,41
Alabama,SEC,Miami,ACC,401281942,40128194218,18,False,3,79,79,"{'seconds': 18, 'minutes': 5}",3,66,66,"{'seconds': 19, 'minutes': 3}",5,4,FUMBLE,False,41,10,41,10
Miami,ACC,Alabama,SEC,401281942,40128194219,19,True,3,75,25,"{'seconds': 19, 'minutes': 3}",3,89,11,"{'seconds': 30, 'minutes': 0}",8,14,FG,True,10,41,13,41
Alabama,SEC,Miami,ACC,401281942,40128194220,20,True,3,75,75,"{'seconds': 30, 'minutes': 0}",4,22,22,"{'seconds': 52, 'minutes': 7}",13,53,FG,False,41,13,44,13
Miami,ACC,Alabama,SEC,401281942,40128194221,21,False,4,35,65,"{'seconds': 52, 'minutes': 7}",4,35,65,"{'seconds': 37, 'minutes': 7}",1,0,INT,True,13,44,13,44
Alabama,SEC,Miami,ACC,401281942,40128194222,22,False,4,48,48,"{'seconds': 37, 'minutes': 7}",4,47,47,"{'seconds': 21, 'minutes': 5}",3,1,PUNT,False,44,13,44,13
Miami,ACC,Alabama,SEC,401281942,40128194223,23,False,4,21,79,"{'seconds': 21, 'minutes': 5}",4,20,80,"{'seconds': 58, 'minutes': 3}",3,-1,PUNT,True,13,44,13,44
Alabama,SEC,Miami,ACC,401281942,40128194224,24,False,4,78,78,"{'seconds': 58, 'minutes': 3}",4,43,43,"{'seconds': 15, 'minutes': 0}",7,28,DOWNS,False,44,13,44,13
Miami,ACC,Alabama,SEC,401281942,40128194225,25,False,4,50,50,"{'seconds': 15, 'minutes': 0}",4,32,68,"{'seconds': 0, 'minutes': 0}",1,18,END OF GAME,True,13,44,13,44
Arkansas,SEC,Rice,Conference USA,401281943,-53,1,False,1,28,72,"{'seconds': 0, 'minutes': 38}",1,34,66,"{'seconds': 0, 'minutes': 46}",4,6,PUNT,True,0,0,0,0
Rice,Conference USA,Arkansas,SEC,401281943,-54,2,False,1,77,77,"{'seconds': 0, 'minutes': 40}",1,49,49,"{'seconds': 0, 'minutes': 1}",6,28,PUNT,False,0,0,0,0
Arkansas,SEC,Rice,Conference USA,401281943,-55,3,False,1,20,80,"{'seconds': 0, 'minutes': 55}",1,66,34,"{'seconds': 0, 'minutes': 36}",8,80,RUSHING TD,True,0,0,7,0
Rice,Conference USA,Arkansas,SEC,401281943,-56,4,False,1,75,75,"{'seconds': 0, 'minutes': 23}",1,55,55,"{'seconds': 0, 'minutes': 13}",7,24,PUNT,False,0,7,0,7
Arkansas,SEC,Rice,Conference USA,401281943,-57,5,False,1,17,83,"{'seconds': 0, 'minutes': 41}",1,11,89,"{'seconds': 0, 'minutes': 38}",5,10,PUNT,True,7,0,7,0
Rice,Conference USA,Arkansas,SEC,401281943,-58,6,False,1,60,60,"{'seconds': 0, 'minutes': 30}",1,18,18,"{'seconds': 0, 'minutes': 30}",8,22,FG MISSED,False,0,7,0,7
Arkansas,SEC,Rice,Conference USA,401281943,-59,7,False,1,20,80,"{'seconds': 0, 'minutes': 21}",2,24,76,"{'seconds': 0, 'minutes': 0}",6,4,BLOCKED PUNT,True,7,0,7,0
Rice,Conference USA,Arkansas,SEC,401281943,-60,8,False,2,21,21,"{'seconds': 0, 'minutes': 54}",2,7,7,"{'seconds': 0, 'minutes': 5}",7,21,FG GOOD,False,0,7,3,7
Arkansas,SEC,Rice,Conference USA,401281943,-61,9,False,2,23,77,"{'seconds': 0, 'minutes': 50}",2,46,54,"{'seconds': 0, 'minutes': 55}",6,23,Uncategorized,True,7,3,7,3
Rice,Conference USA,Arkansas,SEC,401281943,-62,10,False,2,49,49,"{'seconds': 0, 'minutes': 45}",2,52,52,"{'seconds': 0, 'minutes': 8}",5,-3,PUNT,False,3,7,3,7
Arkansas,SEC,Rice,Conference USA,401281943,-63,11,False,2,10,90,"{'seconds': 0, 'minutes': 57}",2,16,84,"{'seconds': 0, 'minutes': 49}",4,6,PUNT,True,7,3,7,3
Rice,Conference USA,Arkansas,SEC,401281943,-64,12,False,2,41,41,"{'seconds': 0, 'minutes': 40}",2,1,1,"{'seconds': 0, 'minutes': 28}",9,41,RUSHING TD,False,3,7,10,7
Arkansas,SEC,Rice,Conference USA,401281943,-65,13,False,2,21,79,"{'seconds': 0, 'minutes': 12}",2,14,86,"{'seconds': 0, 'minutes': 27}",6,-7,PUNT,True,7,10,7,10
Rice,Conference USA,Arkansas,SEC,401281943,-66,14,False,2,54,54,"{'seconds': 0, 'minutes': 16}",2,49,49,"{'seconds': 0, 'minutes': 46}",5,5,PUNT,False,10,7,10,7
Arkansas,SEC,Rice,Conference USA,401281943,-67,15,False,2,20,80,"{'seconds': 0, 'minutes': 37}",2,27,73,"{'seconds': 0, 'minutes': 0}",3,7,END OF HALF TD,True,7,10,7,10
Rice,Conference USA,Arkansas,SEC,401281943,-68,16,False,3,75,75,"{'seconds': 0, 'minutes': 0}",3,59,59,"{'seconds': 0, 'minutes': 24}",6,16,PUNT,False,10,7,10,7
Arkansas,SEC,Rice,Conference USA,401281943,-69,17,False,3,42,58,"{'seconds': 0, 'minutes': 15}",3,55,45,"{'seconds': 0, 'minutes': 30}",5,14,Uncategorized,True,7,10,7,10
Rice,Conference USA,Arkansas,SEC,401281943,-70,18,False,3,56,56,"{'seconds': 0, 'minutes': 16}",3,41,41,"{'seconds': 0, 'minutes': 36}",2,56,PASSING TD,False,10,7,17,7
Arkansas,SEC,Rice,Conference USA,401281943,-71,19,False,3,43,57,"{'seconds': 0, 'minutes': 21}",3,95,5,"{'seconds': 0, 'minutes': 26}",6,57,RUSHING TD,True,7,17,14,17
Rice,Conference USA,Arkansas,SEC,401281943,-72,20,False,3,75,75,"{'seconds': 0, 'minutes': 11}",3,18,18,"{'seconds': 0, 'minutes': 12}",8,56,Uncategorized,False,17,14,17,14
Arkansas,SEC,Rice,Conference USA,401281943,-73,21,False,3,19,81,"{'seconds': 0, 'minutes': 42}",3,84,16,"{'seconds': 0, 'minutes': 24}",11,99,FG GOOD,True,14,17,17,17
Rice,Conference USA,Arkansas,SEC,401281943,-74,22,False,3,81,81,"{'seconds': 0, 'minutes': 13}",4,69,69,"{'seconds': 0, 'minutes': 1}",7,51,INT,False,17,17,17,17
Arkansas,SEC,Rice,Conference USA,401281943,-75,23,False,4,91,9,"{'seconds': 0, 'minutes': 55}",4,98,2,"{'seconds': 0, 'minutes': 13}",6,9,RUSHING TD,True,17,17,24,17
Rice,Conference USA,Arkansas,SEC,401281943,-76,24,False,4,75,75,"{'seconds': 0, 'minutes': 44}",4,54,54,"{'seconds': 0, 'minutes': 20}",5,26,INT,False,17,24,17,24
Arkansas,SEC,Rice,Conference USA,401281943,-77,25,False,4,50,50,"{'seconds': 0, 'minutes': 13}",4,58,42,"{'seconds': 0, 'minutes': 50}",4,8,PUNT,True,24,17,24,17
Rice,Conference USA,Arkansas,SEC,401281943,-78,26,False,4,95,95,"{'seconds': 0, 'minutes': 42}",4,75,75,"{'seconds': 0, 'minutes': 1}",9,20,PUNT,False,17,24,17,24
