offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Arizona State,Pac-10,Temple,FBS Independents,252440009,25244000901,1,False,1,20,80,"{'seconds': 0, 'minutes': 15}",1,12,88,"{'seconds': 46, 'minutes': 13}",3,-8,PUNT,True,0,0,0,0
Temple,FBS Independents,Arizona State,Pac-10,252440009,25244000902,2,False,1,54,54,"{'seconds': 46, 'minutes': 13}",1,46,46,"{'seconds': 55, 'minutes': 10}",5,8,PUNT,False,0,0,0,0
Arizona State,Pac-10,Temple,FBS Independents,252440009,25244000903,3,True,1,19,81,"{'seconds': 55, 'minutes': 10}",1,100,0,"{'seconds': 56, 'minutes': 5}",14,81,RUSHING TD,True,0,0,7,0
Temple,FBS Independents,Arizona State,Pac-10,252440009,25244000904,4,False,1,80,80,"{'seconds': 56, 'minutes': 5}",1,43,43,"{'seconds': 46, 'minutes': 2}",7,37,PUNT,False,0,7,0,7
Arizona State,Pac-10,Temple,FBS Independents,252440009,25244000905,5,True,1,15,85,"{'seconds': 46, 'minutes': 2}",1,100,0,"{'seconds': 13, 'minutes': 0}",7,85,PASSING TD,True,7,0,14,0
Temple,FBS Independents,Arizona State,Pac-10,252440009,25244000906,6,False,1,80,80,"{'seconds': 13, 'minutes': 0}",2,52,52,"{'seconds': 37, 'minutes': 10}",9,28,PUNT,False,0,14,0,14
Arizona State,Pac-10,Temple,FBS Independents,252440009,25244000907,7,True,2,8,92,"{'seconds': 37, 'minutes': 10}",2,0,100,"{'seconds': 4, 'minutes': 10}",1,-16,SF,True,14,2,14,2
Temple,FBS Independents,Arizona State,Pac-10,252440009,25244000908,8,False,2,76,76,"{'seconds': 4, 'minutes': 10}",2,65,65,"{'seconds': 33, 'minutes': 8}",4,11,INT,False,2,14,2,14
Arizona State,Pac-10,Temple,FBS Independents,252440009,25244000909,9,True,2,70,30,"{'seconds': 33, 'minutes': 8}",2,100,0,"{'seconds': 20, 'minutes': 7}",5,30,PASSING TD,True,14,2,21,2
Temple,FBS Independents,Arizona State,Pac-10,252440009,25244000910,10,False,2,80,80,"{'seconds': 20, 'minutes': 7}",2,80,80,"{'seconds': 18, 'minutes': 6}",3,0,PUNT,False,2,21,2,21
