offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Iowa State,Big 12,North Dakota State,MVFC,292460066,29246006601,1,True,1,19,81,"{'seconds': 0, 'minutes': 15}",1,100,0,"{'seconds': 50, 'minutes': 11}",9,81,RUSHING TD,True,0,0,7,0
North Dakota State,MVFC,Iowa State,Big 12,292460066,29246006602,2,False,1,77,77,"{'seconds': 50, 'minutes': 11}",1,9,9,"{'seconds': 46, 'minutes': 11}",1,-68,Uncategorized,False,0,7,0,7
Iowa State,Big 12,North Dakota State,MVFC,292460066,29246006603,3,False,1,30,70,"{'seconds': 46, 'minutes': 11}",1,32,68,"{'seconds': 30, 'minutes': 10}",3,2,PUNT,True,7,0,7,0
North Dakota State,MVFC,Iowa State,Big 12,292460066,29246006604,4,False,1,78,78,"{'seconds': 30, 'minutes': 10}",1,59,59,"{'seconds': 3, 'minutes': 9}",5,19,PUNT,False,0,7,0,7
Iowa State,Big 12,North Dakota State,MVFC,292460066,29246006605,5,False,1,25,75,"{'seconds': 3, 'minutes': 9}",1,-43,143,"{'seconds': 7, 'minutes': 6}",1,-68,Uncategorized,True,7,0,7,0
North Dakota State,MVFC,Iowa State,Big 12,292460066,29246006606,6,False,1,80,80,"{'seconds': 7, 'minutes': 6}",1,0,0,"{'seconds': 40, 'minutes': 4}",4,80,FUMBLE,False,0,7,0,7
Iowa State,Big 12,North Dakota State,MVFC,292460066,29246006607,7,True,1,20,80,"{'seconds': 40, 'minutes': 4}",1,20,80,"{'seconds': 0, 'minutes': 0}",1,0,Uncategorized,True,7,0,14,0
North Dakota State,MVFC,Iowa State,Big 12,292460066,29246006608,8,False,2,78,78,"{'seconds': 23, 'minutes': 14}",2,9,9,"{'seconds': 18, 'minutes': 14}",1,-69,Uncategorized,False,0,14,0,14
Iowa State,Big 12,North Dakota State,MVFC,292460066,29246006609,9,False,2,13,87,"{'seconds': 18, 'minutes': 14}",2,18,82,"{'seconds': 6, 'minutes': 12}",3,5,PUNT,True,14,0,14,0
North Dakota State,MVFC,Iowa State,Big 12,292460066,29246006610,10,False,2,68,68,"{'seconds': 6, 'minutes': 12}",2,21,21,"{'seconds': 11, 'minutes': 11}",1,-47,Uncategorized,False,0,14,0,14
Iowa State,Big 12,North Dakota State,MVFC,292460066,29246006611,11,False,2,10,90,"{'seconds': 11, 'minutes': 11}",2,43,57,"{'seconds': 17, 'minutes': 8}",6,33,FUMBLE,True,14,0,14,0
North Dakota State,MVFC,Iowa State,Big 12,292460066,29246006612,12,True,2,43,43,"{'seconds': 17, 'minutes': 8}",2,42,42,"{'seconds': 12, 'minutes': 4}",1,0,Uncategorized,False,0,14,7,14
Iowa State,Big 12,North Dakota State,MVFC,292460066,29246006613,13,True,2,70,30,"{'seconds': 12, 'minutes': 4}",2,49,51,"{'seconds': 6, 'minutes': 2}",1,-21,Uncategorized,True,14,7,17,7
North Dakota State,MVFC,Iowa State,Big 12,292460066,29246006614,14,True,2,69,69,"{'seconds': 6, 'minutes': 2}",2,47,47,"{'seconds': 46, 'minutes': 0}",1,-22,Uncategorized,False,7,17,10,17
