offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
North Carolina,ACC,Oklahoma,Big 12,212370201,21237020100,1,False,1,0,0,"{'seconds': 0, 'minutes': 15}",1,80,80,"{'seconds': 55, 'minutes': 14}",0,0,KICKOFF,False,0,0,0,0
North Carolina,ACC,Oklahoma,Big 12,212370201,21237020101,2,False,1,80,80,"{'seconds': 55, 'minutes': 14}",1,83,83,"{'seconds': 55, 'minutes': 14}",2,-3,FUMBLE,False,0,0,0,0
Oklahoma,Big 12,North Carolina,ACC,212370201,21237020102,3,True,1,87,13,"{'seconds': 55, 'minutes': 14}",1,92,8,"{'seconds': 33, 'minutes': 13}",4,5,MADE FG,True,0,0,3,0
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003800,1,False,1,0,100,"{'seconds': 0, 'minutes': 15}",1,35,65,"{'seconds': 55, 'minutes': 14}",0,0,KICKOFF,True,0,0,0,0
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003801,2,False,1,35,65,"{'seconds': 55, 'minutes': 14}",1,60,40,"{'seconds': 27, 'minutes': 12}",6,25,PUNT,True,0,0,0,0
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003802,3,False,1,80,80,"{'seconds': 27, 'minutes': 12}",1,63,63,"{'seconds': 28, 'minutes': 10}",4,17,PUNT,False,0,0,0,0
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003803,4,False,1,36,64,"{'seconds': 28, 'minutes': 10}",1,36,64,"{'seconds': 28, 'minutes': 10}",1,0,FUMBLE,True,0,0,0,0
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003804,5,True,1,45,45,"{'seconds': 28, 'minutes': 10}",1,0,0,"{'seconds': 23, 'minutes': 6}",8,45,RUSHING TD,False,0,0,7,0
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003805,6,False,1,0,100,"{'seconds': 23, 'minutes': 6}",1,20,80,"{'seconds': 19, 'minutes': 6}",0,0,KICKOFF,True,0,7,0,7
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003806,7,False,1,20,80,"{'seconds': 19, 'minutes': 6}",1,29,71,"{'seconds': 30, 'minutes': 4}",6,9,FUMBLE,True,0,7,0,7
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003807,8,True,1,21,21,"{'seconds': 30, 'minutes': 4}",1,0,0,"{'seconds': 34, 'minutes': 3}",3,21,RUSHING TD,False,7,0,14,0
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003808,9,False,1,0,100,"{'seconds': 34, 'minutes': 3}",1,20,80,"{'seconds': 31, 'minutes': 3}",0,0,KICKOFF,True,0,14,0,14
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003809,10,False,1,20,80,"{'seconds': 31, 'minutes': 3}",2,67,33,"{'seconds': 50, 'minutes': 14}",11,47,MISSED FG,True,0,14,0,14
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003810,11,False,2,67,67,"{'seconds': 50, 'minutes': 14}",2,26,26,"{'seconds': 16, 'minutes': 12}",7,41,MISSED FG,False,14,0,14,0
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003811,12,False,2,74,26,"{'seconds': 16, 'minutes': 12}",2,52,48,"{'seconds': 55, 'minutes': 7}",9,-22,PUNT,True,0,14,0,14
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003812,13,False,2,80,80,"{'seconds': 55, 'minutes': 7}",2,68,68,"{'seconds': 20, 'minutes': 6}",6,12,PUNT,False,14,0,14,0
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003813,14,True,2,23,23,"{'seconds': 20, 'minutes': 6}",2,100,100,"{'seconds': 3, 'minutes': 6}",1,77,PUNT RETURN TD TD,False,14,6,14,7
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003814,15,False,2,0,0,"{'seconds': 3, 'minutes': 6}",2,80,80,"{'seconds': 57, 'minutes': 5}",0,0,KICKOFF,False,14,7,14,7
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003815,16,True,2,80,80,"{'seconds': 57, 'minutes': 5}",2,0,0,"{'seconds': 58, 'minutes': 1}",11,80,PASSING TD,False,14,7,21,7
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003816,17,False,2,0,100,"{'seconds': 58, 'minutes': 1}",2,20,80,"{'seconds': 58, 'minutes': 1}",0,0,KICKOFF,True,7,21,7,21
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003817,18,True,2,20,80,"{'seconds': 58, 'minutes': 1}",2,100,0,"{'seconds': 56, 'minutes': 0}",11,80,PASSING TD,True,7,21,13,21
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003818,19,False,2,0,0,"{'seconds': 56, 'minutes': 0}",2,80,80,"{'seconds': 56, 'minutes': 0}",0,0,KICKOFF,False,21,13,21,13
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003819,20,False,2,80,80,"{'seconds': 56, 'minutes': 0}",2,70,70,"{'seconds': 0, 'minutes': 0}",4,10,RUSH,False,21,13,21,13
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003820,21,False,3,0,0,"{'seconds': 0, 'minutes': 15}",3,80,80,"{'seconds': 54, 'minutes': 14}",0,0,KICKOFF,False,21,13,21,13
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003821,22,False,3,80,80,"{'seconds': 54, 'minutes': 14}",3,72,72,"{'seconds': 17, 'minutes': 13}",3,8,PUNT,False,21,13,21,13
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003822,23,False,3,13,87,"{'seconds': 17, 'minutes': 13}",3,43,57,"{'seconds': 15, 'minutes': 12}",3,30,PENALTY,True,13,21,13,21
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003823,24,False,3,43,43,"{'seconds': 15, 'minutes': 12}",3,61,61,"{'seconds': 41, 'minutes': 10}",3,-18,PUNT,False,21,13,21,13
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003824,25,False,3,20,80,"{'seconds': 41, 'minutes': 10}",3,20,80,"{'seconds': 11, 'minutes': 9}",3,0,PUNT,True,13,21,13,21
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003825,26,False,3,54,54,"{'seconds': 11, 'minutes': 9}",3,53,53,"{'seconds': 30, 'minutes': 7}",3,1,PUNT,False,21,13,21,13
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003826,27,True,3,45,55,"{'seconds': 30, 'minutes': 7}",3,75,25,"{'seconds': 30, 'minutes': 3}",8,30,MADE FG,True,13,21,16,21
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003827,28,False,3,0,0,"{'seconds': 30, 'minutes': 3}",3,80,80,"{'seconds': 25, 'minutes': 3}",0,0,KICKOFF,False,21,16,21,16
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003828,29,False,3,80,80,"{'seconds': 25, 'minutes': 3}",3,89,89,"{'seconds': 10, 'minutes': 2}",3,-9,PUNT,False,21,16,21,16
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003829,30,False,3,51,49,"{'seconds': 10, 'minutes': 2}",3,48,52,"{'seconds': 13, 'minutes': 1}",1,-3,FUMBLE,True,16,21,16,21
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003830,31,True,3,45,45,"{'seconds': 13, 'minutes': 1}",4,26,26,"{'seconds': 29, 'minutes': 12}",8,19,MADE FG,False,21,16,24,16
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003831,32,False,4,0,100,"{'seconds': 29, 'minutes': 12}",4,20,80,"{'seconds': 23, 'minutes': 12}",0,0,KICKOFF,True,16,24,16,24
Colorado,Big 12,Fresno State,Western Athletic,212380038,21238003832,33,True,4,20,80,"{'seconds': 23, 'minutes': 12}",4,100,0,"{'seconds': 51, 'minutes': 7}",9,80,PASSING TD,True,16,24,22,24
Fresno State,Western Athletic,Colorado,Big 12,212380038,21238003833,34,False,4,0,0,"{'seconds': 51, 'minutes': 7}",4,70,70,"{'seconds': 40, 'minutes': 7}",0,0,KICKOFF,False,24,22,24,22
