offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Duke,ACC,Louisville,Conference USA,222500150,22250015000,1,False,1,0,100,"{'seconds': 0, 'minutes': 15}",1,21,79,"{'seconds': 45, 'minutes': 14}",0,0,KICKOFF,True,0,0,0,0
Duke,ACC,Louisville,Conference USA,222500150,22250015001,2,False,1,21,79,"{'seconds': 45, 'minutes': 14}",1,36,64,"{'seconds': 15, 'minutes': 13}",3,15,PUNT,True,0,0,0,0
Louisville,Conference USA,Duke,ACC,222500150,22250015002,3,False,1,56,56,"{'seconds': 15, 'minutes': 13}",1,28,28,"{'seconds': 40, 'minutes': 10}",5,28,PUNT,False,0,0,0,0
Duke,ACC,Louisville,Conference USA,222500150,22250015003,4,True,1,2,98,"{'seconds': 40, 'minutes': 10}",1,0,100,"{'seconds': 15, 'minutes': 9}",3,-2,Uncategorized,True,0,0,0,2
Louisville,Conference USA,Duke,ACC,222500150,22250015004,5,False,1,0,0,"{'seconds': 15, 'minutes': 9}",1,43,43,"{'seconds': 0, 'minutes': 9}",0,0,KICKOFF,False,2,0,2,0
Louisville,Conference USA,Duke,ACC,222500150,22250015005,6,True,1,43,43,"{'seconds': 0, 'minutes': 9}",1,0,0,"{'seconds': 33, 'minutes': 4}",11,43,PASSING TD,False,2,0,9,0
Duke,ACC,Louisville,Conference USA,222500150,22250015006,7,False,1,0,100,"{'seconds': 33, 'minutes': 4}",1,24,76,"{'seconds': 22, 'minutes': 4}",0,0,KICKOFF,True,0,9,0,9
Duke,ACC,Louisville,Conference USA,222500150,22250015007,8,False,1,24,76,"{'seconds': 22, 'minutes': 4}",1,22,78,"{'seconds': 18, 'minutes': 3}",3,-2,PUNT,True,0,9,0,9
Louisville,Conference USA,Duke,ACC,222500150,22250015008,9,False,1,55,55,"{'seconds': 18, 'minutes': 3}",1,60,60,"{'seconds': 54, 'minutes': 1}",3,-5,PUNT,False,9,0,9,0
Duke,ACC,Louisville,Conference USA,222500150,22250015009,10,False,1,16,84,"{'seconds': 54, 'minutes': 1}",1,15,85,"{'seconds': 30, 'minutes': 0}",3,-1,PUNT,True,0,9,0,9
Louisville,Conference USA,Duke,ACC,222500150,22250015010,11,False,1,54,54,"{'seconds': 30, 'minutes': 0}",2,91,91,"{'seconds': 11, 'minutes': 11}",9,-4,PENALTY,False,9,0,9,0
Louisville,Conference USA,Duke,ACC,222500150,22250015011,12,True,2,91,91,"{'seconds': 11, 'minutes': 11}",2,4,4,"{'seconds': 58, 'minutes': 9}",3,87,MADE FG,False,9,0,12,0
Duke,ACC,Louisville,Conference USA,222500150,22250015012,13,False,2,0,100,"{'seconds': 58, 'minutes': 9}",2,28,72,"{'seconds': 45, 'minutes': 9}",0,0,KICKOFF,True,0,12,0,12
