offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008707,7,False,1,20,80,"{'seconds': 22, 'minutes': 5}",1,45,55,"{'seconds': 3, 'minutes': 2}",8,25,PUNT,True,0,6,0,6
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008708,8,False,1,89,89,"{'seconds': 3, 'minutes': 2}",2,74,74,"{'seconds': 54, 'minutes': 14}",6,15,PUNT,False,6,0,6,0
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008709,9,True,2,31,69,"{'seconds': 54, 'minutes': 14}",2,79,21,"{'seconds': 14, 'minutes': 12}",7,48,MADE FG,True,0,6,3,6
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008710,10,False,2,0,0,"{'seconds': 14, 'minutes': 12}",2,72,72,"{'seconds': 14, 'minutes': 12}",1,0,KICKOFF,False,6,3,6,3
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008711,11,False,2,72,72,"{'seconds': 14, 'minutes': 12}",2,63,63,"{'seconds': 30, 'minutes': 11}",3,9,PENALTY,False,6,3,6,3
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008712,12,False,2,39,39,"{'seconds': 30, 'minutes': 11}",2,52,52,"{'seconds': 33, 'minutes': 7}",4,-13,PUNT,False,6,3,6,3
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008713,13,False,2,3,97,"{'seconds': 33, 'minutes': 7}",2,50,50,"{'seconds': 36, 'minutes': 1}",13,47,PUNT,True,3,6,3,6
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008714,14,False,2,87,87,"{'seconds': 36, 'minutes': 1}",2,86,86,"{'seconds': 4, 'minutes': 0}",3,1,PUNT,False,6,3,6,3
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008717,15,True,3,80,80,"{'seconds': 48, 'minutes': 14}",3,20,20,"{'seconds': 23, 'minutes': 12}",7,60,MADE FG,False,6,3,9,3
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008718,16,False,3,0,100,"{'seconds': 23, 'minutes': 12}",3,27,73,"{'seconds': 23, 'minutes': 12}",1,0,KICKOFF,True,3,9,3,9
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008719,17,True,3,27,73,"{'seconds': 23, 'minutes': 12}",3,100,0,"{'seconds': 56, 'minutes': 5}",12,73,RUSHING TD,True,3,9,10,9
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008720,18,False,3,0,0,"{'seconds': 56, 'minutes': 5}",3,80,80,"{'seconds': 56, 'minutes': 5}",1,0,KICKOFF,False,9,10,9,10
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008721,19,True,3,80,80,"{'seconds': 56, 'minutes': 5}",3,0,0,"{'seconds': 28, 'minutes': 3}",8,80,RUSHING TD,False,9,10,15,10
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008722,20,False,3,0,100,"{'seconds': 28, 'minutes': 3}",3,20,80,"{'seconds': 20, 'minutes': 3}",1,0,KICKOFF,True,10,15,10,15
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008723,21,False,3,20,80,"{'seconds': 20, 'minutes': 3}",3,14,86,"{'seconds': 10, 'minutes': 2}",3,-6,PUNT,True,10,15,10,15
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008724,22,False,3,65,65,"{'seconds': 10, 'minutes': 2}",3,67,67,"{'seconds': 46, 'minutes': 0}",4,-2,POSS. ON DOWNS,False,15,10,15,10
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008725,23,True,3,67,33,"{'seconds': 46, 'minutes': 0}",4,100,0,"{'seconds': 59, 'minutes': 11}",7,33,RUSHING TD,True,10,15,16,15
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008726,24,False,4,0,0,"{'seconds': 59, 'minutes': 11}",4,81,81,"{'seconds': 51, 'minutes': 11}",1,0,KICKOFF,False,15,16,15,16
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008727,25,False,4,81,81,"{'seconds': 51, 'minutes': 11}",4,90,90,"{'seconds': 15, 'minutes': 11}",3,-9,PUNT,False,15,16,15,16
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008728,26,False,4,32,68,"{'seconds': 15, 'minutes': 11}",4,44,56,"{'seconds': 49, 'minutes': 7}",6,12,PUNT,True,16,15,16,15
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008729,27,False,4,88,88,"{'seconds': 49, 'minutes': 7}",4,94,94,"{'seconds': 27, 'minutes': 6}",3,-6,PUNT,False,15,16,15,16
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008730,28,True,4,47,53,"{'seconds': 27, 'minutes': 6}",4,100,0,"{'seconds': 10, 'minutes': 4}",6,53,RUSHING TD,True,16,15,23,15
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008731,29,False,4,0,0,"{'seconds': 10, 'minutes': 4}",4,65,65,"{'seconds': 1, 'minutes': 4}",1,0,KICKOFF,False,15,23,15,23
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008732,30,False,4,65,65,"{'seconds': 1, 'minutes': 4}",4,56,56,"{'seconds': 3, 'minutes': 2}",4,9,POSS. ON DOWNS,False,15,23,15,23
Notre Dame,FBS Independents,Stanford,Pac-10,242830087,24283008733,31,False,4,56,44,"{'seconds': 3, 'minutes': 2}",4,64,36,"{'seconds': 23, 'minutes': 0}",4,8,FUMBLE,True,23,15,23,15
Stanford,Pac-10,Notre Dame,FBS Independents,242830087,24283008734,32,False,4,58,58,"{'seconds': 23, 'minutes': 0}",4,39,39,"{'seconds': 2, 'minutes': 0}",3,19,INCOMPLETE,False,15,23,15,23
Alabama,SEC,Kentucky,SEC,242830096,24283009601,1,False,1,85,85,"{'seconds': 55, 'minutes': 14}",1,29,29,"{'seconds': 0, 'minutes': 9}",11,56,BLOCKED FG,False,0,0,0,0
Kentucky,SEC,Alabama,SEC,242830096,24283009602,2,False,1,51,49,"{'seconds': 0, 'minutes': 9}",1,48,52,"{'seconds': 22, 'minutes': 7}",3,-3,PUNT,True,0,0,0,0
Alabama,SEC,Kentucky,SEC,242830096,24283009603,3,True,1,80,80,"{'seconds': 22, 'minutes': 7}",1,0,0,"{'seconds': 37, 'minutes': 1}",11,80,RUSHING TD,False,0,0,7,0
Kentucky,SEC,Alabama,SEC,242830096,24283009604,4,False,1,0,100,"{'seconds': 37, 'minutes': 1}",1,44,56,"{'seconds': 26, 'minutes': 1}",1,0,KICKOFF,True,0,7,0,7
Kentucky,SEC,Alabama,SEC,242830096,24283009605,5,False,1,44,56,"{'seconds': 26, 'minutes': 1}",2,42,58,"{'seconds': 0, 'minutes': 15}",3,-2,PUNT,True,0,7,0,7
Alabama,SEC,Kentucky,SEC,242830096,24283009606,6,True,2,99,99,"{'seconds': 0, 'minutes': 15}",2,0,0,"{'seconds': 17, 'minutes': 7}",14,99,RUSHING TD,False,7,0,14,0
Kentucky,SEC,Alabama,SEC,242830096,24283009607,7,False,2,0,100,"{'seconds': 17, 'minutes': 7}",2,22,78,"{'seconds': 10, 'minutes': 7}",1,0,KICKOFF,True,0,14,0,14
Kentucky,SEC,Alabama,SEC,242830096,24283009608,8,True,2,22,78,"{'seconds': 10, 'minutes': 7}",2,100,0,"{'seconds': 22, 'minutes': 2}",11,78,RUSHING TD,True,0,14,7,14
Alabama,SEC,Kentucky,SEC,242830096,24283009609,9,False,2,0,0,"{'seconds': 22, 'minutes': 2}",2,80,80,"{'seconds': 22, 'minutes': 2}",1,0,KICKOFF,False,14,7,14,7
Alabama,SEC,Kentucky,SEC,242830096,24283009610,10,True,2,80,80,"{'seconds': 22, 'minutes': 2}",2,19,19,"{'seconds': 9, 'minutes': 0}",8,61,MADE FG,False,14,7,17,7
Kentucky,SEC,Alabama,SEC,242830096,24283009611,11,False,2,0,100,"{'seconds': 9, 'minutes': 0}",2,23,77,"{'seconds': 4, 'minutes': 0}",1,0,KICKOFF,True,7,17,7,17
Kentucky,SEC,Alabama,SEC,242830096,24283009612,12,False,2,23,77,"{'seconds': 4, 'minutes': 0}",2,35,65,"{'seconds': 4, 'minutes': 0}",1,12,RUSH,True,7,17,7,17
Kentucky,SEC,Alabama,SEC,242830096,24283009614,13,False,3,20,80,"{'seconds': 0, 'minutes': 15}",3,20,80,"{'seconds': 46, 'minutes': 14}",3,0,PUNT,True,7,17,7,17
Alabama,SEC,Kentucky,SEC,242830096,24283009615,14,False,3,74,74,"{'seconds': 46, 'minutes': 14}",3,86,86,"{'seconds': 42, 'minutes': 12}",3,-12,PUNT,False,17,7,17,7
Kentucky,SEC,Alabama,SEC,242830096,24283009616,15,True,3,49,51,"{'seconds': 42, 'minutes': 12}",3,100,0,"{'seconds': 17, 'minutes': 12}",3,51,PASSING TD,True,7,17,14,17
Alabama,SEC,Kentucky,SEC,242830096,24283009617,16,False,3,0,0,"{'seconds': 17, 'minutes': 12}",3,75,75,"{'seconds': 10, 'minutes': 12}",1,0,KICKOFF,False,17,14,17,14
Alabama,SEC,Kentucky,SEC,242830096,24283009618,17,False,3,75,75,"{'seconds': 10, 'minutes': 12}",3,42,42,"{'seconds': 57, 'minutes': 5}",10,33,PUNT,False,17,14,17,14
Kentucky,SEC,Alabama,SEC,242830096,24283009619,18,False,3,20,80,"{'seconds': 57, 'minutes': 5}",3,15,85,"{'seconds': 19, 'minutes': 5}",2,-5,FUMBLE,True,14,17,14,17
Alabama,SEC,Kentucky,SEC,242830096,24283009620,19,True,3,5,5,"{'seconds': 19, 'minutes': 5}",3,0,0,"{'seconds': 24, 'minutes': 4}",2,5,RUSHING TD,False,17,14,24,14
