offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002401,1,False,1,32,68,"{'seconds': 0, 'minutes': 15}",1,49,51,"{'seconds': 23, 'minutes': 12}",5,17,PUNT,True,0,0,0,0
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002402,2,False,1,80,80,"{'seconds': 23, 'minutes': 12}",1,79,79,"{'seconds': 0, 'minutes': 11}",3,1,PUNT,False,0,0,0,0
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002403,3,False,1,66,34,"{'seconds': 0, 'minutes': 11}",1,68,32,"{'seconds': 50, 'minutes': 8}",4,2,FG MISSED,True,0,0,0,0
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002404,4,False,1,68,68,"{'seconds': 50, 'minutes': 8}",1,62,62,"{'seconds': 49, 'minutes': 6}",3,6,PUNT,False,0,0,0,0
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002405,5,False,1,24,76,"{'seconds': 49, 'minutes': 6}",1,29,71,"{'seconds': 53, 'minutes': 4}",3,5,PUNT,True,0,0,0,0
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002406,6,True,1,63,63,"{'seconds': 53, 'minutes': 4}",2,10,10,"{'seconds': 55, 'minutes': 14}",10,53,FG GOOD,False,0,0,3,0
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002407,7,True,2,27,73,"{'seconds': 55, 'minutes': 14}",2,100,0,"{'seconds': 11, 'minutes': 9}",12,73,RUSHING TD,True,0,3,7,3
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002408,8,False,2,65,65,"{'seconds': 11, 'minutes': 9}",2,65,65,"{'seconds': 40, 'minutes': 8}",3,0,PUNT,False,3,7,3,7
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002409,9,True,2,41,59,"{'seconds': 40, 'minutes': 8}",2,76,24,"{'seconds': 47, 'minutes': 5}",7,35,FG GOOD,True,7,3,10,3
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002410,10,True,2,69,69,"{'seconds': 47, 'minutes': 5}",2,0,0,"{'seconds': 49, 'minutes': 4}",3,69,PASSING TD,False,3,10,10,10
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002411,11,True,2,26,74,"{'seconds': 49, 'minutes': 4}",2,100,0,"{'seconds': 10, 'minutes': 2}",5,74,RUSHING TD,True,10,10,17,10
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002412,12,True,2,80,80,"{'seconds': 10, 'minutes': 2}",2,0,0,"{'seconds': 14, 'minutes': 0}",9,80,PASSING TD,False,10,17,17,17
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002413,13,False,2,11,89,"{'seconds': 14, 'minutes': 0}",2,10,90,"{'seconds': 0, 'minutes': 0}",1,-1,END OF HALF,True,17,17,17,17
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002414,14,True,3,76,76,"{'seconds': 0, 'minutes': 15}",3,6,6,"{'seconds': 35, 'minutes': 7}",15,70,FG GOOD,False,17,17,20,17
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002415,15,True,3,33,67,"{'seconds': 35, 'minutes': 7}",3,75,25,"{'seconds': 42, 'minutes': 3}",10,42,FG GOOD,True,17,20,20,20
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002416,16,True,3,85,85,"{'seconds': 42, 'minutes': 3}",3,100,100,"{'seconds': 7, 'minutes': 3}",2,-15,SF,False,20,22,20,22
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002417,17,True,3,35,65,"{'seconds': 7, 'minutes': 3}",4,100,0,"{'seconds': 55, 'minutes': 14}",7,65,PASSING TD,True,22,20,29,20
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002418,18,False,4,78,78,"{'seconds': 55, 'minutes': 14}",4,23,23,"{'seconds': 1, 'minutes': 12}",10,55,INT,False,20,29,20,29
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002419,19,False,4,24,76,"{'seconds': 1, 'minutes': 12}",4,28,72,"{'seconds': 18, 'minutes': 10}",3,4,PUNT,True,29,20,29,20
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002420,20,True,4,73,73,"{'seconds': 18, 'minutes': 10}",4,73,73,"{'seconds': 36, 'minutes': 9}",3,0,INT,False,20,29,20,35
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002421,21,True,4,66,34,"{'seconds': 36, 'minutes': 9}",4,100,0,"{'seconds': 36, 'minutes': 9}",0,0,INT RETURN TOUCH,True,36,20,36,20
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002422,22,False,4,51,51,"{'seconds': 36, 'minutes': 9}",4,28,28,"{'seconds': 7, 'minutes': 8}",7,23,TURNOVER ON DOWNS,False,20,36,20,36
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002423,23,False,4,28,72,"{'seconds': 7, 'minutes': 8}",4,42,58,"{'seconds': 7, 'minutes': 5}",6,14,PUNT,True,36,20,36,20
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002424,24,True,4,97,97,"{'seconds': 7, 'minutes': 5}",4,0,0,"{'seconds': 0, 'minutes': 3}",9,97,PASSING TD,False,20,36,28,36
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002425,25,False,4,12,88,"{'seconds': 0, 'minutes': 3}",4,14,86,"{'seconds': 31, 'minutes': 1}",3,2,PUNT,True,36,28,36,28
Oregon State,Pac-10,Stanford,Pac-10,282410024,28241002426,26,False,4,47,47,"{'seconds': 31, 'minutes': 1}",4,0,0,"{'seconds': 47, 'minutes': 0}",7,47,FUMBLE,False,28,36,28,36
Stanford,Pac-10,Oregon State,Pac-10,282410024,28241002427,27,False,4,20,80,"{'seconds': 47, 'minutes': 0}",4,16,84,"{'seconds': 0, 'minutes': 0}",2,-4,END OF GAME,True,36,28,36,28
UConn,Big East,Hofstra,CAA,282410041,28241004101,1,False,1,32,68,"{'seconds': 0, 'minutes': 15}",1,37,63,"{'seconds': 5, 'minutes': 13}",3,5,PUNT,True,0,0,7,0
UConn,Big East,Hofstra,CAA,282410041,28241004103,2,True,1,99,1,"{'seconds': 5, 'minutes': 13}",1,100,0,"{'seconds': 3, 'minutes': 13}",1,1,RUSHING TD,True,6,0,14,0
Hofstra,CAA,UConn,Big East,282410041,28241004104,3,False,1,67,67,"{'seconds': 3, 'minutes': 13}",1,66,66,"{'seconds': 46, 'minutes': 11}",3,1,PUNT,False,0,7,0,7
UConn,Big East,Hofstra,CAA,282410041,28241004105,4,False,1,27,73,"{'seconds': 46, 'minutes': 11}",1,60,40,"{'seconds': 58, 'minutes': 9}",4,33,PUNT,True,7,0,7,0
Hofstra,CAA,UConn,Big East,282410041,28241004106,5,False,1,80,80,"{'seconds': 58, 'minutes': 9}",1,39,39,"{'seconds': 13, 'minutes': 8}",5,41,INT,False,0,7,0,14
UConn,Big East,Hofstra,CAA,282410041,28241004107,6,True,1,40,60,"{'seconds': 13, 'minutes': 8}",1,100,0,"{'seconds': 47, 'minutes': 4}",7,60,RUSHING TD,True,7,0,14,0
Hofstra,CAA,UConn,Big East,282410041,28241004108,7,False,1,80,80,"{'seconds': 47, 'minutes': 4}",1,55,55,"{'seconds': 15, 'minutes': 2}",5,25,PUNT,False,0,14,0,14
UConn,Big East,Hofstra,CAA,282410041,28241004109,8,False,1,35,65,"{'seconds': 15, 'minutes': 2}",2,79,21,"{'seconds': 54, 'minutes': 14}",6,44,INT,True,14,0,14,0
Hofstra,CAA,UConn,Big East,282410041,28241004110,9,False,2,80,80,"{'seconds': 54, 'minutes': 14}",2,60,60,"{'seconds': 55, 'minutes': 5}",15,20,PUNT,False,0,14,0,14
UConn,Big East,Hofstra,CAA,282410041,28241004111,10,True,2,24,76,"{'seconds': 55, 'minutes': 5}",2,100,0,"{'seconds': 1, 'minutes': 3}",7,76,RUSHING TD,True,14,0,21,0
Hofstra,CAA,UConn,Big East,282410041,28241004112,11,False,2,68,68,"{'seconds': 1, 'minutes': 3}",2,68,68,"{'seconds': 40, 'minutes': 1}",3,0,PUNT,False,0,21,0,28
UConn,Big East,Hofstra,CAA,282410041,28241004113,12,False,2,57,43,"{'seconds': 40, 'minutes': 1}",2,100,0,"{'seconds': 41, 'minutes': 0}",5,43,RUSHING TD,True,21,0,28,0
Hofstra,CAA,UConn,Big East,282410041,28241004114,13,False,2,67,67,"{'seconds': 41, 'minutes': 0}",2,65,65,"{'seconds': 0, 'minutes': 0}",1,2,END OF HALF,False,0,28,3,28
Hofstra,CAA,UConn,Big East,282410041,28241004115,14,False,3,76,76,"{'seconds': 0, 'minutes': 15}",3,80,80,"{'seconds': 39, 'minutes': 13}",3,7,PUNT,False,0,28,3,28
UConn,Big East,Hofstra,CAA,282410041,28241004116,15,False,3,44,56,"{'seconds': 39, 'minutes': 13}",3,95,5,"{'seconds': 15, 'minutes': 9}",10,51,INT,True,28,0,28,3
Hofstra,CAA,UConn,Big East,282410041,28241004117,16,True,3,45,45,"{'seconds': 15, 'minutes': 9}",3,11,11,"{'seconds': 37, 'minutes': 5}",7,34,FG GOOD,False,0,28,3,28
UConn,Big East,Hofstra,CAA,282410041,28241004118,17,False,3,39,61,"{'seconds': 37, 'minutes': 5}",3,29,71,"{'seconds': 57, 'minutes': 4}",1,-10,INT,True,28,3,28,3
Hofstra,CAA,UConn,Big East,282410041,28241004119,18,False,3,12,12,"{'seconds': 57, 'minutes': 4}",3,11,11,"{'seconds': 42, 'minutes': 2}",4,1,TURNOVER ON DOWNS,False,3,28,3,28
UConn,Big East,Hofstra,CAA,282410041,28241004120,19,True,3,11,89,"{'seconds': 42, 'minutes': 2}",4,100,0,"{'seconds': 27, 'minutes': 11}",15,89,RUSHING TD,True,28,3,35,3
Hofstra,CAA,UConn,Big East,282410041,28241004121,20,False,4,84,84,"{'seconds': 27, 'minutes': 11}",4,70,70,"{'seconds': 31, 'minutes': 9}",5,14,PUNT,False,3,35,3,35
UConn,Big East,Hofstra,CAA,282410041,28241004122,21,False,4,27,73,"{'seconds': 31, 'minutes': 9}",4,47,53,"{'seconds': 24, 'minutes': 7}",5,20,FUMBLE,True,35,3,35,3
Hofstra,CAA,UConn,Big East,282410041,28241004123,22,False,4,38,38,"{'seconds': 24, 'minutes': 7}",4,18,18,"{'seconds': 29, 'minutes': 5}",4,29,INT,False,3,35,3,35
UConn,Big East,Hofstra,CAA,282410041,28241004124,23,False,4,20,80,"{'seconds': 29, 'minutes': 5}",4,57,43,"{'seconds': 3, 'minutes': 1}",9,37,FUMBLE,True,35,3,35,3
Hofstra,CAA,UConn,Big East,282410041,28241004125,24,False,4,57,57,"{'seconds': 3, 'minutes': 1}",4,55,55,"{'seconds': 0, 'minutes': 0}",2,2,END OF GAME,False,3,35,3,35
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005901,1,False,1,76,76,"{'seconds': 0, 'minutes': 15}",1,69,69,"{'seconds': 30, 'minutes': 12}",3,7,PUNT,False,0,0,0,0
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005902,2,False,1,28,72,"{'seconds': 30, 'minutes': 12}",1,48,52,"{'seconds': 25, 'minutes': 7}",10,20,PUNT,True,0,0,0,0
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005903,3,False,1,80,80,"{'seconds': 25, 'minutes': 7}",1,80,80,"{'seconds': 7, 'minutes': 7}",1,0,INT,False,0,7,0,7
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005904,4,True,1,73,27,"{'seconds': 7, 'minutes': 7}",1,100,0,"{'seconds': 45, 'minutes': 5}",3,27,RUSHING TD,True,0,0,7,0
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005905,5,False,1,71,71,"{'seconds': 45, 'minutes': 5}",1,64,64,"{'seconds': 4, 'minutes': 4}",3,7,PUNT,False,0,7,0,7
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005906,6,True,1,32,68,"{'seconds': 4, 'minutes': 4}",1,100,0,"{'seconds': 30, 'minutes': 2}",4,68,RUSHING TD,True,7,0,14,0
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005907,7,False,1,78,78,"{'seconds': 30, 'minutes': 2}",1,69,69,"{'seconds': 5, 'minutes': 1}",3,9,PUNT,False,0,14,0,14
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005908,8,True,1,35,65,"{'seconds': 5, 'minutes': 1}",2,100,0,"{'seconds': 8, 'minutes': 13}",6,65,RUSHING TD,True,14,0,21,0
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005909,9,False,2,75,75,"{'seconds': 8, 'minutes': 13}",2,70,70,"{'seconds': 23, 'minutes': 9}",5,5,PUNT,False,0,21,0,27
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005910,10,False,2,40,60,"{'seconds': 23, 'minutes': 9}",2,60,40,"{'seconds': 57, 'minutes': 6}",5,20,TURNOVER ON DOWNS,True,21,0,21,0
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005911,11,False,2,60,60,"{'seconds': 57, 'minutes': 6}",2,39,39,"{'seconds': 55, 'minutes': 3}",7,21,TURNOVER ON DOWNS,False,0,21,0,21
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005912,12,True,2,39,61,"{'seconds': 55, 'minutes': 3}",2,100,0,"{'seconds': 32, 'minutes': 2}",4,61,RUSHING TD,True,21,0,27,0
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005913,13,False,2,73,73,"{'seconds': 32, 'minutes': 2}",2,18,18,"{'seconds': 44, 'minutes': 0}",8,55,INT,False,0,27,0,27
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005914,14,False,2,49,51,"{'seconds': 44, 'minutes': 0}",2,46,54,"{'seconds': 0, 'minutes': 0}",3,-3,END OF HALF,True,27,0,27,0
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005916,15,True,3,33,33,"{'seconds': 0, 'minutes': 15}",3,0,0,"{'seconds': 53, 'minutes': 12}",7,33,PASSING TD,False,0,27,7,27
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005917,16,True,3,24,76,"{'seconds': 53, 'minutes': 12}",3,100,0,"{'seconds': 36, 'minutes': 10}",6,76,RUSHING TD,True,27,7,34,7
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005918,17,False,3,75,75,"{'seconds': 36, 'minutes': 10}",3,54,54,"{'seconds': 11, 'minutes': 8}",5,21,FUMBLE,False,7,34,7,34
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005919,18,False,3,54,46,"{'seconds': 11, 'minutes': 8}",3,79,21,"{'seconds': 6, 'minutes': 4}",8,25,FG MISSED,True,34,7,34,7
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005920,19,False,3,79,79,"{'seconds': 6, 'minutes': 4}",3,50,50,"{'seconds': 37, 'minutes': 1}",6,29,PUNT,False,7,34,7,34
Georgia Tech,ACC,Jacksonville State,OVC,282410059,28241005921,20,False,3,47,53,"{'seconds': 37, 'minutes': 1}",4,57,43,"{'seconds': 0, 'minutes': 15}",4,18,FUMBLE,True,34,7,34,7
Jacksonville State,OVC,Georgia Tech,ACC,282410059,28241005922,21,False,4,57,57,"{'seconds': 0, 'minutes': 15}",4,70,70,"{'seconds': 26, 'minutes': 13}",3,-13,PUNT,False,7,34,7,34
