id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,offenseTimeouts,defenseTimeouts,ppa,wallclock
303172426184,30317242619,303172426,19,3,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,31,4,"{'seconds': 9, 'minutes': 2}",31,69,1,10,0,False,Timeout,"Timeout Central Michigan, clock 02:09.",,,,
303172426193,30317242619,303172426,19,10,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,31,4,"{'seconds': 15, 'minutes': 1}",36,64,4,5,5,False,Punt,"Kyle Delahooke punt for 49 yards, returned by Cody Wilson for 5 yards to the CMich 20, tackled by Jerry Hauburger.",,,,
303172426186,30317242619,303172426,19,5,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,31,4,"{'seconds': 3, 'minutes': 2}",36,64,2,5,0,False,Timeout,"Timeout Central Michigan, clock 02:03.",,,,
303172426185,30317242619,303172426,19,4,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,31,4,"{'seconds': 9, 'minutes': 2}",31,69,1,10,5,False,Rush,"Alexander Teich rush for 5 yards to the Navy 36, tackled by Sean Murnane and Joe Kinville.",,,0.1043573190685727,
303172426192,30317242619,303172426,19,9,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,31,4,"{'seconds': 15, 'minutes': 1}",36,64,4,5,0,False,Timeout,"Timeout NAVY, clock 01:15.",,,,
303172426188,30317242619,303172426,19,7,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,31,4,"{'seconds': 59, 'minutes': 1}",38,62,3,3,0,False,Timeout,"Timeout Central Michigan, clock 01:59.",,,,
303172426189,30317242619,303172426,19,8,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,31,4,"{'seconds': 59, 'minutes': 1}",38,62,3,3,-2,False,Rush,"Gee Gee Greene rush for a loss of 2 yards to the Navy 36, tackled by Kashawn Fraser and Armond Staten.",,,-0.8643765387127447,
303172426205,30317242621,303172426,21,1,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,37,4,"{'seconds': 4, 'minutes': 0}",30,70,1,10,0,False,Penalty,NAVY penalty 5 yard false start accepted.,,,,
303172426206,30317242621,303172426,21,2,Navy,FBS Independents,38,Central Michigan,Navy,Central Michigan,Mid-American,37,4,"{'seconds': 4, 'minutes': 0}",25,75,1,15,-2,False,Rush,Team rush for a loss of 2 yards to the Navy 23.,,,-0.5442732113344002,
303172426011,30317242603,303172426,3,3,Navy,FBS Independents,0,Central Michigan,Navy,Central Michigan,Mid-American,0,1,"{'seconds': 18, 'minutes': 13}",30,70,3,5,26,False,Pass Completion,"Kriss Proctor pass complete to Aaron Santiago for 26 yards to the CMich 44, tackled by John Carr for a 1ST down.",,,3.324060117743726,
