id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,offenseTimeouts,defenseTimeouts,wallclock
303310213139,30331021312,303310213,12,3,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 24, 'minutes': 9}",40,60,3,13,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Devon Smith.,-0.3192331068025931,,,
303310213138,30331021312,303310213,12,2,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 0, 'minutes': 10}",44,56,2,9,0,False,Sack,Matthew McGloin sacked by Jerel Worthy for a loss of 4 yards to the PnSt 40.,-0.9314188410763231,,,
303310213140,30331021312,303310213,12,4,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 17, 'minutes': 9}",40,60,4,13,0,False,Punt,"Alex Butterworth punt for 34 yards, fair catch by Keshawn Martin at the MchSt 26.",,,,
303310213137,30331021312,303310213,12,1,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 45, 'minutes': 10}",43,57,1,10,1,False,Rush,Silas Redd rush for 1 yard to the PnSt 44.,-0.9288647615840891,,,
303310213024,30331021302,303310213,2,8,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 2, 'minutes': 6}",83,17,3,11,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Graham Zug.,-0.6665745500920456,,,
303310213018,30331021302,303310213,2,2,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 10, 'minutes': 9}",40,60,1,10,9,False,Rush,Evan Royster rush for 9 yards to the PnSt 49.,1.339431621541097,,,
303310213021,30331021302,303310213,2,5,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 50, 'minutes': 7}",84,16,1,10,6,False,Rush,Silas Redd rush for 6 yards to the MchSt 10.,0.1820990038493714,,,
303310213020,30331021302,303310213,2,4,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 30, 'minutes': 8}",59,41,1,10,25,False,Pass Completion,Matthew McGloin pass complete to Devon Smith for 25 yards to the MchSt 16 for a 1ST down.,0.671796904604145,,,
303310213017,30331021302,303310213,2,1,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 50, 'minutes': 9}",18,82,1,10,22,False,Pass Completion,Matthew McGloin pass complete to Brett Brackett for 22 yards to the PnSt 40 for a 1ST down.,1.7313976451491753,,,
303310213023,30331021302,303310213,2,7,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 30, 'minutes': 6}",85,15,2,9,-2,False,Pass Completion,Matthew McGloin pass complete to Stephfon Green for a loss of 2 yards to the MchSt 17.,-0.557801665428357,,,
303310213019,30331021302,303310213,2,3,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 55, 'minutes': 8}",49,51,2,1,10,False,Rush,Evan Royster rush for 10 yards to the MchSt 41 for a 1ST down.,0.176949356706059,,,
303310213025,30331021302,303310213,2,9,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 57, 'minutes': 5}",83,17,4,11,34,True,Field Goal Good,Collin Wagner 34 yard field goal GOOD.,0.0509368155329106,,,
303310213022,30331021302,303310213,2,6,Penn State,Big Ten,0,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 10, 'minutes': 7}",90,10,2,4,0,False,Penalty,PENN ST penalty 5 yard Delay of Game accepted.,,,,
303310213026,30331021302,303310213,2,10,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 57, 'minutes': 5}",30,70,-1,-1,28,False,Kickoff,Collin Wagner kickoff for 62 yards returned by Bennie Fowler for 28 yards to the MchSt 36.,,,,
303310213231,30331021321,303310213,21,2,Penn State,Big Ten,22,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 56, 'minutes': 0}",96,4,1,4,4,True,Pass Completion,Matthew McGloin pass complete to Derek Moye for 4 yards for a TOUCHDOWN.,,,,
303310213233,30331021321,303310213,21,4,Penn State,Big Ten,22,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 56, 'minutes': 0}",30,70,-1,-1,0,False,Kickoff,Collin Wagner on-side kick recovered by MICHIGAN ST at the PnSt 36.,,,,
303310213230,30331021321,303310213,21,1,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 1, 'minutes': 1}",96,4,1,0,0,False,Timeout,"Timeout MICHIGAN ST, clock 01:01.",,,,
303310213232,30331021321,303310213,21,3,Penn State,Big Ten,22,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 56, 'minutes': 0}",97,3,-1,-1,0,False,Extra Point Missed,"Two-point conversion attempt, Brett Brackett pass FAILED.",,,,
303310213067,30331021306,303310213,6,5,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 13, 'minutes': 8}",41,59,3,6,1,False,Pass Completion,Matthew McGloin pass complete to Devon Smith for 1 yard to the PnSt 42.,-0.5099963126762237,,,
303310213064,30331021306,303310213,6,2,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 35, 'minutes': 9}",28,72,2,8,9,False,Pass Completion,Matthew McGloin pass complete to Graham Zug for 9 yards to the PnSt 37 for a 1ST down.,1.427952488497513,,,
303310213063,30331021306,303310213,6,1,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 10, 'minutes': 10}",26,74,1,10,2,False,Rush,Evan Royster rush for 2 yards to the PnSt 28.,-0.4716869696142973,,,
303310213066,30331021306,303310213,6,4,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 33, 'minutes': 8}",41,59,2,6,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Brett Brackett.,-1.0222685605653614,,,
303310213065,30331021306,303310213,6,3,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 0, 'minutes': 9}",37,63,1,10,4,False,Rush,Evan Royster rush for 4 yards to the PnSt 41.,-0.1644248613169578,,,
303310213070,30331021306,303310213,6,6,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 33, 'minutes': 7}",42,58,4,5,0,False,Punt,"Alex Butterworth punt for 34 yards, downed at the MchSt 24.",,,,
303310213043,30331021304,303310213,4,10,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 20, 'minutes': 0}",54,46,2,12,0,False,Rush,Silas Redd rush for no gain to the MchSt 46.,-1.0217871293321377,,,
303310213040,30331021304,303310213,4,7,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 50, 'minutes': 1}",44,56,1,10,12,False,Pass Completion,Matthew McGloin pass complete to Derek Moye for 12 yards to the MchSt 44 for a 1ST down.,0.9573004238692847,,,
303310213038,30331021304,303310213,4,5,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 10, 'minutes': 3}",26,74,2,15,11,False,Rush,Evan Royster rush for 11 yards to the PnSt 37.,0.7241323625251379,,,
303310213046,30331021304,303310213,4,11,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,2,"{'seconds': 55, 'minutes': 14}",54,46,3,12,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Derek Moye.,-0.7473486405308584,,,
303310213037,30331021304,303310213,4,4,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 20, 'minutes': 3}",26,74,1,15,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Evan Royster.,-0.4614176167751234,,,
303310213039,30331021304,303310213,4,6,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 35, 'minutes': 2}",37,63,3,4,7,False,Pass Completion,Matthew McGloin pass complete to Derek Moye for 7 yards to the PnSt 44 for a 1ST down.,1.9160861190347678,,,
303310213034,30331021304,303310213,4,1,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 19, 'minutes': 4}",20,80,1,10,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Derek Moye.,-0.5586693796725282,,,
303310213041,30331021304,303310213,4,8,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 25, 'minutes': 1}",56,44,1,10,3,False,Rush,Devon Smith rush for 3 yards to the MchSt 41.,-0.3178831342797892,,,
303310213042,30331021304,303310213,4,9,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 55, 'minutes': 0}",59,41,2,7,0,False,Penalty,PENN ST penalty 5 yard Illegal Procedure accepted.,,,,
303310213035,30331021304,303310213,4,2,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 10, 'minutes': 4}",20,80,2,10,11,False,Rush,Evan Royster rush for 11 yards to the PnSt 31 for a 1ST down.,1.3374361701625812,,,
303310213036,30331021304,303310213,4,3,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,1,"{'seconds': 30, 'minutes': 3}",31,69,1,10,0,False,Penalty,PENN ST penalty 5 yard False Start accepted.,,,,
303310213047,30331021304,303310213,4,12,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,7,2,"{'seconds': 46, 'minutes': 14}",54,46,4,12,0,False,Punt,Alex Butterworth punt for 46 yards for a touchback.,,,,
303310213222,30331021320,303310213,20,3,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 25, 'minutes': 1}",79,21,2,10,4,False,Pass Completion,Matthew McGloin pass complete to Justin Brown for 4 yards to the MchSt 17.,-0.052171566621837,,,
303310213227,30331021320,303310213,20,7,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 1, 'minutes': 1}",96,4,1,4,4,False,Pass Interception,"Matthew McGloin pass intercepted by Trenton Robinson at the MchSt 0, returned for 4 yards to the MchSt 4, fumbled, forced by Derek Moye, recovered by PnSt Derek Moye at the MchSt 4 for 4 yards, lateral to NA for no gain.",-5.311809481286025,,,
303310213225,30331021320,303310213,20,5,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 15, 'minutes': 1}",83,17,4,6,13,False,Pass Completion,Matthew McGloin pass complete to Derek Moye for 13 yards to the MchSt 4 for a 1ST down.,1.9262543446170484,,,
303310213223,30331021320,303310213,20,4,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 20, 'minutes': 1}",83,17,3,6,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Derek Moye.,-0.541738138844277,,,
303310213220,30331021320,303310213,20,1,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 55, 'minutes': 1}",50,50,1,10,29,False,Pass Completion,Matthew McGloin pass complete to Derek Moye for 29 yards to the MchSt 21 for a 1ST down.,1.20911511832588,,,
303310213221,30331021320,303310213,20,2,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 51, 'minutes': 1}",79,21,1,10,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Graham Zug.,-0.3882383440694163,,,
303310213226,30331021320,303310213,20,6,Penn State,Big Ten,16,Michigan State,Penn State,Michigan State,Big Ten,28,4,"{'seconds': 11, 'minutes': 1}",96,4,1,0,0,False,Timeout,"Timeout MICHIGAN ST, clock 1:11.",,,,
303310213177,30331021316,303310213,16,5,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,21,4,"{'seconds': 15, 'minutes': 14}",61,39,1,10,14,False,Pass Completion,Matthew McGloin pass complete to Kevin Haplea for 14 yards to the MchSt 25 for a 1ST down.,0.4403541926654935,,,
303310213171,30331021316,303310213,16,3,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,21,3,"{'seconds': 10, 'minutes': 0}",29,71,3,7,16,False,Pass Completion,Matthew McGloin pass complete to Justin Brown for 16 yards to the PnSt 45 for a 1ST down.,2.6256189359268385,,,
303310213169,30331021316,303310213,16,1,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,21,3,"{'seconds': 25, 'minutes': 1}",26,74,1,10,1,False,Pass Completion,Matthew McGloin pass complete to Brett Brackett for 1 yard to the PnSt 27.,-0.6129109161878361,,,
303310213174,30331021316,303310213,16,4,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,21,4,"{'seconds': 55, 'minutes': 14}",45,55,1,10,16,False,Pass Completion,Matthew McGloin pass complete to Graham Zug for 16 yards to the MchSt 39 for a 1ST down.,1.136174682384814,,,
303310213178,30331021316,303310213,16,6,Penn State,Big Ten,9,Michigan State,Penn State,Michigan State,Big Ten,21,4,"{'seconds': 58, 'minutes': 13}",75,25,1,10,25,True,Pass Completion,Matthew McGloin pass complete to Joe Suhey for 25 yards for a TOUCHDOWN.,,,,
303310213180,30331021316,303310213,16,8,Penn State,Big Ten,10,Michigan State,Penn State,Michigan State,Big Ten,21,4,"{'seconds': 58, 'minutes': 13}",30,70,-1,-1,24,False,Kickoff,Collin Wagner kickoff for 62 yards returned by Bennie Fowler for 24 yards to the MchSt 32.,,,,
303310213170,30331021316,303310213,16,2,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,21,3,"{'seconds': 50, 'minutes': 0}",27,73,2,9,2,False,Rush,Evan Royster rush for 2 yards to the PnSt 29.,-0.2825449445944015,,,
303310213179,30331021316,303310213,16,7,Penn State,Big Ten,10,Michigan State,Penn State,Michigan State,Big Ten,21,4,"{'seconds': 58, 'minutes': 13}",97,3,-1,-1,0,True,Extra Point Good,Collin Wagner extra point GOOD.,,,,
303310213122,30331021310,303310213,10,2,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 45, 'minutes': 13}",50,50,1,10,7,False,Rush,"Evan Royster rush for 7 yards, fumbled, forced by Chris L. Rucker, recovered by PnSt Brett Brackett at the MchSt 43.",0.590106702773282,,,
303310213121,30331021310,303310213,10,1,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 46, 'minutes': 14}",24,76,1,10,26,False,Pass Completion,Matthew McGloin pass complete to Justin Brown for 26 yards to the 50 yard line for a 1ST down.,2.304206411294418,,,
303310213125,30331021310,303310213,10,4,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 45, 'minutes': 12}",59,41,3,1,-9,False,Rush,Devon Smith rush for a loss of 9 yards to the 50 yard line.,-2.805500008486711,,,
303310213123,30331021310,303310213,10,3,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 30, 'minutes': 13}",57,43,2,3,2,False,Rush,Evan Royster rush for 2 yards to the MchSt 41.,-0.627917049607312,,,
303310213128,30331021310,303310213,10,5,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,3,"{'seconds': 19, 'minutes': 12}",50,50,4,10,0,False,Punt,"Alex Butterworth punt for 30 yards, fair catch by Keshawn Martin at the MchSt 20.",,,,
303310213099,30331021308,303310213,8,6,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 25, 'minutes': 1}",25,75,2,10,14,False,Pass Completion,Matthew McGloin pass complete to Graham Zug for 14 yards to the PnSt 39 for a 1ST down.,1.9257091053001074,,,
303310213101,30331021308,303310213,8,8,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 8, 'minutes': 1}",39,61,2,10,8,False,Pass Completion,Matthew McGloin pass complete to Justin Brown for 8 yards to the PnSt 47.,0.775758440858441,,,
303310213114,30331021308,303310213,8,12,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 54, 'minutes': 0}",62,38,2,10,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Derek Moye.,-0.9886314711142071,,,
303310213115,30331021308,303310213,8,13,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 49, 'minutes': 0}",62,38,3,10,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Justin Brown.,-1.004287783165605,,,
303310213096,30331021308,303310213,8,3,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 38, 'minutes': 1}",23,77,3,1,2,False,Rush,Michael Zordich rush for 2 yards to the PnSt 25 for a 1ST down.,0.5713955377047651,,,
303310213100,30331021308,303310213,8,7,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 18, 'minutes': 1}",39,61,1,10,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Justin Brown.,-1.1077677360468863,,,
303310213098,30331021308,303310213,8,5,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 35, 'minutes': 1}",25,75,1,10,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Justin Brown.,-0.7029700220436519,,,
303310213111,30331021308,303310213,8,11,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 59, 'minutes': 0}",62,38,1,10,0,False,Pass Incompletion,Matthew McGloin pass incomplete to Evan Royster.,-0.7828922522763084,,,
303310213105,30331021308,303310213,8,10,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 4, 'minutes': 1}",47,53,3,2,0,False,Penalty,MICHIGAN ST penalty 15 yard Pass Interference accepted.,,,,
303310213095,30331021308,303310213,8,2,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 50, 'minutes': 1}",19,81,2,5,4,False,Rush,Evan Royster rush for 4 yards to the PnSt 23.,-0.06461037962778085,,,
303310213094,30331021308,303310213,8,1,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 30, 'minutes': 2}",14,86,1,10,5,False,Rush,Evan Royster rush for 5 yards to the PnSt 19.,0.07552653853059345,,,
303310213116,30331021308,303310213,8,14,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 41, 'minutes': 0}",62,38,4,10,0,False,Punt,"Alex Butterworth punt for 23 yards, downed at the MchSt 15.",,,,
303310213102,30331021308,303310213,8,9,Penn State,Big Ten,3,Michigan State,Penn State,Michigan State,Big Ten,14,2,"{'seconds': 8, 'minutes': 1}",47,53,3,2,0,False,Timeout,"Timeout PENN ST, clock 1:08.",,,,
