id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401110800101857401,4011108001,401110800,1,3,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 25, 'minutes': 14}",3,3,67,67,2,2,8,False,Rush,Lawrence Keys III run for 8 yds to the NDame 41 for a 1ST down,0.5083059148618289,2019-09-22T00:13:30.000Z
401110800101867801,4011108001,401110800,1,7,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 21, 'minutes': 13}",3,3,69,69,2,5,15,False,Pass Reception,Ian Book pass complete to Cole Kmet for 15 yds to the NDame 46 for a 1ST down,1.7255526214932624,2019-09-22T00:18:41.000Z
401110800101874001,4011108001,401110800,1,8,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 59, 'minutes': 12}",3,3,54,54,1,10,0,False,Pass Incompletion,Ian Book pass incomplete to Chase Claypool,-1.1590089706435955,2019-09-22T00:19:08.000Z
401110800101878601,4011108001,401110800,1,10,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 13, 'minutes': 12}",3,3,55,55,3,11,0,False,Pass Incompletion,Ian Book pass incomplete to Lawrence Keys III,-0.5099612870160346,2019-09-22T00:20:24.000Z
401110800101858101,4011108001,401110800,1,5,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 18, 'minutes': 14}",3,3,74,74,1,10,-5,False,Penalty,"NOTRE DAME Penalty, False Start (Liam Eichenberg) to the NDame 21",,2019-09-22T00:17:35.000Z
401110800101857402,4011108001,401110800,1,4,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 25, 'minutes': 14}",3,3,59,59,1,10,-15,False,Penalty,"NOTRE DAME Penalty, Personal Foul (Liam Eichenberg) to the NDame 26",,2019-09-22T00:13:30.000Z
401110800101854701,4011108001,401110800,1,2,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 52, 'minutes': 14}",3,3,75,75,1,10,8,False,Pass Reception,Ian Book pass complete to Cole Kmet for 8 yds to the NDame 33,0.9104368550610653,2019-09-22T00:13:04.000Z
401110800101864601,4011108001,401110800,1,6,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 53, 'minutes': 13}",3,3,79,79,1,15,10,False,Pass Reception,Ian Book pass complete to Cole Kmet for 10 yds to the NDame 31,0.8703159388501209,2019-09-22T00:18:15.000Z
401110800101879401,4011108001,401110800,1,11,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 5, 'minutes': 12}",3,3,55,55,4,11,0,False,Punt,"Jay Bramblett punt for 46 yds, fair catch by Tyler Simmons at the Geo 9",,2019-09-22T00:21:09.000Z
401110800101874601,4011108001,401110800,1,9,Notre Dame,FBS Independents,0,Georgia,Georgia,Notre Dame,SEC,0,1,"{'seconds': 53, 'minutes': 12}",3,3,54,54,2,10,-1,False,Rush,Lawrence Keys III run for a loss of 1 yard to the NDame 45,-1.0885529427695593,2019-09-22T00:19:48.000Z
