id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401110829104997501,40111082930,401110829,30,8,South Carolina,SEC,27,Florida,South Carolina,Florida,SEC,38,4,"{'seconds': 24, 'minutes': 0}",0.0,2.0,55,45,3,5,0,False,Pass Incompletion,Ryan Hilinski pass incomplete to Nick Muse,-1.0480751097049001,2019-10-19T19:23:42.000Z
401110829104996401,40111082930,401110829,30,7,South Carolina,SEC,27,Florida,South Carolina,Florida,SEC,38,4,"{'seconds': 35, 'minutes': 0}",0.0,2.0,55,45,2,5,0,False,Pass Incompletion,Ryan Hilinski pass incomplete to Josh Vann,-1.1417165513541647,2019-10-19T19:23:24.000Z
401110829104989901,40111082930,401110829,30,3,South Carolina,SEC,27,Florida,South Carolina,Florida,SEC,38,4,"{'seconds': 0, 'minutes': 1}",0.0,2.0,38,62,1,10,9,False,Rush,Tavien Feaster run for 9 yds to the SCaro 47,1.366372861038295,2019-10-19T19:20:41.000Z
401110829101904003,4011108292,401110829,2,1,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,0,1,"{'seconds': 59, 'minutes': 9}",3.0,3.0,35,65,3,1,16,False,Kickoff,"Will Tommie kickoff for 65 yds , Freddie Swain return for 16 yds to the Fla 16",,2019-10-19T16:10:26.000Z
401110829104984603,40111082929,401110829,29,1,South Carolina,SEC,27,Florida,South Carolina,Florida,SEC,38,4,"{'seconds': 53, 'minutes': 1}",3.0,2.0,35,65,2,6,0,False,Kickoff,Joseph Charlton on-side kick recovered by FLORIDA at the SCaro 45,,2019-10-19T19:11:06.000Z
401110829103864201,40111082916,401110829,16,3,South Carolina,SEC,17,Florida,South Carolina,Florida,SEC,10,3,"{'seconds': 57, 'minutes': 13}",3.0,3.0,79,21,3,11,21,True,Rushing Touchdown,"Tavien Feaster run for 21 yds for a TD, (Parker White KICK)",3.593194526665755,2019-10-19T17:49:05.000Z
401110829103858401,40111082916,401110829,16,1,South Carolina,SEC,10,Florida,South Carolina,Florida,SEC,10,3,"{'seconds': 15, 'minutes': 14}",3.0,3.0,80,20,1,10,-1,False,Rush,Ryan Hilinski run for a loss of 1 yard to the Fla 21,-0.462292755623382,2019-10-19T17:47:55.000Z
401110829103859301,40111082916,401110829,16,2,South Carolina,SEC,10,Florida,South Carolina,Florida,SEC,10,3,"{'seconds': 6, 'minutes': 14}",3.0,3.0,79,21,2,11,0,False,Pass Incompletion,Ryan Hilinski pass incomplete to Chavis Dawkins,-0.512974042010674,2019-10-19T17:48:12.000Z
401110829101976601,4011108295,401110829,5,4,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 33, 'minutes': 2}",3.0,2.0,18,82,3,8,0,False,Pass Incompletion,Ryan Hilinski pass incomplete to Shi Smith,-0.1318376833499606,2019-10-19T16:35:15.000Z
401110829101967401,4011108295,401110829,5,3,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 25, 'minutes': 3}",3.0,2.0,17,83,2,9,1,False,Rush,Mon Denson run for 1 yd to the SCaro 18,-0.210778344264968,2019-10-19T16:34:25.000Z
401110829101959901,4011108295,401110829,5,2,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 0, 'minutes': 4}",3.0,2.0,16,84,1,10,1,False,Rush,Mon Denson run for 1 yd to the SCaro 17,-0.3882045720730636,2019-10-19T16:33:59.000Z
401110829101977301,4011108295,401110829,5,5,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 26, 'minutes': 2}",3.0,2.0,18,82,4,8,0,False,Punt,"Joseph Charlton punt for 47 yds, fair catch by Freddie Swain at the Fla 35",,2019-10-19T16:35:58.000Z
401110829102969901,40111082913,401110829,13,1,South Carolina,SEC,10,Florida,South Carolina,Florida,SEC,10,2,"{'seconds': 0, 'minutes': 3}",3.0,2.0,49,51,1,10,2,False,Rush,Tavien Feaster run for 2 yds to the Fla 49,-0.643630697434087,2019-10-19T17:16:20.000Z
401110829102976901,40111082913,401110829,13,2,South Carolina,SEC,10,Florida,South Carolina,Florida,SEC,10,2,"{'seconds': 30, 'minutes': 2}",3.0,2.0,51,49,2,8,1,False,Rush,Tavien Feaster run for 1 yd to the Fla 48,-0.8822212984772212,2019-10-19T17:16:39.000Z
401110829102985401,40111082913,401110829,13,4,South Carolina,SEC,10,Florida,South Carolina,Florida,SEC,10,2,"{'seconds': 45, 'minutes': 1}",3.0,2.0,52,48,4,7,0,False,Punt,"Joseph Charlton punt for 40 yds, fair catch by Freddie Swain at the Fla 8",,2019-10-19T17:17:53.000Z
401110829102984601,40111082913,401110829,13,3,South Carolina,SEC,10,Florida,South Carolina,Florida,SEC,10,2,"{'seconds': 53, 'minutes': 1}",3.0,2.0,52,48,3,7,0,False,Pass Incompletion,Ryan Hilinski pass incomplete to Bryan Edwards,-0.8995343697285872,2019-10-19T17:17:07.000Z
401110829101995901,4011108297,401110829,7,2,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 40, 'minutes': 0}",3.0,2.0,28,72,2,6,36,False,Rush,Tavien Feaster run for 36 yds to the Fla 36 for a 1ST down,3.2438279894870927,2019-10-19T16:40:01.000Z
401110829102854701,4011108297,401110829,7,5,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,2,"{'seconds': 52, 'minutes': 14}",3.0,2.0,63,37,2,11,0,False,Pass Incompletion,Ryan Hilinski pass incomplete to Shi Smith,-0.9780413412453283,2019-10-19T16:44:38.000Z
401110829102855601,4011108297,401110829,7,6,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,2,"{'seconds': 43, 'minutes': 14}",3.0,2.0,63,37,3,11,6,False,Rush,Tavien Feaster run for 6 yds to the Fla 31,0.2751588344389743,2019-10-19T16:46:13.000Z
401110829102859301,4011108297,401110829,7,7,South Carolina,SEC,10,Florida,South Carolina,Florida,SEC,3,2,"{'seconds': 6, 'minutes': 14}",3.0,2.0,69,31,4,5,49,True,Field Goal Good,Parker White 49 yd FG GOOD,0.6168605339822317,2019-10-19T16:47:38.000Z
401110829101997402,4011108297,401110829,7,4,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 0, 'minutes': 0}",3.0,2.0,0,100,0,10,0,False,End Period,End of 1st Quarter,,2019-10-19T16:40:26.000Z
401110829101997401,4011108297,401110829,7,3,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 25, 'minutes': 0}",3.0,2.0,64,36,1,10,-1,False,Rush,Tavien Feaster run for a loss of 1 yard to the Fla 37,-0.9031999321620817,2019-10-19T16:40:26.000Z
401110829101989901,4011108297,401110829,7,1,South Carolina,SEC,7,Florida,South Carolina,Florida,SEC,3,1,"{'seconds': 0, 'minutes': 1}",3.0,2.0,24,76,1,10,4,False,Rush,Tavien Feaster run for 4 yds to the SCaro 28,-0.1089877410850981,2019-10-19T16:39:51.000Z
401110829103875901,40111082918,401110829,18,4,South Carolina,SEC,17,Florida,South Carolina,Florida,SEC,17,3,"{'seconds': 40, 'minutes': 12}",3.0,3.0,27,73,3,8,4,False,Pass Reception,Ryan Hilinski pass complete to Shi Smith for 4 yds to the SCaro 31,-0.04102270824781762,2019-10-19T17:57:18.000Z
