id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,offenseTimeouts,defenseTimeouts,wallclock
323430349105,32343034912,323430349,12,4,Army,FBS Independents,10,Navy,Army,Navy,FBS Independents,10,3,"{'seconds': 0, 'minutes': 10}",37,63,1,10,3,False,Rush,Trent Steelman rush for 3 yards to the Army 40.,-0.4199785122886155,,,
323430349107,32343034912,323430349,12,6,Army,FBS Independents,10,Navy,Army,Navy,FBS Independents,10,3,"{'seconds': 30, 'minutes': 8}",41,59,3,6,0,False,Sack,Trent Steelman sacked by Keegan Wetzel for a loss of 8 yards to the Army 33.,-0.6094006658069526,,,
323430349104,32343034912,323430349,12,3,Army,FBS Independents,10,Navy,Army,Navy,FBS Independents,10,3,"{'seconds': 25, 'minutes': 10}",22,78,1,10,15,False,Rush,Raymond Maples rush for 15 yards to the Army 37 for a 1ST down.,1.221474008763372,,,
323430349106,32343034912,323430349,12,5,Army,FBS Independents,10,Navy,Army,Navy,FBS Independents,10,3,"{'seconds': 0, 'minutes': 10}",40,60,2,7,1,False,Rush,Malcolm Brown rush for 1 yard to the Army 41.,-0.7667149095937038,,,
323430349103,32343034912,323430349,12,2,Army,FBS Independents,10,Navy,Army,Navy,FBS Independents,10,3,"{'seconds': 25, 'minutes': 10}",18,82,2,2,4,False,Rush,Larry Dixon rush for 4 yards to the Army 22 for a 1ST down.,-0.0634033614365847,,,
323430349102,32343034912,323430349,12,1,Army,FBS Independents,10,Navy,Army,Navy,FBS Independents,10,3,"{'seconds': 45, 'minutes': 10}",10,90,1,10,8,False,Rush,Raymond Maples rush for 8 yards to the Army 18.,0.5852628122326671,,,
323430349108,32343034912,323430349,12,7,Army,FBS Independents,10,Navy,Army,Navy,FBS Independents,10,3,"{'seconds': 18, 'minutes': 8}",33,67,4,14,0,False,Punt,"Chris Boldt punt for 33 yards, fair catch by Shawn Lynch at the Navy 34.",,,,
323430349024,32343034903,323430349,3,2,Army,FBS Independents,0,Navy,Army,Navy,FBS Independents,0,1,"{'seconds': 0, 'minutes': 5}",5,95,2,6,3,False,Rush,Malcolm Brown rush for 3 yards to the Army 8.,-0.09049091120685926,,,
323430349026,32343034903,323430349,3,4,Army,FBS Independents,0,Navy,Army,Navy,FBS Independents,0,1,"{'seconds': 55, 'minutes': 4}",19,81,1,10,1,False,Rush,Raymond Maples rush for 1 yard to the Army 20.,-0.4473552582060227,,,
323430349023,32343034903,323430349,3,1,Army,FBS Independents,0,Navy,Army,Navy,FBS Independents,0,1,"{'seconds': 55, 'minutes': 5}",1,99,1,10,4,False,Rush,Larry Dixon rush for 4 yards to the Army 5.,-0.026373985240724984,,,
