game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401438171,2022,3,regular,away,2310,Kentucky State,SIAC,2168,Dayton,Pioneer,1-7,0,7,1--3,0,0,0,0,1,0,31,3,3,18,0,0,0,30:33,0,0,0,0,40,0,116,0,0,0,0-0,1,4-30,134,1,2.6,2.9
401438171,2022,3,regular,home,2168,Dayton,Pioneer,2310,Kentucky State,SIAC,11-18,0,21,1--1,0,0,0,69,0,0,44,2,8,182,0,1,3,29:27,0,19,2,0,44,3,166,0,0,0,0-0,1,3-25,348,0,10.1,3.8
401441290,2022,12,regular,away,2115,Central Connecticut,NEC,284,Stonehill,NEC,14-15,0,22,3-3,0,0,0,-3,1,0,49,2,3,258,0,2,2,31:44,0,0,1,0,41,4,222,0,0,0,6-10,0,6-70,480,1,17.2,5.4
401441290,2022,12,regular,home,284,Stonehill,NEC,2115,Central Connecticut,NEC,16-30,0,19,3-4,0,0,0,0,2,0,83,4,2,103,0,1,1,28:16,0,4,1,0,35,1,173,0,0,0,5-12,0,5-55,276,2,3.4,4.9
401441291,2022,8,regular,away,284,Stonehill,NEC,2598,St. Francis (PA),NEC,18-33,0,17,0-0,1,3,0,0,1,0,0,0,7,126,0,1,0,29:33,0,-1,1,0,38,1,129,0,0,0,7-17,2,4-35,255,2,3.8,3.4
401441291,2022,8,regular,home,2598,St. Francis (PA),NEC,284,Stonehill,NEC,13-21,0,15,0-1,2,2,0,1,1,0,71,3,5,156,0,1,1,30:27,0,23,3,0,43,1,219,0,0,0,5-14,4,6-65,375,3,7.4,5.1
401441990,2022,1,regular,away,2341,Long Island University,NEC,2649,Toledo,Mid-American,14-26,0,7,0-1,0,0,0,0,1,0,10,1,0,68,1,0,0,29:52,0,0,0,2,34,0,45,1,31,0,3-16,2,10-54,113,1,2.6,1.3
401441990,2022,1,regular,home,2649,Toledo,Mid-American,2341,Long Island University,NEC,22-29,0,21,2-3,0,0,0,11,1,0,30,1,13,216,4,1,2,30:08,0,34,4,3,46,2,226,2,20,0,4-15,0,9-79,442,1,7.4,4.9
401441991,2022,4,regular,away,2803,Bryant,Big South,2341,Long Island University,NEC,19-30,0,24,1-2,0,1,0,0,1,0,75,4,7,180,0,0,0,27:33,0,1,1,0,36,3,165,0,0,0,7-12,1,4-34,345,1,6.0,4.6
401441991,2022,4,regular,home,2341,Long Island University,NEC,2803,Bryant,Big South,21-32,0,22,0-0,1,2,0,0,0,0,74,4,17,253,0,1,0,32:27,0,1,1,0,40,2,159,0,0,0,9-17,1,8-81,412,1,7.9,4.0
