game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
252440009,2005,1,regular,away,218,Temple,FBS Independents,9,Arizona State,Pac-10,18-37,18,0-1,1,1,0,0,2,0,0,0,2,203,2,1,18:01,0,1,2,35,1,62,6-16,0-0,265,3,5.5,1.8
252440009,2005,1,regular,home,9,Arizona State,Pac-10,218,Temple,FBS Independents,19-31,27,1-1,1,1,0,0,2,0,0,0,9,267,0,1,18:38,0,58,8,44,4,300,6-11,0-0,559,3,8.4,6.8
252440041,2005,1,regular,away,2084,Buffalo,Mid-American,41,UConn,Big East,10-21,6,0-1,0,0,0,0,0,0,0,0,0,81,1,0,14:12,0,0,2,28,0,65,2-14,0-0,125,0,2.9,2.3
252440041,2005,1,regular,home,41,UConn,Big East,2084,Buffalo,Mid-American,14-21,24,0-0,0,0,0,0,1,0,0,0,8,151,0,3,22:27,0,118,5,55,2,290,8-17,0-0,422,1,6.3,5.3
252440154,2005,1,regular,away,238,Vanderbilt,SEC,154,Wake Forest,ACC,25-36,24,0-1,0,1,0,0,1,0,0,0,6,276,0,1,17:12,0,0,0,30,2,146,7-13,0-0,422,1,7.7,4.9
252440154,2005,1,regular,home,154,Wake Forest,ACC,238,Vanderbilt,SEC,15-26,26,1-2,1,0,0,0,0,0,0,0,8,225,1,0,18:49,0,0,0,51,2,274,5-14,0-0,472,1,7.6,5.4
252440202,2005,1,regular,away,135,Minnesota,Big Ten,202,Tulsa,Conference USA,14-25,24,0-1,1,3,0,0,1,0,0,0,11,252,0,1,25:10,0,2,2,44,4,301,6-12,0-0,536,2,9.4,6.8
252440202,2005,1,regular,home,202,Tulsa,Conference USA,135,Minnesota,Big Ten,27-41,19,1-1,3,1,0,0,1,0,0,0,4,225,1,1,19:49,0,0,1,35,0,135,8-19,0-0,353,4,5.3,3.9
252440248,2005,1,regular,away,2483,Oregon,Pac-10,248,Houston,Conference USA,30-49,30,0-0,0,0,0,22,1,0,0,0,16,348,2,2,20:33,0,69,4,36,1,206,7-15,0-0,554,1,7.1,5.7
252440248,2005,1,regular,home,248,Houston,Conference USA,2483,Oregon,Pac-10,24-43,18,2-4,0,0,0,11,2,0,0,0,6,329,1,2,16:37,0,0,1,26,1,100,5-16,0-0,412,2,7.3,3.8
252440265,2005,1,regular,away,70,Idaho,Western Athletic,265,Washington State,Pac-10,19-32,19,0-0,1,1,0,7,0,0,0,0,8,196,2,2,21:27,0,4,3,41,1,86,4-17,0-0,266,1,5.6,2.1
