game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
400868876,2016,1,regular,away,2466,Northwestern State,Southland,239,Baylor,Big 12,5-19,0,9,1-1,0,1,0,0,0,0,79,5,1,31,3,0,0,31:45,0,0,0,0,40,1,47,0,49,2,1-15,2,7-37,78,0,1.6,1.2
400868876,2016,1,regular,home,239,Baylor,Big 12,2466,Northwestern State,Southland,19-29,0,23,1-1,1,0,0,0,0,0,0,0,13,223,3,0,5,28:15,0,95,6,6,43,2,275,2,41,15,7-15,1,12-93,498,1,7.7,6.4
400868877,2016,2,regular,away,2567,SMU,American Athletic,239,Baylor,Big 12,17-44,0,21,0-0,1,1,0,54,3,0,77,5,7,229,4,2,1,27:42,0,4,2,5,38,0,176,0,73,4,5-17,2,4-40,405,4,5.2,4.6
400868877,2016,2,regular,home,239,Baylor,Big 12,2567,SMU,American Athletic,26-48,1,29,4-5,1,1,1,95,2,0,86,4,10,261,7,3,2,32:18,0,8,3,7,55,2,275,1,45,4,8-22,4,14-101,536,3,5.4,5.0
400868878,2016,4,regular,away,197,Oklahoma State,Big 12,239,Baylor,Big 12,27-46,0,30,2-4,3,1,0,0,1,0,51,3,6,279,4,1,0,41:27,0,0,0,0,55,3,213,1,40,5,12-21,3,4-32,492,4,6.1,3.9
400868878,2016,4,regular,home,239,Baylor,Big 12,197,Oklahoma State,Big 12,18-28,0,20,0-2,1,3,0,25,1,0,46,4,5,387,5,1,4,18:33,0,1,1,7,37,1,136,4,60,13,6-12,2,7-70,523,2,13.8,3.7
400868879,2016,5,regular,away,239,Baylor,Big 12,66,Iowa State,Big 12,12-22,0,30,1-2,0,0,0,0,0,0,34,2,9,178,1,0,1,26:00,0,0,0,2,62,5,469,1,48,2,10-15,0,9-79,647,0,8.1,7.6
400868879,2016,5,regular,home,66,Iowa State,Big 12,239,Baylor,Big 12,17-23,0,26,1-1,0,0,0,0,0,0,132,5,6,261,4,0,2,34:00,0,1,2,1,54,4,204,1,51,5,9-13,0,9-80,465,0,11.3,3.8
400868880,2016,7,regular,away,2305,Kansas,Big 12,239,Baylor,Big 12,13-27,0,15,1-2,1,1,0,0,4,0,52,6,1,134,3,0,0,33:07,0,0,0,3,48,1,83,1,49,3,3-15,2,4-35,217,5,5.0,1.7
400868880,2016,7,regular,home,239,Baylor,Big 12,2305,Kansas,Big 12,13-30,1,20,2-3,1,1,1,170,0,0,0,0,7,207,5,4,2,26:53,0,45,3,2,49,4,246,5,54,10,7-17,1,6-38,453,1,6.9,5.0
