game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401281942,2021,1,regular,away,333,Alabama,SEC,2390,Miami,ACC,28-39,0,28,0-1,1,1,0,12,0,0,17,1,14,354,4,2,4,37:02,0,20,3,0,38,1,147,4,25,7,10-16,2,8-81,501,1,9.1,3.9
401281942,2021,1,regular,home,2390,Miami,ACC,333,Alabama,SEC,23-31,0,18,1-2,1,1,0,0,2,0,0,0,7,179,1,0,1,22:58,0,0,0,0,31,0,87,1,35,10,6-14,1,7-75,266,3,5.8,2.8
401281943,2021,1,regular,away,242,Rice,Conference USA,8,Arkansas,SEC,17-34,0,19,1-2,0,0,0,0,3,0,16,1,5,227,1,1,1,33:54,0,19,2,2,39,1,81,2,30,3,4-15,1,10-60,308,3,6.7,2.1
401281943,2021,1,regular,home,8,Arkansas,SEC,242,Rice,Conference USA,12-21,0,18,0-1,0,0,0,88,1,0,108,4,8,128,3,3,1,26:06,0,4,1,5,44,4,245,2,24,6.5,3-11,2,13-117,373,1,6.1,5.6
401281944,2021,1,regular,away,2006,Akron,Mid-American,2,Auburn,SEC,22-27,0,12,2-5,0,0,0,0,0,0,46,4,4,191,0,0,1,35:42,0,1,1,1,36,0,-3,0,38,2,3-14,4,5-35,188,0,7.1,-0.1
401281944,2021,1,regular,home,2,Auburn,SEC,2006,Akron,Mid-American,22-27,0,28,0-0,0,0,0,0,0,0,61,3,10,297,1,0,3,24:18,0,30,2,1,32,5,316,7,42,12,4-6,0,3-25,613,0,11.0,9.9
401281945,2021,1,regular,away,2226,Florida Atlantic,Conference USA,57,Florida,SEC,19-33,0,23,0-2,2,0,0,0,0,0,61,3,2,261,4,2,1,29:42,0,-1,1,0,37,1,92,0,35,4,5-12,2,6-28,353,2,7.9,2.5
401281945,2021,1,regular,home,57,Florida,SEC,2226,Florida Atlantic,Conference USA,20-35,0,26,1-2,0,2,0,0,2,0,0,1,5,153,1,0,1,30:18,0,50,3,8,46,4,400,6,35,6,10-16,0,9-91,553,2,4.4,8.7
401281946,2021,1,regular,away,61,Georgia,SEC,228,Clemson,ACC,22-30,1,15,0-0,1,0,1,74,1,0,25,1,4,135,4,1,0,31:29,0,13,2,2,31,0,121,7,27,8,7-15,2,10-94,256,2,4.5,3.9
401281946,2021,1,regular,home,228,Clemson,ACC,61,Georgia,SEC,19-37,0,14,0-1,0,1,0,3,1,0,18,1,3,178,3,1,0,28:31,0,0,0,2,23,0,2,1,35,4,5-16,2,7-59,180,1,4.8,0.1
