game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401012246,2018,1,regular,away,97,Louisville,ACC,333,Alabama,SEC,20-39,0,19,0-1,0,1,0,0,2,0,110,5,2,252,1,0,2,28:51,0,0,0,2,26,0,16,1,28,2,4-14,0,11-93,268,2,6.5,0.6
401012246,2018,1,regular,home,333,Alabama,SEC,97,Louisville,ACC,17-26,0,21,0-0,1,0,1,70,0,1,77,1,9,297,2,2,2,31:09,0,80,4,3,42,3,222,3,25,9.5,10-15,0,10-111,519,1,11.4,5.3
401012247,2018,1,regular,away,2197,Eastern Illinois,OVC,8,Arkansas,SEC,27-40,0,21,3-4,5,0,0,0,0,0,99,5,2,230,4,0,3,30:50,0,3,1,1,41,0,127,1,42,6,6-18,6,6-30,357,5,5.8,3.1
401012247,2018,1,regular,home,8,Arkansas,SEC,2197,Eastern Illinois,OVC,21-29,0,18,0-0,0,4,0,0,0,0,102,4,13,353,5,0,4,27:31,0,0,0,3,37,2,80,2,40,8,7-15,0,4-40,433,0,12.2,2.2
401012248,2018,1,regular,away,264,Washington,Pac-12,2,Auburn,SEC,18-32,0,25,0-1,1,0,0,0,1,0,0,0,10,296,2,0,1,28:42,0,0,0,0,32,0,106,2,44,3,5-14,1,10-95,402,2,9.3,3.3
401012248,2018,1,regular,home,2,Auburn,SEC,264,Washington,Pac-12,26-36,0,27,1-1,0,1,0,0,0,0,64,4,9,273,6,1,1,30:43,0,32,2,0,45,1,147,5,38,9,9-18,1,12-103,420,0,7.6,3.3
401012249,2018,1,regular,away,2127,Charleston Southern,Big South,57,Florida,SEC,5-16,0,9,1-3,2,0,0,0,1,0,83,4,0,3,5,0,0,32:02,0,0,0,1,43,1,222,0,32,5,3-14,4,6-50,225,3,0.2,5.2
401012249,2018,1,regular,home,57,Florida,SEC,2127,Charleston Southern,Big South,19-27,0,25,1-2,0,2,0,0,0,0,2,2,15,241,3,1,5,27:58,0,17,2,6,39,1,203,3,26,8,2-9,3,3-20,444,0,8.9,5.2
401012250,2018,1,regular,away,2046,Austin Peay,OVC,61,Georgia,SEC,13-21,0,7,0-1,1,1,0,0,0,0,0,0,0,61,2,0,0,33:01,0,0,0,0,29,0,91,0,31,2,2-13,2,3-15,152,1,2.9,3.1
401012250,2018,1,regular,home,61,Georgia,SEC,2046,Austin Peay,OVC,21-27,0,21,0-0,1,1,0,0,0,0,24,1,9,224,1,0,3,26:59,0,14,4,0,33,3,284,0,23,3,4-9,1,3-40,508,1,8.3,8.6
