game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
302450005,2010,1,regular,away,2226,Florida Atlantic,Sun Belt,5,UAB,Conference USA,15-25,12,0-0,0,0,1,38,1,0,114,6,2,279,1,3,15:03,0,-3,3,27,1,90,3-12,3-15,347,1,10.3,3.3
302450005,2010,1,regular,home,5,UAB,Conference USA,2226,Florida Atlantic,Sun Belt,9-19,17,1-1,0,0,0,19,1,0,107,5,7,87,1,1,20:16,0,27,7,47,3,345,2-13,4-39,424,1,4.2,7.3
302450062,2010,1,regular,away,30,USC,Pac-10,62,Hawai'i,Western Athletic,20-27,25,0-0,1,0,0,0,0,0,101,7,3,284,0,5,16:26,1,100,3,35,1,246,9-12,11-100,524,1,10.3,7.0
302450062,2010,1,regular,home,62,Hawai'i,Western Athletic,30,USC,Pac-10,27-49,31,0-1,0,1,0,0,0,0,82,4,12,483,0,3,19:04,0,0,0,29,1,129,8-15,5-42,588,0,9.4,4.4
302450066,2010,1,regular,away,2459,Northern Illinois,Mid-American,66,Iowa State,Big 12,14-29,14,2-2,0,1,0,56,3,0,106,5,4,101,2,0,17:07,0,0,0,36,1,156,3-13,4-51,249,3,3.2,4.3
302450066,2010,1,regular,home,66,Iowa State,Big 12,2459,Northern Illinois,Mid-American,27-36,25,2-2,1,0,0,20,2,0,7,1,9,269,3,0,19:02,0,11,4,37,3,138,6-13,5-60,403,3,7.4,3.7
302450070,2010,1,regular,away,155,North Dakota,Great West,70,Idaho,Western Athletic,19-35,17,1-2,3,0,0,0,2,0,103,4,0,128,1,0,17:25,0,21,1,33,0,148,3-13,6-62,270,5,3.5,4.5
302450070,2010,1,regular,home,70,Idaho,Western Athletic,155,North Dakota,Great West,30-48,26,0-0,0,3,0,75,1,0,15,1,9,451,2,3,19:15,0,9,5,26,3,126,5-12,12-110,547,1,8.8,4.8
302450084,2010,1,regular,away,119,Towson,CAA,84,Indiana,Big Ten,16-35,16,2-5,0,0,0,0,3,0,227,9,5,165,0,2,22:39,0,18,3,42,0,227,4-16,4-40,392,3,4.7,5.4
302450084,2010,1,regular,home,84,Indiana,Big Ten,119,Towson,CAA,18-30,18,0-0,0,0,1,62,0,0,118,3,15,205,3,2,14:01,0,13,2,26,3,155,2-10,3-25,360,0,6.8,6.0
