game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
292460066,2009,1,regular,away,2449,North Dakota State,MVFC,66,Iowa State,Big 12,15-27,16,0-0,1,2,0,0,1,0,105,7,5,200,0,1,20:38,0,-3,1,38,1,210,5-14,8-60,388,2,6.6,5.5
292460066,2009,1,regular,home,66,Iowa State,Big 12,2449,North Dakota State,MVFC,17-31,26,0-0,2,1,0,0,0,0,120,4,10,246,1,2,16:20,0,18,7,40,2,204,6-12,1-10,442,2,7.7,5.1
292460068,2009,1,regular,away,2483,Oregon,Pac-10,68,Boise State,Western Athletic,14-27,6,0-2,1,3,0,0,1,0,95,5,0,128,0,0,10:48,0,9,1,17,1,31,1-10,8-70,152,2,4.5,1.8
292460068,2009,1,regular,home,68,Boise State,Western Athletic,2483,Oregon,Pac-10,19-30,22,2-4,3,1,0,11,0,0,91,3,3,207,1,1,25:52,0,19,4,59,1,164,10-20,6-40,361,3,6.6,2.8
292460084,2009,1,regular,away,2198,Eastern Kentucky,OVC,84,Indiana,Big Ten,17-26,17,0-0,1,1,0,13,0,0,73,4,7,323,2,1,17:27,0,37,2,31,0,100,3-11,9-65,378,1,10.7,3.2
292460084,2009,1,regular,home,84,Indiana,Big Ten,2198,Eastern Kentucky,OVC,27-36,22,1-1,1,1,0,0,2,0,78,3,5,327,0,1,19:13,0,-1,3,31,1,73,6-13,8-43,399,3,9.1,2.4
292460152,2009,1,regular,away,2579,South Carolina,SEC,152,NC State,ACC,13-22,16,2-3,0,1,0,0,1,0,39,2,1,165,0,0,19:38,0,19,5,42,1,108,5-15,3-45,256,1,6.7,2.6
292460152,2009,1,regular,home,152,NC State,ACC,2579,South Carolina,SEC,13-25,11,0-1,1,0,0,0,0,0,39,2,3,107,1,0,16:41,0,42,4,31,0,59,5-14,4-23,133,1,3.0,1.9
292460189,2009,1,regular,away,2653,Troy,Sun Belt,189,Bowling Green,Mid-American,28-44,17,0-3,0,0,0,0,2,0,95,5,2,280,1,1,15:27,0,5,4,21,1,41,4-13,4-30,304,2,6.0,2.0
292460189,2009,1,regular,home,189,Bowling Green,Mid-American,2653,Troy,Sun Belt,32-44,21,3-3,0,0,1,77,1,0,61,3,7,340,2,2,21:01,0,4,4,28,1,50,4-13,6-49,389,1,7.7,1.8
