game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
312440009,2011,1,regular,away,302,UC Davis,Great West,9,Arizona State,Pac-12,18-30,12,2-2,0,1,0,15,0,0,227,8,2,183,1,0,18:28,0,-4,1,26,2,88,3-14,6-35,243,0,5.2,3.4
312440009,2011,1,regular,home,9,Arizona State,Pac-12,302,UC Davis,Great West,24-32,24,2-4,1,0,0,0,1,1,161,3,12,300,0,2,17:42,0,93,6,40,3,217,5-12,4-40,517,2,9.4,5.4
312440059,2011,1,regular,away,2717,Western Carolina,Southern,59,Georgia Tech,ACC,22-37,18,0-1,0,2,0,0,1,0,204,10,3,218,0,0,19:07,0,15,2,40,2,104,8-18,6-29,301,1,5.3,2.6
312440059,2011,1,regular,home,59,Georgia Tech,ACC,2717,Western Carolina,Southern,11-16,21,0-1,2,0,0,15,0,0,51,2,9,365,1,3,17:35,0,29,5,48,6,297,9-12,5-53,662,2,22.8,6.2
312440070,2011,1,regular,away,189,Bowling Green,Mid-American,70,Idaho,Western Athletic,19-31,20,0-3,0,2,0,13,0,0,79,4,6,293,1,2,24:00,0,32,6,48,2,187,7-17,9-87,478,0,9.4,3.9
312440070,2011,1,regular,home,70,Idaho,Western Athletic,189,Bowling Green,Mid-American,20-44,18,1-1,2,0,0,0,1,0,102,6,1,251,0,2,11:15,0,18,1,21,0,52,2-12,5-45,280,3,5.2,2.5
312440097,2011,1,regular,away,93,Murray State,OVC,97,Louisville,Big East,17-34,19,0-1,0,3,0,0,3,0,41,2,3,166,1,0,18:11,0,0,0,48,1,164,10-21,4-33,312,3,4.4,3.4
312440097,2011,1,regular,home,97,Louisville,Big East,93,Murray State,OVC,17-33,16,1-2,3,0,0,5,1,0,95,3,3,232,3,2,18:29,0,31,6,37,1,159,8-16,10-65,385,4,6.8,4.3
312440098,2011,1,regular,away,96,Kentucky,SEC,98,Western Kentucky,Sun Belt,7-18,11,0-1,0,0,0,10,3,0,26,2,2,124,4,1,15:53,0,-6,4,33,1,93,3-13,7-45,190,3,5.4,2.8
312440098,2011,1,regular,home,98,Western Kentucky,Sun Belt,96,Kentucky,SEC,9-27,13,0-0,0,0,0,0,4,0,35,2,3,104,3,0,20:27,0,9,4,42,0,141,6-18,12-105,234,4,3.4,3.4
312440164,2011,1,regular,away,2428,North Carolina Central,MEAC,164,Rutgers,Big East,14-30,8,0-0,0,0,0,0,2,0,109,5,0,160,1,0,15:35,0,-2,2,30,0,8,5-17,9-58,120,2,3.7,0.3
312440164,2011,1,regular,home,164,Rutgers,Big East,2428,North Carolina Central,MEAC,15-34,20,2-2,0,0,1,37,1,0,0,1,12,210,2,2,21:04,0,5,5,41,2,137,8-17,7-55,347,1,6.2,3.3
312440183,2011,1,regular,away,154,Wake Forest,ACC,183,Syracuse,Big East,24-41,23,2-3,0,1,0,0,1,0,72,5,11,345,0,3,21:51,0,12,3,43,0,80,7-19,10-94,406,1,8.0,1.9
312440183,2011,1,regular,home,183,Syracuse,Big East,154,Wake Forest,ACC,20-28,15,0-0,1,0,0,0,0,0,136,7,4,187,1,3,14:43,0,0,0,30,2,121,3-11,8-76,299,1,6.4,4.0
312440218,2011,1,regular,away,222,Villanova,CAA,218,Temple,Mid-American,12-26,13,0-2,0,0,0,0,3,0,102,6,1,167,0,0,16:10,0,6,1,35,1,122,7-15,5-35,275,3,5.9,3.5
312440218,2011,1,regular,home,218,Temple,Mid-American,222,Villanova,CAA,14-20,23,1-1,0,0,0,25,0,0,37,2,6,260,3,2,20:23,0,37,3,45,4,240,9-14,6-35,475,0,11.8,5.3
312440235,2011,1,regular,away,344,Mississippi State,SEC,235,Memphis,Conference USA,19-31,24,1-2,1,2,0,0,0,0,0,1,11,336,1,3,13:10,0,35,7,38,5,309,4-12,6-30,645,1,10.8,8.1
312440235,2011,1,regular,home,235,Memphis,Conference USA,344,Mississippi State,SEC,26-40,19,1-2,2,1,0,0,1,0,170,10,2,183,0,1,23:26,0,0,4,47,1,164,8-22,8-55,338,3,4.3,3.5
312440254,2011,1,regular,away,147,Montana State,Big Sky,254,Utah,Pac-12,16-29,12,1-2,0,0,0,0,2,0,81,5,4,198,0,1,17:57,0,14,2,29,0,75,5-15,5-45,258,2,6.3,2.6
312440254,2011,1,regular,home,254,Utah,Pac-12,147,Montana State,Big Sky,15-23,16,2-2,0,0,0,60,0,0,20,1,9,119,2,2,18:37,0,45,6,38,1,191,4-13,7-65,292,0,4.4,5.0
312440275,2011,1,regular,away,2439,UNLV,Mountain West,275,Wisconsin,Big Ten,18-27,19,2-2,0,0,0,0,0,0,160,8,5,165,0,2,21:00,0,0,2,38,0,146,2-12,7-65,292,0,5.4,3.8
312440275,2011,1,regular,home,275,Wisconsin,Big Ten,2439,UNLV,Mountain West,11-15,20,1-1,0,0,0,0,0,0,101,4,9,269,0,2,15:40,0,58,3,38,5,241,2-5,6-50,499,0,17.2,6.3
312442117,2011,1,regular,away,2569,South Carolina State,MEAC,2117,Central Michigan,Mid-American,12-26,11,0-0,0,0,0,22,0,0,65,4,6,95,2,0,17:39,0,2,1,41,0,80,4-19,6-49,158,0,3.0,2.0
312442117,2011,1,regular,home,2117,Central Michigan,Mid-American,2569,South Carolina State,MEAC,14-27,13,1-1,0,0,0,0,2,0,99,3,3,186,0,2,19:01,0,29,10,35,1,88,3-14,8-86,256,2,6.2,2.5
312442229,2011,1,regular,away,249,North Texas,Sun Belt,2229,Florida International,Sun Belt,19-35,17,0-3,1,2,0,0,0,0,218,9,2,222,0,0,20:07,0,3,2,38,0,97,4-16,5-45,301,1,5.8,2.6
312442229,2011,1,regular,home,2229,Florida International,Sun Belt,249,North Texas,Sun Belt,16-23,22,0-0,2,1,0,0,0,0,113,3,11,197,0,1,16:56,0,10,3,40,4,208,3-11,6-62,401,2,8.4,5.2
312442649,2011,1,regular,away,160,New Hampshire,CAA,2649,Toledo,Mid-American,24-33,18,2-2,0,0,0,0,2,0,222,10,2,196,0,1,14:49,0,0,0,33,2,152,5-13,3-25,332,2,5.5,4.6
312442649,2011,1,regular,home,2649,Toledo,Mid-American,160,New Hampshire,CAA,27-36,28,1-1,0,0,0,6,0,0,78,3,16,304,2,5,21:24,0,43,3,47,2,278,13-18,6-43,582,0,8.4,5.9
312450127,2011,1,regular,away,2754,Youngstown State,MVFC,127,Michigan State,Big Ten,17-35,20,0-1,0,1,0,0,1,0,82,4,0,126,0,1,19:09,0,-1,1,32,0,136,8-15,4-32,262,1,3.6,4.3
312450127,2011,1,regular,home,127,Michigan State,Big Ten,2754,Youngstown State,MVFC,19-23,22,0-0,1,0,0,13,0,0,41,2,4,243,1,1,20:01,0,5,4,35,3,159,3-7,7-50,396,1,10.3,4.5
312450239,2011,1,regular,away,2628,TCU,Mountain West,239,Baylor,Big 12,25-40,24,1-2,0,1,0,0,1,0,257,8,8,251,0,4,20:26,0,29,2,38,2,215,6-16,6-45,466,1,6.3,5.7
312450239,2011,1,regular,home,239,Baylor,Big 12,2628,TCU,Mountain West,23-29,25,0-0,1,0,0,11,0,0,167,7,8,419,1,6,16:14,0,9,2,36,1,150,4-10,11-119,564,1,14.3,4.2
312460002,2011,1,regular,away,328,Utah State,Western Athletic,2,Auburn,SEC,22-31,27,3-3,0,0,0,0,0,0,46,2,8,224,0,0,23:01,0,10,2,53,5,227,10-17,6-38,448,0,7.1,4.3
312460002,2011,1,regular,home,2,Auburn,SEC,328,Utah State,Western Athletic,18-24,17,1-1,0,0,0,0,0,1,257,7,6,301,0,3,13:27,0,13,2,30,2,78,3-9,7-60,364,0,11.9,2.6
312460008,2011,1,regular,away,2623,Missouri State,MVFC,8,Arkansas,SEC,9-18,9,1-1,0,1,0,0,1,0,95,4,1,96,0,1,17:11,0,15,1,31,0,84,1-11,4-25,163,1,4.4,2.7
312460008,2011,1,regular,home,8,Arkansas,SEC,2623,Missouri State,MVFC,28-35,24,2-2,1,0,0,12,0,0,18,1,9,379,1,3,19:29,2,188,8,33,2,102,6-12,8-76,466,1,10.4,3.1
312460012,2011,1,regular,away,2464,Northern Arizona,Big Sky,12,Arizona,Pac-12,20-26,16,0-1,0,0,0,0,1,0,20,1,4,200,0,1,22:13,0,4,1,33,0,80,2-12,8-47,259,1,6.9,2.4
312460012,2011,1,regular,home,12,Arizona,Pac-12,2464,Northern Arizona,Big Sky,34-42,24,1-2,0,0,0,0,0,0,50,2,5,424,1,5,14:21,0,15,5,20,1,75,2-7,11-79,492,0,9.9,3.8
312460021,2011,1,regular,away,13,Cal Poly,Great West,21,San Diego State,Mountain West,7-14,12,0-0,0,0,0,0,0,0,162,6,3,161,0,0,14:32,0,5,1,45,3,138,5-15,7-65,285,0,10.5,3.1
312460021,2011,1,regular,home,21,San Diego State,Mountain West,13,Cal Poly,Great West,15-28,22,2-2,0,0,0,0,0,1,143,4,7,203,0,4,21:55,0,17,6,49,2,289,8-17,5-40,492,0,7.3,5.9
312460024,2011,1,regular,away,23,San José State,Western Athletic,24,Stanford,Pac-12,17-33,12,0-1,3,0,0,0,0,0,168,10,3,232,0,0,15:20,0,8,2,32,0,27,3-14,7-70,237,3,6.4,0.8
312460024,2011,1,regular,home,24,Stanford,Pac-12,23,San José State,Western Athletic,22-31,21,2-2,0,3,0,0,0,0,90,3,13,232,0,3,20:52,0,61,4,40,4,141,5-13,3-30,373,0,7.5,3.5
312460025,2011,1,regular,away,278,Fresno State,Western Athletic,25,California,Pac-12,21-33,11,1-2,2,2,0,2,1,0,124,7,3,183,1,1,17:13,0,14,3,25,1,68,2-14,9-75,218,3,4.5,2.7
312460025,2011,1,regular,home,25,California,Pac-12,278,Fresno State,Western Athletic,16-35,18,1-2,2,2,0,0,1,0,61,3,6,283,1,2,18:27,0,7,4,35,2,151,7-16,11-90,417,3,7.6,4.3
312460030,2011,1,regular,away,135,Minnesota,Big Ten,30,USC,Pac-12,14-26,20,1-1,0,1,0,0,1,0,88,4,5,204,0,1,16:19,0,0,2,34,1,110,6-14,8-44,302,1,7.4,3.2
312460030,2011,1,regular,home,30,USC,Pac-12,135,Minnesota,Big Ten,34-45,24,0-2,1,0,0,0,0,0,73,4,1,304,1,3,19:44,0,19,2,28,0,67,6-12,8-75,371,1,6.8,2.4
312460041,2011,1,regular,away,2230,Fordham,Patriot,41,UConn,Big East,12-26,8,0-2,0,0,0,0,1,0,70,4,3,155,1,0,17:35,0,0,0,29,0,47,6-16,4-31,196,1,5.7,1.6
312460041,2011,1,regular,home,41,UConn,Big East,2230,Fordham,Patriot,12-21,21,0-0,0,0,0,0,1,0,32,1,5,235,1,1,19:05,0,28,5,42,4,206,3-8,3-18,434,1,10.9,4.9
312460052,2011,1,regular,away,2433,UL Monroe,Sun Belt,52,Florida State,ACC,12-22,12,0-2,0,0,0,0,1,0,74,5,0,116,1,0,17:40,0,0,0,39,0,99,5-15,6-58,191,1,4.2,2.5
312460052,2011,1,regular,home,52,Florida State,ACC,2433,UL Monroe,Sun Belt,23-35,21,1-1,0,0,0,0,1,0,36,1,10,286,1,3,18:22,0,71,6,28,1,92,8-14,5-32,372,1,8.0,3.3
312460057,2011,1,regular,away,2226,Florida Atlantic,Sun Belt,57,Florida,SEC,14-27,11,1-2,0,0,0,37,0,0,144,6,3,126,3,0,17:19,0,0,0,30,0,30,2-13,5-45,137,0,4.0,1.0
312460057,2011,1,regular,home,57,Florida,SEC,2226,Florida Atlantic,Sun Belt,25-36,30,0-0,0,0,0,0,3,0,30,2,11,271,0,1,19:21,1,55,5,33,3,197,7-10,9-65,468,3,7.5,6.0
312460061,2011,1,regular,away,68,Boise State,Mountain West,61,Georgia,SEC,28-34,24,0-0,0,0,0,0,1,0,44,2,5,261,1,3,20:15,0,64,5,37,2,129,4-12,4-20,390,1,7.7,3.5
312460061,2011,1,regular,home,61,Georgia,SEC,68,Boise State,Mountain West,16-29,13,1-4,0,0,0,9,1,0,110,5,3,269,1,2,15:41,0,4,4,31,1,137,2-13,7-50,373,1,8.1,4.4
312460062,2011,1,regular,away,38,Colorado,Pac-12,62,Hawai'i,Western Athletic,16-30,15,0-2,0,1,0,0,1,0,74,7,5,267,0,2,17:38,0,0,4,28,0,17,2-12,7-58,240,1,7.4,0.6
312460062,2011,1,regular,home,62,Hawai'i,Western Athletic,38,Colorado,Pac-12,20-33,19,1-1,1,0,0,32,0,0,71,2,10,208,1,1,18:44,0,19,6,32,3,165,8-16,5-50,343,1,5.4,5.2
312460066,2011,1,regular,away,2460,Northern Iowa,MVFC,66,Iowa State,Big 12,15-32,21,0-0,0,1,0,12,0,0,44,2,7,181,3,1,21:16,0,0,0,42,1,204,8-17,16-113,385,0,5.7,4.9
312460066,2011,1,regular,home,66,Iowa State,Big 12,2460,Northern Iowa,MVFC,18-40,20,3-3,1,0,0,0,3,0,98,5,2,192,0,1,14:55,0,11,4,39,2,141,7-19,8-81,328,4,4.7,3.6
312460087,2011,1,regular,away,58,South Florida,Big East,87,Notre Dame,FBS Independents,18-30,20,1-1,0,2,0,0,0,0,67,4,11,135,3,1,19:06,0,34,2,42,0,126,2-14,9-43,254,0,4.3,3.0
312460087,2011,1,regular,home,87,Notre Dame,FBS Independents,58,South Florida,Big East,31-49,27,0-0,2,0,0,0,3,0,110,5,2,405,0,2,23:31,0,-2,5,29,1,117,5-14,8-73,508,5,8.0,4.0
312460099,2011,1,regular,away,2483,Oregon,Pac-12,99,LSU,SEC,31-54,18,1-2,3,1,0,0,1,0,150,8,9,240,0,1,16:13,0,-10,5,28,2,95,9-19,12-95,335,4,4.4,3.4
