game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401520145,2023,1,regular,away,2638,UTEP,Conference USA,55,Jacksonville State,Conference USA,17-29,0,22,1-3,1,0,0,0,2,0,0,0,2,208,2,0,1,34:38,0,5,1,2,43,1,156,1,33,4,3-12,1,5-55,364,3,7.2,3.6
401520145,2023,1,regular,home,55,Jacksonville State,Conference USA,2638,UTEP,Conference USA,10-20,0,15,1-2,0,1,0,1,0,0,0,0,5,67,3,2,0,25:22,0,1,1,4,44,2,208,2,28,3,7-16,0,4-52,275,0,3.4,4.7
401520146,2023,1,regular,away,2229,Florida International,Conference USA,2348,Louisiana Tech,Conference USA,5-14,0,8,0-0,0,1,0,17,1,0,0,0,5,4,0,1,0,21:42,0,0,0,1,30,2,178,2,45,8,3-12,0,5-50,182,1,0.3,5.9
401520146,2023,1,regular,home,2348,Louisiana Tech,Conference USA,2229,Florida International,Conference USA,34-44,0,27,1-1,1,0,0,0,1,0,25,1,10,333,1,1,1,38:18,0,0,1,0,39,1,114,2,14,6,8-16,2,5-47,447,2,7.6,2.9
401520147,2023,1,regular,away,62,Hawai'i,Mountain West,238,Vanderbilt,SEC,27-35,0,19,3-4,0,0,0,0,2,0,90,4,4,351,6,0,3,31:22,0,0,0,2,25,1,40,3,35,9,3-11,1,7-59,391,2,10.0,1.6
401520147,2023,1,regular,home,238,Vanderbilt,SEC,62,Hawai'i,Mountain West,19-30,1,17,1-3,0,0,0,9,0,1,97,1,3,258,4,2,3,28:38,0,27,1,4,26,1,39,3,37,8,5-12,0,8-72,297,0,8.6,1.5
401520148,2023,1,regular,away,158,Nebraska,Big Ten,135,Minnesota,Big Ten,11-19,0,18,0-0,1,0,0,0,3,0,78,2,4,114,4,1,1,29:18,0,8,2,3,37,0,181,3,36,5,5-11,1,7-55,295,4,6.0,4.9
401520148,2023,1,regular,home,135,Minnesota,Big Ten,158,Nebraska,Big Ten,24-44,0,20,2-2,0,1,0,14,1,0,49,3,7,196,3,3,1,30:42,0,10,1,5,25,0,55,3,38,5,8-17,0,3-25,251,1,4.5,2.2
401520149,2023,1,regular,away,2393,Middle Tennessee,Conference USA,333,Alabama,SEC,24-35,0,13,0-0,1,0,0,0,1,0,21,2,1,133,2,0,1,30:57,0,0,0,1,26,0,78,2,42,4,6-16,3,9-84,211,2,3.8,3.0
401520149,2023,1,regular,home,333,Alabama,SEC,2393,Middle Tennessee,Conference USA,17-24,0,23,0-0,0,1,0,13,0,0,23,1,8,226,1,1,3,29:03,0,67,6,6,40,5,205,3,36,7,10-13,1,2-19,431,0,9.4,5.1
401520150,2023,1,regular,away,2717,Western Carolina,Southern,8,Arkansas,SEC,25-40,0,18,1-2,1,0,0,0,4,0,37,2,7,227,1,0,0,30:43,0,1,2,1,30,1,64,1,31,4,4-15,1,3-30,291,5,5.7,2.1
401520150,2023,1,regular,home,8,Arkansas,SEC,2717,Western Carolina,Southern,20-25,1,21,2-2,0,1,1,101,0,0,46,2,8,274,2,4,4,29:17,0,51,2,1,36,3,105,2,37,10,6-13,2,7-86,379,0,11.0,2.9
401520151,2023,1,regular,away,113,Massachusetts,FBS Independents,2,Auburn,SEC,14-24,0,11,0-2,1,0,0,0,1,0,55,3,2,161,4,0,1,29:25,0,17,1,2,27,1,140,1,42,4,1-9,1,9-73,301,2,6.7,5.2
401520151,2023,1,regular,home,2,Auburn,SEC,113,Massachusetts,FBS Independents,14-25,1,27,0-1,0,1,1,50,0,0,86,3,11,203,0,1,1,30:35,0,67,2,6,44,6,289,4,32,7,6-10,0,4-40,492,0,8.1,6.6
401520152,2023,1,regular,away,2534,Sam Houston,Conference USA,252,BYU,Big 12,18-33,0,11,0-1,0,0,0,0,3,0,0,0,0,147,5,0,0,28:27,0,17,4,3,24,0,38,0,38,3,2-14,0,7-47,185,3,4.5,1.6
401520152,2023,1,regular,home,252,BYU,Big 12,2534,Sam Houston,Conference USA,20-33,0,12,1-3,0,0,0,0,0,0,21,1,2,145,4,3,0,31:33,0,22,5,7,34,2,112,1,27,6,5-16,0,8-66,257,0,4.4,3.3
401520153,2023,1,regular,away,311,Maine,CAA,2229,Florida International,Conference USA,21-44,0,27,1-3,1,2,0,0,0,0,17,1,6,213,0,1,0,37:35,0,0,0,0,41,1,165,0,0,0,5-15,3,5-50,378,1,4.8,4.0
401520153,2023,1,regular,home,2229,Florida International,Conference USA,311,Maine,CAA,15-30,0,12,0-3,2,1,0,0,1,0,44,2,2,292,0,0,2,22:25,0,34,2,0,24,0,13,0,0,0,3-12,3,8-79,305,3,9.7,0.5
401520154,2023,1,regular,away,2630,UT Martin,Big South-OVC,61,Georgia,SEC,18-33,0,15,1-1,0,0,0,0,1,0,7,1,1,128,3,0,1,29:35,0,0,0,0,29,0,134,0,45,4,2-14,1,10-72,262,1,3.9,4.6
401520154,2023,1,regular,home,61,Georgia,SEC,2630,UT Martin,Big South-OVC,26-39,1,28,0-0,0,0,1,26,0,0,31,1,12,400,2,1,2,30:25,0,19,2,0,30,3,159,1,28,4,5-12,1,5-42,559,0,10.3,5.3
401520155,2023,1,regular,away,2649,Toledo,Mid-American,356,Illinois,Big Ten,20-37,0,27,2-2,0,0,0,0,1,0,61,4,10,230,3,1,2,32:57,0,4,1,2,42,1,186,2,44,4,7-15,2,7-40,416,1,6.2,4.4
401520155,2023,1,regular,home,356,Illinois,Big Ten,2649,Toledo,Mid-American,18-26,1,21,2-3,0,0,1,48,1,0,77,5,6,206,3,1,2,27:03,0,0,0,1,35,1,168,1,50,5,2-8,0,10-100,374,1,7.9,4.8
401520156,2023,1,regular,away,194,Ohio State,Big Ten,84,Indiana,Big Ten,21-36,0,22,2-3,0,0,0,0,1,0,23,1,11,237,4,0,0,31:55,0,14,2,0,31,2,143,1,34,6,2-12,0,5-41,380,1,6.6,4.6
401520156,2023,1,regular,home,84,Indiana,Big Ten,194,Ohio State,Big Ten,9-20,0,8,0-2,0,0,0,11,0,0,38,3,3,82,8,1,0,28:05,0,51,2,0,33,0,71,0,41,5,4-15,0,8-75,153,0,4.1,2.2
