game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
400547640,2014,1,regular,away,218,Temple,American Athletic,238,Vanderbilt,SEC,23-36,17,2-4,2,4,0,55,0,0,48,2,13,207,3,2,32:54,0,6,2,45,1,144,2-17,3-23,351,2,5.8,3.2
400547640,2014,1,regular,home,238,Vanderbilt,SEC,218,Temple,American Athletic,16-34,13,0-1,4,2,0,0,3,0,150,7,1,224,0,0,30:57,0,26,5,29,0,54,3-14,7-66,278,7,6.6,1.9
400547641,2014,1,regular,away,252,BYU,FBS Independents,41,UConn,American Athletic,28-36,27,1-1,2,1,0,0,0,0,45,2,5,308,1,3,26:28,0,24,2,37,2,205,5-13,15-150,513,2,8.6,5.5
400547641,2014,1,regular,home,41,UConn,American Athletic,252,BYU,FBS Independents,25-48,23,1-4,1,2,0,0,1,0,114,6,4,284,0,0,33:32,0,-1,1,31,1,71,8-17,8-90,355,2,5.9,2.3
400547642,2014,1,regular,away,213,Penn State,Big Ten,2116,UCF,American Athletic,32-47,24,1-2,1,1,0,0,2,0,129,5,14,454,0,1,33:42,0,9,2,28,1,57,10-18,9-90,511,3,9.7,2.0
400547642,2014,1,regular,home,2116,UCF,American Athletic,213,Penn State,Big Ten,12-22,11,1-2,1,1,0,0,0,0,142,5,6,222,2,1,25:27,0,0,0,29,2,24,5-13,8-47,246,1,10.1,0.8
400547643,2014,1,regular,away,2428,North Carolina Central,MEAC,151,East Carolina,American Athletic,13-22,10,0-0,1,1,0,0,0,0,128,7,1,104,1,0,31:28,0,22,2,31,0,70,4-14,10-91,174,1,4.7,2.3
400547643,2014,1,regular,home,151,East Carolina,American Athletic,2428,North Carolina Central,MEAC,33-46,32,1-1,1,1,0,0,1,0,36,2,10,374,0,4,28:32,0,28,4,28,3,208,2-8,8-72,582,2,8.1,7.4
400547644,2014,1,regular,away,2636,UTSA,Conference USA,248,Houston,American Athletic,15-24,17,1-1,1,2,0,57,0,0,45,2,9,121,4,0,40:22,0,-4,5,50,3,142,5-17,14-115,263,1,5.0,2.8
400547644,2014,1,regular,home,248,Houston,American Athletic,2636,UTSA,Conference USA,25-50,18,2-4,2,1,0,0,4,0,89,6,1,234,0,0,22:14,0,0,1,23,1,-26,4-16,9-47,208,6,4.7,-1.1
400547645,2014,1,regular,away,2046,Austin Peay,OVC,235,Memphis,American Athletic,6-16,8,0-0,1,1,0,0,1,0,59,4,0,30,1,0,25:47,0,2,1,34,0,116,1-13,9-61,146,2,1.9,3.4
400547645,2014,1,regular,home,235,Memphis,American Athletic,2046,Austin Peay,OVC,20-27,28,2-2,1,1,0,29,1,0,0,0,9,242,1,2,34:13,0,112,7,55,7,303,6-13,6-55,545,2,9.0,5.5
400547646,2014,1,regular,away,2717,Western Carolina,Southern,58,South Florida,American Athletic,47-68,27,2-2,1,1,0,10,1,0,66,5,7,378,1,2,37:26,0,0,2,29,2,80,9-20,5-45,458,2,5.6,2.8
400547646,2014,1,regular,home,58,South Florida,American Athletic,2717,Western Carolina,Southern,10-27,13,0-2,1,1,0,0,1,0,86,4,12,191,1,0,22:17,0,24,2,33,4,294,4-13,6-38,485,2,7.1,8.9
400547647,2014,1,regular,away,2655,Tulane,American Athletic,202,Tulsa,American Athletic,22-44,22,0-0,1,0,0,22,1,0,59,3,7,262,2,3,28:41,0,0,0,30,1,254,8-16,9-96,516,2,6.0,8.5
400547647,2014,1,regular,home,202,Tulsa,American Athletic,2655,Tulane,American Athletic,31-53,30,1-1,0,1,0,0,2,0,65,4,12,438,1,4,30:37,0,22,2,36,0,154,9-19,9-90,592,2,8.3,4.3
400547648,2014,1,regular,away,2567,SMU,American Athletic,239,Baylor,Big 12,21-40,7,0-4,2,1,0,10,1,0,131,5,0,91,1,0,39:18,0,1,1,25,0,-24,4-18,4-40,67,3,2.3,-1.0
400547648,2014,1,regular,home,239,Baylor,Big 12,2567,SMU,American Athletic,27-47,31,2-2,1,2,0,0,1,0,0,0,9,313,1,3,30:06,0,54,3,50,3,261,10-20,11-96,574,2,6.7,5.2
400547649,2014,2,regular,away,2619,Stony Brook,CAA,41,UConn,American Athletic,12-29,9,1-3,0,2,0,0,0,0,33,2,4,196,0,1,32:22,0,10,2,37,0,104,3-18,12-108,300,0,6.8,2.8
400547649,2014,2,regular,home,41,UConn,American Athletic,2619,Stony Brook,CAA,12-27,15,0-0,2,0,0,0,0,0,40,2,7,142,0,1,27:38,1,85,4,37,0,81,4-16,3-25,223,2,5.3,2.2
400547650,2014,2,regular,away,151,East Carolina,American Athletic,2579,South Carolina,SEC,32-46,27,1-1,0,0,0,0,2,0,63,3,11,321,1,1,23:41,0,0,0,21,1,132,6-12,4-40,453,2,7.0,6.3
400547650,2014,2,regular,home,2579,South Carolina,SEC,151,East Carolina,American Athletic,25-38,26,1-1,0,0,0,7,1,0,124,6,15,266,2,1,36:19,0,5,1,38,2,175,7-13,5-60,441,1,7.0,4.6
400547651,2014,2,regular,away,2755,Grambling,SWAC,248,Houston,American Athletic,13-27,11,0-1,3,2,0,0,3,0,149,8,0,175,0,0,30:36,0,10,1,39,0,63,3-15,15-147,238,6,6.5,1.6
400547651,2014,2,regular,home,248,Houston,American Athletic,2755,Grambling,SWAC,15-26,20,0-1,2,3,0,82,0,0,20,1,17,202,3,1,43:47,0,43,3,40,3,275,4-14,5-30,477,2,7.8,6.9
400547652,2014,2,regular,away,235,Memphis,American Athletic,26,UCLA,Pac-12,27-42,24,1-1,0,0,1,17,0,0,68,4,5,305,1,1,29:49,0,0,0,39,3,164,6-16,10-110,469,0,7.3,4.2
400547652,2014,2,regular,home,26,UCLA,Pac-12,235,Memphis,American Athletic,33-44,30,1-1,0,0,0,0,1,0,95,4,4,396,0,3,29:31,0,-3,1,41,3,144,8-16,9-85,540,1,9.0,3.5
400547653,2014,2,regular,away,2567,SMU,American Athletic,249,North Texas,Conference USA,24-45,16,1-3,3,0,0,0,2,0,72,8,0,266,0,1,26:45,0,-14,2,14,0,10,1-11,7-60,276,5,5.9,0.7
400547653,2014,2,regular,home,249,North Texas,Conference USA,2567,SMU,American Athletic,12-17,17,0-0,0,3,0,24,0,0,18,1,19,108,2,0,36:38,0,21,6,55,3,245,6-16,15-139,353,0,6.4,4.5
400547654,2014,2,regular,away,120,Maryland,Big Ten,58,South Florida,American Athletic,17-28,17,0-0,4,0,0,0,2,0,65,2,6,201,1,2,27:07,1,61,5,40,0,116,8-14,4-35,317,6,7.2,2.9
400547654,2014,2,regular,home,58,South Florida,American Athletic,120,Maryland,Big Ten,15-37,16,0-2,0,4,0,0,1,0,81,4,5,174,2,0,32:53,0,22,1,37,1,83,9-21,6-39,257,1,4.7,2.2
400547655,2014,2,regular,away,2426,Navy,FBS Independents,218,Temple,American Athletic,4-8,27,0-1,3,1,0,0,0,0,69,4,7,30,1,0,36:05,0,3,2,63,4,487,6-10,1-15,517,3,3.8,7.7
400547655,2014,2,regular,home,218,Temple,American Athletic,2426,Navy,FBS Independents,29-50,24,4-5,1,3,0,0,1,0,61,4,6,240,0,2,23:55,0,0,0,34,0,156,6-18,6-56,396,2,4.8,4.6
400547656,2014,2,regular,away,59,Georgia Tech,ACC,2655,Tulane,American Athletic,3-8,24,0-0,2,0,1,10,1,0,69,3,8,15,3,0,32:35,0,52,2,57,4,344,10-12,4-35,359,3,1.9,6.0
400547656,2014,2,regular,home,2655,Tulane,American Athletic,59,Georgia Tech,ACC,17-35,17,0-2,0,2,0,0,3,0,28,1,3,231,1,2,26:55,0,0,0,25,1,96,5-11,10-69,327,3,6.6,3.8
400547657,2014,2,regular,away,201,Oklahoma,Big 12,202,Tulsa,American Athletic,24-38,26,0-0,0,1,1,48,0,0,32,2,10,319,3,2,26:55,0,1,3,31,4,261,7-14,5-60,580,0,8.4,8.4
400547657,2014,2,regular,home,202,Tulsa,American Athletic,201,Oklahoma,Big 12,27-50,23,2-3,1,0,0,0,3,0,83,4,1,234,0,1,32:25,0,3,2,34,0,94,6-19,6-62,328,4,4.7,2.8
400547658,2014,3,regular,away,248,Houston,American Athletic,252,BYU,FBS Independents,31-53,18,0-0,0,1,0,0,0,0,93,6,7,315,2,3,23:53,0,0,0,13,0,9,6-16,8-83,324,0,5.9,0.7
400547658,2014,3,regular,home,252,BYU,FBS Independents,248,Houston,American Athletic,21-34,32,1-2,1,0,0,0,2,0,78,3,7,200,0,1,35:06,0,16,3,62,3,323,10-18,11-99,523,3,5.9,5.2
400547659,2014,3,regular,away,2649,Toledo,Mid-American,2132,Cincinnati,American Athletic,28-43,27,1-2,1,0,0,0,0,0,150,7,10,323,0,3,34:38,0,21,1,39,1,240,8-17,7-65,563,1,7.5,6.2
400547659,2014,3,regular,home,2132,Cincinnati,American Athletic,2649,Toledo,Mid-American,29-42,28,0-0,0,1,0,0,0,0,141,6,10,436,0,6,24:10,0,11,1,30,2,148,7-12,2-30,584,0,10.4,4.9
400547660,2014,3,regular,away,2116,UCF,American Athletic,142,Missouri,SEC,22-36,22,1-2,2,0,0,31,2,0,83,4,4,209,1,1,34:36,0,0,1,39,0,90,7-15,6-53,299,4,5.8,2.3
400547660,2014,3,regular,home,142,Missouri,SEC,2116,UCF,American Athletic,14-24,19,0-1,0,2,0,32,1,0,14,1,8,144,2,4,24:58,0,0,0,35,0,178,10-14,4-47,322,1,6.0,5.1
400547661,2014,3,regular,away,68,Boise State,Mountain West,41,UConn,American Athletic,20-29,13,0-1,1,1,1,50,0,0,51,4,8,240,2,3,36:43,0,14,3,27,0,52,4-13,7-65,292,1,8.3,1.9
400547661,2014,3,regular,home,41,UConn,American Athletic,68,Boise State,Mountain West,22-38,18,0-1,1,1,0,0,2,0,26,2,7,242,0,2,35:54,0,0,0,36,0,48,7-18,3-30,290,3,6.4,1.3
400547662,2014,3,regular,away,151,East Carolina,American Athletic,259,Virginia Tech,ACC,23-47,20,0-1,1,0,0,11,0,0,31,2,4,427,2,3,23:14,0,-2,1,25,1,75,5-15,13-114,502,1,9.1,3.0
400547662,2014,3,regular,home,259,Virginia Tech,ACC,151,East Carolina,American Athletic,30-56,26,0-1,0,1,0,0,2,0,29,2,3,298,0,3,36:33,0,40,5,33,0,91,8-19,8-64,389,2,5.3,2.8
400547663,2014,3,regular,away,152,NC State,ACC,58,South Florida,American Athletic,21-33,30,0-1,1,1,0,0,1,0,22,1,7,274,2,2,46:31,0,3,2,53,5,315,11-16,5-38,589,2,8.3,5.9
400547663,2014,3,regular,home,58,South Florida,American Athletic,152,NC State,ACC,5-20,8,0-0,1,1,1,46,2,0,76,4,5,89,1,1,20:45,0,4,1,27,0,70,2-10,5-40,159,3,4.4,2.6
400547664,2014,3,regular,away,2545,SE Louisiana,Southland,2655,Tulane,American Athletic,16-35,17,1-4,1,1,0,12,2,0,79,1,8,213,2,1,29:01,0,-7,4,36,1,58,4-16,15-142,271,3,6.1,1.6
400547664,2014,3,regular,home,2655,Tulane,American Athletic,2545,SE Louisiana,Southland,14-30,21,0-1,1,1,0,3,2,0,44,4,5,238,2,3,30:31,0,0,0,40,2,122,6-14,11-87,360,3,7.9,3.0
400547665,2014,3,regular,away,202,Tulsa,American Athletic,2226,Florida Atlantic,Conference USA,24-52,24,1-1,1,0,0,0,2,0,96,5,3,269,0,1,25:55,0,0,0,27,2,94,7-17,5-25,363,3,5.2,3.5
