game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401256196,2020,1,postseason,away,202,Tulsa,American Athletic,344,Mississippi State,SEC,26-46,0,27,1-2,0,0,0,0,2,0,39,3,8,347,4,0,1,31:19,0,-1,3,0,40,2,137,4,39,5,10-18,0,7-66,484,2,7.5,3.4
401256196,2020,1,postseason,home,344,Mississippi State,SEC,202,Tulsa,American Athletic,19-30,1,16,1-3,0,0,1,113,0,0,138,4,4,148,8,2,1,28:07,0,5,1,2,29,2,125,5,49,9,4-12,0,11-103,273,0,4.9,4.3
401256197,2020,1,postseason,away,277,West Virginia,Big 12,349,Army,FBS Independents,23-42,0,19,1-1,1,0,0,1,1,0,74,4,4,280,0,1,3,26:18,0,21,2,1,27,0,42,0,46,4,8-16,0,7-53,322,2,6.7,1.6
401256197,2020,1,postseason,home,349,Army,FBS Independents,277,West Virginia,Big 12,4-6,0,15,1-3,0,1,0,21,1,0,38,2,3,57,5,1,0,33:41,0,0,0,2,59,3,182,3,43,7,5-13,0,3-30,239,1,9.5,3.1
401256199,2020,1,postseason,away,2,Auburn,SEC,77,Northwestern,Big Ten,26-43,0,19,1-3,1,0,0,0,0,0,18,1,7,300,3,0,1,24:18,0,7,1,3,26,1,61,1,43,6,2-13,0,8-75,361,1,7.0,2.3
401256199,2020,1,postseason,home,77,Northwestern,Big Ten,2,Auburn,SEC,24-35,0,25,3-5,0,1,0,0,0,0,0,0,5,291,5,0,3,35:42,0,-2,1,2,51,2,166,1,32,5,7-17,0,7-68,457,0,8.3,3.3
401257812,2020,14,regular,away,242,Rice,Conference USA,276,Marshall,Conference USA,10-14,1,16,1-1,1,0,1,77,0,0,0,0,8,86,3,5,0,33:07,0,16,1,5,44,1,124,3,19,5,4-12,0,5-35,210,1,6.1,2.8
401257812,2020,14,regular,home,276,Marshall,Conference USA,242,Rice,Conference USA,18-35,0,19,0-3,0,1,0,0,5,0,76,5,0,165,1,0,0,23:34,0,-1,2,2,28,0,80,1,19,3,4-12,0,8-80,245,5,4.7,2.9
401257813,2020,15,regular,away,2226,Florida Atlantic,Conference USA,2572,Southern Miss,Conference USA,17-34,0,19,2-3,0,2,0,6,1,0,115,5,7,162,1,1,1,28:41,0,0,0,0,34,2,164,2,38,6,5-15,0,7-60,326,1,4.8,4.8
401257813,2020,15,regular,home,2572,Southern Miss,Conference USA,2226,Florida Atlantic,Conference USA,13-19,1,22,0-1,2,0,0,0,1,1,145,3,9,209,6,1,2,31:19,0,0,0,1,48,3,305,1,29,6,7-12,2,8-83,514,3,11.0,6.4
401257815,2020,15,regular,away,5,UAB,Conference USA,242,Rice,Conference USA,9-18,0,13,0-1,0,0,0,0,0,0,34,2,3,217,6,1,2,22:42,0,0,0,0,34,1,137,5,51,12,5-13,0,9-81,354,0,12.1,4.0
401257815,2020,15,regular,home,242,Rice,Conference USA,5,UAB,Conference USA,19-33,0,20,3-4,0,0,0,0,1,0,23,1,10,188,3,0,1,37:18,0,0,0,1,39,0,66,0,33,4,5-19,0,4-24,254,1,5.7,1.7
401257816,2020,15,regular,away,249,North Texas,Conference USA,2638,UTEP,Conference USA,16-30,0,24,1-2,1,0,0,1,0,0,109,5,9,302,3,4,5,24:15,0,0,0,1,44,1,189,1,46,3,2-10,0,5-40,491,1,10.1,4.3
401257816,2020,15,regular,home,2638,UTEP,Conference USA,249,North Texas,Conference USA,10-26,0,27,0-0,0,1,0,0,4,0,137,7,5,196,2,0,2,35:45,0,0,0,0,56,4,301,0,30,3,7-14,0,12-93,497,4,7.5,5.4
401257934,2020,11,regular,away,97,Louisville,ACC,258,Virginia,ACC,13-21,0,18,0-2,2,1,0,-1,1,0,63,3,5,161,2,1,0,29:28,0,0,0,0,39,2,317,1,39,4,5-13,0,7-64,478,3,7.7,8.1
401257934,2020,11,regular,home,258,Virginia,ACC,97,Louisville,ACC,15-23,1,21,0-1,1,2,1,85,1,0,75,4,7,203,1,1,1,30:32,0,4,1,0,42,2,165,4,32,6,6-13,0,3-25,368,2,8.8,3.9
401259671,2020,15,regular,away,324,Coastal Carolina,Sun Belt,2653,Troy,Sun Belt,24-29,0,29,1-2,0,1,0,55,1,0,0,0,6,338,3,2,3,36:28,0,-3,1,6,43,3,176,1,33,4,8-13,0,6-70,514,1,11.7,4.1
