game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
332640213,2013,4,regular,away,2309,Kent State,Mid-American,213,Penn State,Big Ten,17-36,9,0-0,0,0,0,-4,1,0,144,7,0,134,1,0,27:16,0,0,1,24,0,56,3-15,8-79,190,1,3.7,2.3
332640213,2013,4,regular,home,213,Penn State,Big Ten,2309,Kent State,Mid-American,13-36,27,2-3,0,0,0,2,1,0,15,1,10,176,1,1,32:44,0,4,2,53,3,287,7-18,3-28,463,1,4.9,5.4
332640235,2013,4,regular,away,2032,Arkansas State,Sun Belt,235,Memphis,American Athletic,22-39,17,0-2,0,1,0,0,1,0,82,3,1,181,0,1,23:59,0,0,0,31,0,74,4-15,5-50,255,1,4.6,2.4
332640235,2013,4,regular,home,235,Memphis,American Athletic,2032,Arkansas State,Sun Belt,17-26,23,1-3,1,0,0,0,0,0,44,2,7,176,1,1,35:33,0,58,4,45,3,329,6-14,4-40,505,1,6.8,7.3
332640239,2013,4,regular,away,2433,UL Monroe,Sun Belt,239,Baylor,Big 12,18-46,16,1-4,1,0,0,29,3,0,106,6,1,220,1,1,33:03,0,0,0,35,0,75,6-20,4-30,295,4,4.8,2.1
332640239,2013,4,regular,home,239,Baylor,Big 12,2433,UL Monroe,Sun Belt,25-36,29,0-2,0,1,2,132,1,0,0,0,10,470,3,5,26:57,0,0,1,41,3,311,6-12,8-85,781,1,13.1,7.6
332640242,2013,4,regular,away,248,Houston,American Athletic,242,Rice,Conference USA,18-36,21,1-1,0,1,0,6,1,0,22,1,7,329,1,3,25:04,0,34,4,37,1,165,6-16,3-30,494,1,9.1,4.5
332640242,2013,4,regular,home,242,Rice,Conference USA,248,Houston,American Athletic,22-37,25,0-1,1,0,0,1,1,0,40,2,2,289,1,1,34:56,0,0,0,45,2,174,5-15,3-25,463,2,7.8,3.9
332640245,2013,4,regular,away,2567,SMU,American Athletic,245,Texas A&M,SEC,41-67,25,2-4,2,0,0,12,1,0,60,4,7,341,1,1,29:04,0,19,1,17,0,93,5-16,16-111,434,3,5.1,5.5
332640245,2013,4,regular,home,245,Texas A&M,SEC,2567,SMU,American Athletic,19-35,27,1-2,0,2,0,2,1,0,54,3,6,316,1,1,30:56,0,42,3,48,4,265,7-14,13-114,581,1,9.0,5.5
332640251,2013,4,regular,away,2306,Kansas State,Big 12,251,Texas,Big 12,19-30,21,0-0,3,0,0,0,0,0,96,4,3,275,0,0,31:41,0,40,1,38,3,115,9-16,8-65,390,3,9.2,3.0
332640251,2013,4,regular,home,251,Texas,Big 12,2306,Kansas State,Big 12,19-34,24,2-3,0,3,0,0,0,0,72,3,7,225,0,1,28:19,0,31,3,47,3,227,9-18,8-74,452,0,6.6,4.8
332640252,2013,4,regular,away,254,Utah,Pac-12,252,BYU,FBS Independents,24-35,16,0-0,0,0,0,0,0,0,39,2,8,273,1,2,31:44,0,6,2,33,0,129,1-14,8-65,402,0,7.8,3.9
332640252,2013,4,regular,home,252,BYU,FBS Independents,254,Utah,Pac-12,18-48,24,1-4,0,0,0,0,1,0,108,5,7,260,0,0,27:22,0,84,4,47,1,183,5-21,7-55,443,1,5.4,3.9
332640258,2013,4,regular,away,2678,VMI,Big South,258,Virginia,ACC,9-31,4,0-1,2,0,0,39,0,0,113,6,0,38,2,0,23:13,0,0,0,25,0,41,1-16,5-33,79,2,1.2,1.6
332640258,2013,4,regular,home,258,Virginia,ACC,2678,VMI,Big South,20-30,29,1-4,0,2,0,0,2,0,32,1,7,223,0,2,36:47,0,75,8,63,5,357,11-18,7-50,580,2,7.4,5.7
332640259,2013,4,regular,away,276,Marshall,Conference USA,259,Virginia Tech,ACC,19-41,22,0-1,1,0,0,0,2,0,47,2,3,228,2,2,26:34,0,37,3,46,1,133,9-20,11-66,361,3,5.6,2.9
332640259,2013,4,regular,home,259,Virginia Tech,ACC,276,Marshall,Conference USA,18-34,23,3-4,0,1,0,0,2,0,66,3,3,181,2,1,33:04,1,43,5,53,2,201,2-16,4-45,382,2,5.3,3.8
332640264,2013,4,regular,away,304,Idaho State,Big Sky,264,Washington,Pac-12,19-40,13,1-3,1,1,0,0,2,0,40,3,0,142,0,0,29:49,0,0,0,28,0,22,4-18,10-65,164,3,3.5,0.8
332640264,2013,4,regular,home,264,Washington,Pac-12,304,Idaho State,Big Sky,21-28,30,1-3,1,1,0,6,0,0,9,1,8,310,2,4,30:11,0,7,2,53,4,370,6-10,16-130,680,1,11.1,7.0
332640265,2013,4,regular,away,70,Idaho,FBS Independents,265,Washington State,Pac-12,18-25,17,2-4,1,2,0,4,1,0,108,6,0,174,2,0,37:25,0,5,1,49,0,79,5-19,12-73,253,2,7.0,1.6
332640265,2013,4,regular,home,265,Washington State,Pac-12,70,Idaho,FBS Independents,31-43,21,2-2,2,1,0,0,2,0,45,1,6,346,1,4,21:44,0,59,4,15,2,71,5-9,6-44,417,4,8.0,4.7
332640275,2013,4,regular,away,2509,Purdue,Big Ten,275,Wisconsin,Big Ten,18-36,12,1-2,0,0,0,27,1,0,168,7,4,135,1,0,24:17,0,12,2,21,1,45,2-14,3-30,180,1,3.8,2.1
332640275,2013,4,regular,home,275,Wisconsin,Big Ten,2509,Purdue,Big Ten,12-21,22,1-2,0,0,0,10,1,0,53,2,11,158,1,0,34:50,0,25,3,48,5,388,5-13,1-10,546,1,7.5,8.1
