id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
400869186104987601,40086918622,400869186,22,2,New Mexico State,Sun Belt,32,New Mexico,New Mexico State,New Mexico,Mountain West,31,4,"{'seconds': 23, 'minutes': 1}",3.0,-1.0,40,60,2,8,0,False,Timeout,"Timeout NEW MEXICO, clock 01:23",,
400869186102899201,4008691866,400869186,6,1,New Mexico State,Sun Belt,6,New Mexico,New Mexico State,New Mexico,Mountain West,14,2,"{'seconds': 7, 'minutes': 10}",3.0,3.0,20,80,1,10,0,False,Pass Incompletion,Tyler Rogers pass incomplete to Johnathan Boone,-0.5586693796725282,
400869186102899207,4008691866,400869186,6,6,New Mexico State,Sun Belt,6,New Mexico,New Mexico State,New Mexico,Mountain West,14,2,"{'seconds': 7, 'minutes': 10}",3.0,3.0,19,81,3,24,15,False,Rush,Xavier Hall run for 15 yds to the NMxSt 34,0.21478678900241996,
400869186102899203,4008691866,400869186,6,3,New Mexico State,Sun Belt,6,New Mexico,New Mexico State,New Mexico,Mountain West,14,2,"{'seconds': 7, 'minutes': 10}",3.0,3.0,27,73,3,3,6,False,Rush,Xavier Hall run for 6 yds to the NMxSt 33 for a 1ST down,1.2634806549791353,
400869186102899202,4008691866,400869186,6,2,New Mexico State,Sun Belt,6,New Mexico,New Mexico State,New Mexico,Mountain West,14,2,"{'seconds': 7, 'minutes': 10}",3.0,3.0,20,80,2,10,7,False,Pass Reception,Tyler Rogers pass complete to Izaiah Lottie for 7 yds to the NMxSt 27,0.2521898511573468,
400869186102899206,4008691866,400869186,6,5,New Mexico State,Sun Belt,6,New Mexico,New Mexico State,New Mexico,Mountain West,14,2,"{'seconds': 7, 'minutes': 10}",3.0,3.0,27,73,2,16,-8,False,Sack,Tyler Rogers sacked by Garrett Hughes and Donnie White for a loss of 8 yards to the NMxSt 19,-0.34535766656523403,
400869186102899205,4008691866,400869186,6,4,New Mexico State,Sun Belt,6,New Mexico,New Mexico State,New Mexico,Mountain West,14,2,"{'seconds': 7, 'minutes': 10}",3.0,3.0,33,67,1,10,-6,False,Sack,Tyler Rogers sacked by Garrett Hughes for a loss of 6 yards to the NMxSt 27,-1.593066680286686,
400869186102899208,4008691866,400869186,6,7,New Mexico State,Sun Belt,6,New Mexico,New Mexico State,New Mexico,Mountain West,14,2,"{'seconds': 7, 'minutes': 10}",3.0,3.0,34,66,4,9,9,False,Punt,"Peyton Theisler punt for 58 yds , Chris Davis Jr. returns for 9 yds to the NMex 17",,
400869186101944002,4008691863,400869186,3,1,New Mexico State,Sun Belt,3,New Mexico,New Mexico State,New Mexico,Mountain West,7,1,"{'seconds': 59, 'minutes': 5}",3.0,3.0,35,65,1,0,20,False,Kickoff,"Parker Davidson kickoff for 65 yds , Teriyon Gipson return for 20 yds to the NMex 20",,
400869186104945303,40086918621,400869186,21,1,New Mexico State,Sun Belt,32,New Mexico,New Mexico State,New Mexico,Mountain West,31,4,"{'seconds': 46, 'minutes': 5}",3.0,1.0,35,65,1,0,0,False,Kickoff,Parker Davidson kickoff for 65 yds for a touchback,,
400869186103919415,40086918616,400869186,16,15,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,98,2,1,2,1,False,Rush,Tyler Rogers run for 1 yd to the NMex 1,-0.687116939800908,
400869186103919411,40086918616,400869186,16,11,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,83,17,3,2,4,False,Rush,Gamar Girdy run for 4 yds to the NMex 13 for a 1ST down,0.236584379648854,
400869186103919414,40086918616,400869186,16,14,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,90,10,3,7,8,False,Pass Reception,Tyler Rogers pass complete to Johnathan Boone for 8 yds to the NMex 2 for a 1ST down,1.7294788180267486,
400869186103919408,40086918616,400869186,16,8,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,66,34,3,8,9,False,Pass Reception,Tyler Rogers pass complete to Jackson Solebeck for 9 yds to the NMex 25 for a 1ST down,1.5492038377969308,
400869186103919401,40086918616,400869186,16,1,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,37,63,1,10,0,False,Rush,Xavier Hall run for no gain to the NMxSt 37,-1.065701080215459,
400869186103919404,40086918616,400869186,16,4,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,47,53,1,15,0,False,Pass Incompletion,Tyler Rogers pass incomplete to Josh Aganon,-1.0318960856749084,
400869186103919405,40086918616,400869186,16,5,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,47,53,2,15,17,False,Rush,Royce Caldwell run for 17 yds to the NMex 36 for a 1ST down,2.8504890976297954,
400869186103919412,40086918616,400869186,16,12,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,87,13,1,10,3,False,Pass Reception,Tyler Rogers pass complete to Jackson Solebeck for 3 yds to the NMex 10,-0.098600859057136,
400869186103919413,40086918616,400869186,16,13,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,90,10,2,7,0,False,Pass Incompletion,Tyler Rogers pass incomplete to Oj Clark,-0.3051840415958636,
400869186103919409,40086918616,400869186,16,9,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,75,25,1,10,8,False,Pass Reception,Tyler Rogers pass complete to Royce Caldwell for 8 yds to the NMex 17,0.478161110671337,
400869186103919407,40086918616,400869186,16,7,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,66,34,2,8,0,False,Pass Incompletion,Tyler Rogers pass incomplete to Jason Huntley,-0.853942262997709,
400869186103919403,40086918616,400869186,16,3,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,52,48,1,10,-5,False,Penalty,"NEW MEXICO ST Penalty, false start (-5 Yards) to the NMxSt 47",,
400869186103919410,40086918616,400869186,16,10,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,83,17,2,2,0,False,Rush,Tyler Rogers run for no gain to the NMex 17,-0.5535903430999805,
400869186103919406,40086918616,400869186,16,6,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,64,36,1,10,2,False,Rush,Tyler Rogers run for 2 yds to the NMex 34,-0.3845678420514834,
400869186103919402,40086918616,400869186,16,2,New Mexico State,Sun Belt,15,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 5, 'minutes': 8}",3.0,2.0,37,63,2,10,15,False,Penalty,"NEW MEXICO Penalty, Defensive pass interference (15 Yards) to the NMex 48 for a 1ST down",,
400869186103975401,40086918616,400869186,16,16,New Mexico State,Sun Belt,22,New Mexico,New Mexico State,New Mexico,Mountain West,24,3,"{'seconds': 45, 'minutes': 2}",3.0,2.0,99,1,2,1,1,True,Rushing Touchdown,"Xavier Hall run for 1 yd for a TD, (Parker Davidson KICK)",1.900352237473006,
