season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2020,Air Force,Mountain West,128,106,8,3,11,10,5,3,3,5,6,0,0,88,0,3,5,0,1,32,297,1,12,502,1001,61,143,34,88,5,1,3,7,27,29,245,265,11700,9900,0,0,5,15,1,4,312,217,16,4,1834,819,7,2,17,16,33,34,68,73,2336,1820,8,8
2020,Akron,Mid-American,95,124,4,4,9,7,3,4,4,3,6,0,2,44,179,6,2,0,0,496,340,25,16,838,1270,148,127,83,85,2,6,4,12,23,38,185,374,10800,10424,1,0,-8,141,3,19,211,238,7,19,842,1489,9,26,15,41,26,39,77,73,1680,2759,9,6
2020,Alabama,SEC,365,259,6,13,9,24,8,10,10,8,13,3,0,212,83,4,12,0,0,276,618,18,34,4656,3109,425,468,324,272,12,4,42,15,78,76,625,592,24032,22639,1,0,299,22,20,5,475,440,37,15,2378,1480,27,18,71,51,87,83,145,201,7034,4589,12,22
2020,App State,Sun Belt,281,223,11,13,20,28,6,3,3,6,12,2,2,231,106,11,15,1,1,739,728,33,47,2244,2135,300,351,190,168,15,11,21,13,88,66,816,640,22821,20233,0,0,173,39,18,18,545,446,28,14,3180,1816,26,20,66,58,83,65,162,172,5424,3951,17,18
2020,Arizona,Pac-12,107,108,3,5,12,8,5,1,1,5,5,0,0,15,64,7,2,0,1,235,110,14,2,1065,1012,188,122,113,80,2,7,6,6,34,34,294,301,8396,9601,0,0,35,61,5,6,184,229,4,19,846,1354,2,18,25,34,26,27,78,63,1911,2366,12,3
2020,Arizona State,Pac-12,81,93,2,8,6,16,3,8,8,3,4,0,0,12,21,1,5,1,0,301,205,9,11,777,1010,87,158,51,100,5,1,5,6,28,24,218,217,7034,7366,0,0,35,10,5,4,165,164,16,7,1058,733,9,6,24,18,21,31,45,69,1835,1743,4,13
2020,Arkansas,SEC,206,255,7,14,11,24,7,5,5,7,10,3,1,172,104,6,13,0,0,157,345,9,14,2386,2596,283,383,182,254,13,6,20,18,64,63,457,535,15171,20795,0,1,18,259,4,22,394,416,11,21,1513,1921,14,26,50,54,46,72,138,156,3899,4517,13,18
2020,Arkansas State,Sun Belt,269,260,15,12,30,25,7,6,6,7,11,1,0,115,92,9,6,0,0,711,494,36,29,4008,3449,464,387,276,248,6,9,39,33,70,68,631,639,18901,20604,0,0,11,63,6,10,384,433,7,18,1377,1718,20,27,76,65,69,68,173,163,5385,5167,16,12
2020,Army,FBS Independents,232,166,23,8,34,18,8,6,6,8,12,2,0,172,38,6,14,0,0,272,607,14,33,537,1929,76,296,35,173,12,6,4,16,56,58,495,521,24575,18539,0,0,157,97,17,16,716,365,36,5,3273,1380,18,13,70,56,76,54,168,145,3810,3309,14,20
2020,Auburn,SEC,228,251,3,7,11,15,2,4,4,2,11,1,0,278,77,7,9,0,0,497,400,23,15,2422,2653,362,363,216,234,9,7,12,20,64,52,556,454,18967,20596,0,0,78,24,8,8,392,429,16,16,1788,1799,26,20,62,53,71,82,158,163,4210,4452,9,13
2020,BYU,FBS Independents,308,214,13,10,22,25,5,7,7,5,12,1,0,54,84,4,8,0,0,330,358,16,23,3984,2376,375,373,272,228,8,4,33,15,50,75,430,688,21539,21611,0,0,80,80,20,9,424,418,35,8,2284,1443,27,12,59,50,65,68,132,172,6268,3819,9,15
