season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2006,Mississippi State,SEC,189,196,5,6,15,9,12,9,9,12,12,3,2,193,316,16,12,0,0,65,202,3,10,2463,2586,361,309,171,179,12,16,10,18,66,73,623,637,13276,14035,1,2,355,422,34,50,393,404,14,16,1147,1387,58,50,162,132,3144,3486,28,21
2006,Missouri,Big 12,291,246,9,8,17,20,17,21,21,17,13,2,1,187,68,11,13,0,0,0,0,0,0,3750,2590,465,400,291,231,11,10,29,19,59,65,480,562,13607,15207,0,0,187,188,34,23,457,465,16,11,1943,1749,92,67,190,167,5533,4163,28,34
2006,NC State,ACC,193,192,7,1,14,6,8,5,5,8,12,2,0,121,109,16,7,0,0,0,11,0,1,2312,2125,379,269,196,138,7,16,10,12,86,73,696,619,12780,13524,1,0,225,181,55,45,375,481,11,16,1436,1806,55,53,170,152,3624,3806,24,12
2006,Navy,FBS Independents,271,213,12,8,19,21,20,11,11,20,13,1,0,149,12,4,12,0,0,0,105,0,4,852,3003,112,394,51,243,12,4,7,19,52,56,438,455,15040,12188,0,0,171,116,32,28,764,416,39,14,4251,1517,83,67,173,154,4979,4357,24,23
2006,Nebraska,Big 12,285,236,14,9,23,22,20,15,15,20,14,0,0,113,83,8,12,0,0,0,86,0,7,3614,3252,411,446,244,238,12,8,32,17,74,76,614,581,16746,13810,0,0,294,73,46,43,554,436,27,14,2387,1632,90,63,199,192,5804,4646,28,27
2006,Nevada,Western Athletic,243,189,11,9,19,21,12,16,16,12,13,3,2,292,229,12,20,0,0,0,0,0,0,2259,2362,306,317,190,181,20,12,19,11,51,73,412,610,13922,12142,0,1,299,170,34,32,485,389,25,14,2109,1511,64,52,149,149,4181,3652,24,36
2006,New Mexico,Mountain West,218,243,7,8,13,20,15,15,15,15,13,4,0,291,135,9,14,0,0,0,45,0,2,2929,3296,390,427,204,256,14,9,18,26,65,56,544,425,13979,14200,0,0,179,219,43,39,433,442,10,11,1444,1534,71,79,184,177,4120,4620,24,29
2006,New Mexico State,Western Athletic,295,206,26,11,44,21,25,10,10,25,12,2,0,223,179,12,14,0,0,0,120,0,7,5003,2829,607,332,421,195,13,11,34,28,87,70,794,641,13586,12245,0,1,92,55,23,14,323,414,16,18,910,1871,73,32,175,106,5702,4673,37,24
2006,North Carolina,ACC,190,237,9,4,14,6,10,10,10,10,12,0,2,96,262,18,7,0,0,0,0,0,0,2313,2473,333,306,169,190,7,17,11,14,73,75,656,627,12617,13664,1,2,212,233,29,47,382,464,12,29,1360,2073,53,66,155,153,3516,4419,28,17
2006,North Texas,Sun Belt,153,227,14,10,21,20,12,9,9,12,12,0,2,26,152,19,6,0,0,0,0,0,0,1554,2365,253,317,136,202,6,19,9,18,76,62,619,504,12995,12968,1,0,140,160,31,39,437,465,5,17,1404,1792,46,73,159,166,2786,4061,31,15
