season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2016,Air Force,Mountain West,302,229,8,8,15,19,9,8,8,10,13,1,1,145,97,8,15,1,0,508,813,20,40,1752,3274,150,383,68,201,15,8,14,23,67,70,681,530,26564,20236,1,0,99,86,10,19,827,436,39,20,4126,1484,30,17,71,61,99,77,196,177,5878,4758,17,23
2016,Akron,Mid-American,232,294,10,13,21,22,8,6,5,8,12,1,0,107,126,14,8,0,0,683,1185,37,56,3063,2896,396,390,217,239,8,14,25,22,91,80,807,794,18707,24493,3,0,298,157,18,21,380,534,13,27,1586,2696,16,29,61,66,60,79,158,179,4649,5592,22,14
2016,Alabama,SEC,315,217,10,4,17,23,10,13,11,13,15,6,0,398,96,9,16,0,0,547,1212,28,59,3154,2968,417,507,265,273,16,9,26,15,85,57,660,471,27839,26161,4,0,528,213,36,20,639,476,33,5,3675,959,54,24,118,108,91,73,209,238,6829,3927,19,29
2016,App State,Sun Belt,288,232,16,5,29,23,5,1,1,5,13,2,0,271,20,8,20,1,0,702,643,34,27,2327,2649,334,444,203,255,20,8,16,12,79,77,750,694,26206,20594,0,0,185,150,21,12,578,415,29,15,3262,1637,33,15,79,76,59,60,175,182,5589,4286,13,21
2016,Arizona,Pac-12,245,302,5,5,18,16,9,6,8,11,12,0,0,32,100,12,8,0,0,516,671,33,35,2137,3302,306,427,157,281,8,12,13,34,76,102,768,877,18605,24595,0,0,56,241,12,22,509,496,26,27,2820,2330,22,28,59,73,57,92,157,179,4957,5632,21,14
2016,Arizona State,Pac-12,244,278,8,9,17,16,7,8,8,9,12,1,1,203,133,14,9,1,2,1213,493,57,21,3111,4289,425,485,257,310,9,14,16,33,66,82,624,723,21822,21378,1,0,248,65,23,22,475,399,27,25,1578,1957,27,42,84,90,74,62,195,173,4689,6246,21,17
2016,Arkansas,SEC,288,249,10,8,18,13,10,11,11,10,13,4,2,229,244,15,10,0,0,684,1115,36,54,3434,2875,406,370,247,218,10,15,26,12,80,57,680,526,27088,19412,0,0,143,101,17,20,517,452,21,39,2135,2671,26,35,60,87,70,74,176,165,5569,5546,25,21
2016,Arkansas State,Sun Belt,242,251,15,5,26,20,8,11,10,8,13,1,1,136,85,9,11,0,1,575,855,27,53,3148,2853,402,424,231,230,11,9,21,15,107,89,835,713,22645,24155,2,0,287,140,39,22,517,522,19,12,1784,1864,43,27,132,101,55,74,187,208,4932,4717,17,22
2016,Army,FBS Independents,276,179,20,8,33,18,12,4,5,13,13,0,1,98,73,10,17,0,1,486,985,29,54,925,2169,112,322,51,183,17,10,7,12,57,73,504,585,25371,17829,0,0,145,29,21,3,747,356,45,17,4245,1431,21,10,62,49,81,53,160,139,5170,3600,22,21
2016,Auburn,SEC,286,250,10,12,21,23,8,6,6,8,13,0,1,83,50,6,11,0,0,438,342,23,19,2203,2979,289,466,178,270,11,6,12,14,61,79,475,639,22761,24039,0,0,171,19,16,6,645,462,33,8,3527,1726,25,19,83,73,76,70,183,201,5730,4705,14,17
2016,BYU,FBS Independents,299,245,12,9,19,22,7,10,10,6,13,3,2,372,195,12,21,0,0,700,915,33,51,2573,3278,412,429,245,271,21,13,15,17,83,82,782,736,25477,21323,0,0,204,43,24,18,544,432,28,14,2615,1456,29,26,74,63,93,66,195,177,5188,4734,19,31
2016,Ball State,Mid-American,294,273,12,4,23,17,9,7,7,9,12,0,3,42,178,15,7,0,0,878,1042,42,53,2750,3836,436,480,263,301,7,15,14,27,48,70,426,577,22356,20844,1,1,94,129,19,17,519,405,25,15,2640,1807,32,17,84,56,88,83,195,184,5390,5643,24,14
2016,Baylor,Big 12,330,290,26,14,46,22,12,10,10,12,13,2,1,310,220,15,12,0,0,670,1056,35,56,3652,2992,480,412,269,226,12,15,33,17,129,77,1068,622,21071,25729,0,0,223,17,23,9,628,620,25,30,3143,2609,32,27,97,62,94,90,222,217,6795,5601,27,22
2016,Boise State,Mountain West,300,278,9,16,17,30,10,2,2,11,13,1,2,114,201,8,7,0,1,635,802,31,36,3878,2769,406,442,253,268,7,8,28,19,56,99,491,801,21857,24943,0,1,159,148,24,17,493,533,29,12,2268,2298,41,22,80,70,79,84,166,216,6146,5067,18,9
