season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2021,Air Force,Mountain West,284,198,32,10,41,24,6,8,9,7,13,0,0,53,89,4,8,0,1,68,794,14,39,1242,2526,113,341,55,191,8,4,8,15,55,71,505,568,28564,18236,0,0,36,26,5,7,836,397,44,18,4267,1330,37,11,68,41,88,69,195,171,5509,3856,10,16
2021,Akron,Mid-American,225,286,14,7,32,10,12,5,6,13,12,1,2,79,77,5,6,1,1,662,452,53,24,2610,2622,352,301,226,201,6,5,21,26,68,78,553,651,22428,20772,0,0,50,217,9,26,432,482,8,32,1463,2987,15,61,45,101,62,77,163,142,4073,5609,17,11
2021,Alabama,SEC,367,265,9,17,17,31,6,6,6,6,15,2,1,189,96,7,15,2,1,480,455,20,26,5073,3271,571,471,380,297,15,7,48,25,107,100,990,731,29142,25448,2,0,260,85,33,14,548,485,21,9,2250,1271,57,41,119,105,117,65,225,209,7323,4542,13,21
2021,App State,Sun Belt,317,255,25,9,38,24,14,7,7,17,14,4,0,347,110,12,15,2,1,1141,850,43,54,3487,3108,413,442,255,251,15,12,29,18,85,73,744,682,25964,24437,0,0,168,53,25,14,567,481,26,18,2691,1765,37,17,111,64,68,68,188,199,6178,4873,26,22
2021,Arizona,Pac-12,248,231,18,4,28,8,5,2,3,6,12,1,4,89,275,18,4,0,0,483,215,27,7,2716,2281,444,283,268,164,4,18,12,25,105,82,845,868,21767,21415,1,2,202,193,23,22,426,474,6,17,1556,2188,22,35,69,89,61,54,190,148,4272,4469,23,6
2021,Arizona State,Pac-12,260,254,9,13,14,25,12,5,5,12,13,2,0,229,40,10,16,0,0,681,338,37,22,2530,2533,313,382,206,229,16,10,12,13,113,66,1015,608,22955,23844,0,0,255,84,21,16,495,471,34,18,2514,1710,27,27,75,69,67,67,150,180,5044,4243,22,21
2021,Arkansas,SEC,284,250,12,15,19,25,6,3,6,8,13,0,0,97,9,5,13,0,0,310,211,20,10,2781,2779,314,387,205,226,13,5,22,16,103,84,820,616,23010,23790,1,1,264,149,25,21,588,497,26,17,2961,2001,24,30,79,88,64,62,173,185,5742,4780,11,16
2021,Arkansas State,Sun Belt,257,268,5,11,17,13,5,6,5,5,12,0,3,93,204,17,11,2,0,1400,517,63,31,3757,2938,525,352,310,206,9,17,27,26,67,82,552,825,20968,22232,1,0,131,77,17,21,349,488,4,32,975,3133,24,48,66,104,58,67,179,162,4732,6071,22,17
2021,Army,FBS Independents,261,216,30,11,41,31,5,6,7,6,13,0,1,141,83,3,10,0,2,161,626,25,39,1233,2745,110,340,60,202,10,3,11,15,50,63,479,484,27673,19127,0,0,154,40,14,8,758,401,46,19,3648,1531,30,7,66,54,82,61,178,150,4881,4276,8,16
2021,Auburn,SEC,271,262,13,10,23,27,8,3,4,9,13,2,0,110,-3,4,9,0,0,621,382,27,24,3121,3195,455,450,267,289,9,4,17,23,73,69,598,566,21736,25063,1,0,204,33,23,8,443,470,22,8,2096,1641,36,22,97,63,74,67,184,187,5217,4836,12,12
