season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2022,Air Force,Mountain West,266,167,21,9,29,22,11,7,8,14,13,0,0,89,22,2,9,0,0,54,594,5,35,916,2048,87,291,41,170,9,2,8,10,51,59,386,415,28361,18439,0,0,11,28,4,9,802,366,37,10,4254,1239,24,12,66,44,79,39,176,140,5170,3287,13,16
2022,Akron,Mid-American,254,235,12,14,24,19,12,2,2,12,12,1,2,119,142,10,8,0,0,866,616,42,33,3124,2644,457,313,296,192,8,10,13,19,72,84,652,678,19937,19633,0,0,88,141,17,19,348,432,15,25,1026,1922,18,55,58,101,52,55,155,148,4150,4566,22,10
2022,Alabama,SEC,310,241,9,10,15,26,8,7,9,9,13,1,0,74,18,8,7,0,0,372,593,21,34,3660,2442,438,434,280,238,7,8,37,12,103,87,893,663,23330,23432,2,0,456,77,30,12,458,467,26,15,2544,1695,38,22,84,62,74,60,162,198,6204,4137,16,14
2022,App State,Sun Belt,276,230,18,11,37,21,5,13,18,7,12,0,1,32,186,6,7,1,2,699,552,28,26,3005,2627,358,360,226,216,7,6,28,18,66,66,604,636,22029,21422,0,1,78,41,16,8,474,421,27,20,2459,1554,29,17,68,47,61,70,156,168,5464,4181,11,20
2022,Arizona,Pac-12,289,308,10,12,23,21,8,12,23,15,12,0,1,59,183,13,4,0,0,354,444,20,21,3821,3103,459,403,283,280,4,13,26,25,65,61,600,589,20202,22998,0,1,93,140,13,18,352,449,19,33,1728,2510,15,24,55,51,62,63,147,134,5549,5613,21,16
2022,Arizona State,Pac-12,254,285,12,7,19,17,8,1,1,11,12,1,0,114,114,10,11,0,0,757,437,34,24,3023,2801,403,406,270,246,11,10,18,14,87,67,868,654,22137,21063,0,1,63,259,19,20,385,435,21,31,1623,2257,17,28,50,69,59,82,151,166,4646,5058,18,12
2022,Arkansas,SEC,311,293,9,12,20,21,11,9,13,21,13,0,0,83,22,7,9,0,0,161,194,9,9,3041,3819,356,448,230,274,9,7,26,24,83,93,723,767,23698,23961,1,0,162,144,16,10,606,488,27,26,3085,2222,39,31,73,80,89,86,194,191,6126,6041,18,18
2022,Arkansas State,Sun Belt,206,248,14,16,23,25,4,5,7,7,12,1,2,115,94,5,6,1,0,1106,451,51,25,2721,2912,396,350,247,212,6,5,16,25,68,78,654,688,21770,22327,0,0,96,174,17,26,381,484,16,23,1058,1949,23,37,77,107,49,63,167,172,3779,4861,9,11
2022,Army,FBS Independents,211,232,16,10,30,21,8,6,10,11,12,0,0,74,22,4,10,0,0,211,387,13,23,924,1920,104,275,42,167,10,4,5,15,58,65,465,494,22773,20420,3,0,167,50,15,8,645,473,38,19,3467,2388,18,12,45,45,70,55,159,142,4391,4308,12,16
2022,Auburn,SEC,217,244,13,6,22,12,10,7,12,17,12,1,0,60,81,12,6,0,1,396,694,24,31,2072,2661,308,411,159,237,6,12,9,15,90,90,688,694,21757,21443,0,0,170,41,20,11,488,448,25,28,2470,2082,26,31,62,80,64,76,178,179,4542,4743,22,13
