season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2012,Air Force,Mountain West,290,271,25,17,43,30,21,8,8,21,13,1,0,208,62,8,8,0,0,878,726,38,35,1334,2738,151,343,83,233,8,8,9,19,44,63,341,492,22153,24665,0,0,76,59,10,9,804,575,39,27,4111,2584,92,93,189,196,5445,5322,29,16
2012,Akron,Mid-American,287,294,9,8,20,15,9,8,8,9,12,1,0,62,157,18,5,0,0,745,529,46,33,3753,2867,583,380,364,232,5,18,30,30,99,71,777,594,20216,23708,0,1,165,354,24,33,365,517,9,22,1373,2533,75,61,189,170,5126,5400,27,13
2012,Alabama,SEC,303,192,7,7,11,18,12,11,11,12,14,1,0,221,20,3,18,1,1,503,1143,21,54,3052,2431,328,397,219,217,18,3,31,8,54,67,467,552,29579,23163,0,0,337,117,34,18,570,440,37,10,3171,1069,80,61,167,190,6223,3500,15,29
2012,Arizona,Pac-12,380,339,11,13,23,26,13,15,15,13,13,1,2,236,272,15,12,0,0,560,807,29,42,3879,3807,538,500,326,309,12,15,30,25,83,123,716,1188,21105,25996,1,0,170,161,17,22,544,585,33,33,2961,2680,80,90,182,206,6840,6487,28,27
2012,Arizona State,Pac-12,329,247,7,10,18,21,12,9,9,12,13,3,0,383,189,12,21,1,1,761,1118,34,51,3369,2183,413,394,275,198,21,12,33,23,55,79,454,671,23031,23828,0,0,269,121,33,13,598,559,27,17,2670,2377,80,73,194,209,6039,4560,24,30
2012,Arkansas,SEC,253,259,6,11,18,19,15,6,6,15,12,0,1,34,271,16,6,0,0,566,402,31,19,3618,3430,459,419,272,262,6,16,23,24,72,66,528,551,21362,21929,0,0,124,152,22,27,367,440,12,21,1424,1489,58,68,158,175,5042,4919,31,12
2012,Arkansas State,Sun Belt,319,265,7,23,14,33,9,10,10,9,13,0,1,227,121,5,13,0,0,712,1045,37,55,3386,2955,412,432,279,276,13,5,25,21,63,89,569,723,24597,24738,0,1,47,110,12,19,540,498,31,15,2681,1989,81,77,173,194,6067,4944,14,23
2012,Army,FBS Independents,283,251,21,10,41,13,20,7,7,20,12,0,0,119,22,2,7,0,1,916,554,46,22,797,2340,115,254,51,162,7,2,3,19,47,50,361,451,22867,20065,0,0,58,88,13,11,806,509,32,35,4438,2788,84,70,180,147,5235,5128,22,14
2012,Auburn,SEC,188,261,3,9,9,20,10,11,11,10,12,1,0,72,142,15,2,1,0,808,233,36,14,1879,2675,257,358,147,235,2,15,8,20,75,51,601,397,21670,23678,0,0,161,4,18,5,438,484,16,23,1781,2371,44,69,143,169,3660,5046,25,13
2012,BYU,FBS Independents,299,192,20,8,28,19,8,10,10,8,13,1,3,149,278,17,12,0,1,616,850,26,41,3214,2329,498,378,296,214,12,17,25,12,80,79,703,713,25850,21719,0,0,258,132,31,20,505,412,22,5,1989,1130,97,48,212,182,5203,3459,25,22
