season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2008,Air Force,Mountain West,240,250,13,9,24,19,11,21,21,11,13,1,0,90,30,6,12,0,0,0,47,0,2,1097,2777,138,375,74,219,12,6,9,15,73,71,602,550,14772,13748,0,2,236,167,36,35,777,500,27,19,3470,1840,87,82,203,189,4538,4439,17,33
2008,Akron,Mid-American,255,269,11,13,18,20,8,17,17,8,12,0,0,122,129,14,9,0,0,0,0,0,0,2888,2582,404,356,232,226,9,14,20,26,66,50,558,451,12445,13489,1,1,79,147,22,36,435,504,23,20,1982,2246,65,72,160,160,4760,4771,22,26
2008,Alabama,SEC,263,188,8,9,10,18,11,11,11,11,14,4,0,305,83,9,15,0,0,0,0,0,0,2574,2854,334,467,195,246,15,9,10,18,56,82,505,639,16355,13386,4,1,701,242,64,43,568,391,32,5,2585,1038,76,53,183,187,4981,3689,20,26
2008,Arizona,Pac-10,287,199,4,4,16,9,13,12,12,13,13,2,1,307,118,8,16,0,0,0,0,0,0,3355,2502,412,408,266,228,16,8,24,12,52,88,433,679,14652,12363,3,0,587,233,42,31,504,411,33,18,2059,1704,81,62,175,177,5231,4069,21,28
2008,Arizona State,Pac-10,205,230,5,5,13,13,8,9,9,8,12,4,1,346,185,11,16,0,0,0,69,0,4,2873,2650,395,405,228,231,16,11,17,16,93,75,787,650,12312,13586,0,1,385,249,40,33,369,429,7,12,1069,1518,47,67,160,176,3713,4022,19,25
2008,Arkansas,SEC,226,228,12,11,23,19,8,5,5,8,12,0,3,138,421,18,11,0,0,109,245,7,11,3251,2551,428,344,245,184,11,18,19,22,79,65,584,548,13787,13282,0,0,80,174,29,36,374,456,13,20,1357,2046,63,71,171,170,4079,4198,26,16
2008,Arkansas State,Sun Belt,237,214,8,7,18,18,8,10,10,8,12,1,1,193,59,8,15,0,0,0,345,0,19,2564,2690,308,380,167,208,14,8,16,14,83,63,770,525,14289,11939,0,0,240,184,30,33,488,401,19,20,2445,1502,59,71,158,170,4791,4038,16,25
2008,Army,FBS Independents,185,207,11,9,25,19,24,11,11,24,12,1,1,58,83,6,7,0,0,0,94,0,2,622,2472,128,290,57,176,7,6,3,13,46,74,437,687,13818,12359,0,0,99,172,32,31,635,434,17,14,2897,1741,65,48,172,147,3452,4074,30,18
2008,Auburn,SEC,198,203,5,8,12,17,13,8,8,13,12,1,0,176,92,13,11,0,0,0,203,0,7,2144,2239,341,369,184,199,11,12,7,19,74,59,568,500,13280,13073,1,0,273,197,45,52,469,408,12,7,1650,1667,65,49,183,171,3635,3813,26,19
2008,BYU,Mountain West,315,268,7,8,10,18,20,23,23,20,13,1,0,31,188,14,9,0,0,0,42,0,2,4161,2958,494,409,338,250,9,14,35,17,100,77,885,695,14339,13993,0,0,78,115,33,22,424,473,21,18,1738,1824,98,84,176,182,5773,4627,34,32
2008,Ball State,Mid-American,323,240,7,12,12,25,12,8,8,12,14,3,0,139,61,8,16,0,0,0,111,0,7,3702,3009,405,454,261,260,16,8,27,17,39,62,374,534,15433,13957,0,0,243,123,36,26,520,497,32,16,2583,2282,76,75,161,181,6195,5155,20,24
2008,Baylor,Big 12,237,273,16,17,28,21,6,13,13,6,12,0,1,117,25,5,16,0,0,0,144,0,6,2359,3139,290,427,170,288,16,5,16,22,80,68,656,628,12261,14167,0,0,25,131,18,32,481,463,29,22,2349,1655,53,84,144,171,4517,4718,11,29
2008,Boise State,Western Athletic,285,228,8,10,12,36,15,13,13,15,13,0,4,178,222,11,22,0,0,0,115,0,7,3853,2628,438,449,298,234,22,11,30,8,93,84,839,745,13647,14799,3,0,539,95,54,20,449,476,28,9,1980,1534,71,68,162,209,5731,4006,26,35
2008,Boston College,ACC,256,205,16,11,25,22,19,11,11,19,14,5,3,618,240,17,26,0,0,0,107,0,7,2594,2661,448,435,233,244,26,17,17,9,60,73,514,623,15767,15038,2,0,204,239,56,45,518,454,18,14,2000,1277,74,66,206,210,4471,3754,36,37
2008,Bowling Green,Mid-American,240,239,12,10,19,18,12,8,8,12,12,0,0,239,81,9,15,0,0,0,0,0,0,2892,2361,411,354,274,206,15,9,24,13,75,52,641,470,12947,13228,0,0,166,104,34,26,407,462,19,22,1608,1951,81,70,173,164,4317,4121,21,23
2008,Buffalo,Mid-American,281,301,18,12,24,27,11,26,26,11,14,0,1,65,147,6,8,0,0,0,0,0,0,3519,3392,472,465,306,306,8,6,25,18,66,75,629,590,15792,14923,0,0,125,261,20,45,486,496,27,31,1858,2422,87,84,201,185,5184,5715,17,34
2008,California,Pac-10,230,229,5,7,14,22,9,13,13,9,13,3,3,419,184,10,24,0,0,0,0,0,0,2650,2777,397,432,209,223,24,10,25,12,77,75,649,647,13725,14466,3,0,414,284,46,40,435,495,22,16,2421,1589,47,61,159,197,4888,4098,19,37
2008,Central Michigan,Mid-American,301,287,5,11,18,22,4,10,10,4,13,0,2,76,184,8,8,0,0,0,38,0,3,3974,3901,480,475,317,299,8,8,28,25,75,68,736,625,14217,14240,1,0,410,132,31,23,484,428,19,24,1738,1775,92,78,193,179,5505,5509,12,18
2008,Cincinnati,Big East,272,246,9,11,21,21,15,6,6,15,14,2,1,333,151,15,17,0,0,0,101,0,4,3767,3125,472,478,290,268,17,15,26,18,99,86,903,726,14737,15840,0,0,352,127,67,30,455,481,15,13,1647,1610,58,66,174,213,5189,4507,30,23
