season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2017,UCF,American Athletic,327,280,10,15,20,31,6,12,12,6,13,3,1,303,126,9,20,2,0,911,1591,37,78,4313,3485,424,471,287,261,20,9,38,24,109,108,888,969,21903,23997,1,0,233,41,17,6,500,498,39,16,2583,2078,27,13,78,72,75,82,166,201,6896,5563,15,32
2017,UCLA,Pac-12,304,320,13,12,20,25,12,5,5,12,13,2,2,82,212,10,8,0,0,1039,1172,54,49,4439,2552,535,355,337,203,8,10,31,19,106,98,977,872,20652,26148,0,2,73,240,14,21,397,649,19,35,1513,3736,22,29,77,85,75,71,183,186,5952,6288,22,13
2017,UConn,American Athletic,256,308,11,10,27,23,8,5,5,8,12,1,1,40,176,11,6,0,0,1054,509,51,22,3230,4007,421,473,256,318,6,11,18,34,63,108,586,974,21246,21913,0,0,67,64,10,17,486,447,17,26,1752,2221,23,35,66,91,76,85,191,179,4982,6228,19,11
2017,UL Monroe,Sun Belt,259,301,13,5,23,9,9,5,5,9,12,0,2,82,143,9,9,4,1,1409,1004,57,46,3452,3592,404,381,246,236,9,9,22,32,64,85,531,787,21402,21798,0,0,99,144,15,21,459,499,27,32,2038,2793,22,21,62,58,77,70,178,152,5490,6385,18,14
2017,UNLV,Mountain West,254,288,12,14,20,26,6,12,7,5,12,1,0,106,114,9,7,0,0,617,1072,37,50,2243,2632,299,348,162,215,7,9,10,16,56,65,479,620,22424,20776,0,0,65,248,9,17,528,530,29,32,2882,2872,17,24,53,63,70,70,172,160,5125,5504,15,19
2017,USC,Pac-12,340,282,12,15,27,27,14,9,9,14,14,3,2,209,195,13,16,0,1,901,1156,41,48,4186,3318,491,475,309,258,16,13,26,22,107,94,975,784,25966,24434,2,0,229,181,21,21,543,510,29,20,2591,2221,44,30,81,69,78,74,191,208,6777,5539,27,25
2017,UTEP,Conference USA,146,285,9,11,20,17,6,8,7,5,12,1,3,52,248,14,6,0,0,777,186,36,11,1619,2547,330,339,150,215,6,15,7,24,70,77,625,693,20007,23193,0,1,54,315,14,33,346,520,9,32,1147,2812,12,25,55,66,43,84,161,162,2766,5359,20,14
2017,UTSA,Conference USA,232,166,8,6,14,15,11,9,9,11,11,1,1,95,135,7,13,0,0,608,721,29,38,2225,1761,309,261,191,128,13,7,15,13,79,57,641,595,21925,17675,0,0,81,23,19,8,445,375,11,10,2030,1405,23,27,73,77,65,46,155,133,4255,3166,18,22
2017,Utah,Pac-12,299,227,11,6,19,11,12,13,13,12,13,1,1,126,91,14,14,0,0,324,657,18,29,3242,2692,427,441,261,246,14,14,18,17,88,69,789,644,25366,21434,0,0,291,27,29,8,526,427,22,14,2132,1707,24,31,59,85,62,73,176,193,5374,4399,26,27
2017,Utah State,Mountain West,248,276,10,12,19,26,11,16,16,11,13,3,4,234,311,13,13,1,1,786,653,36,36,2938,2372,435,376,254,209,13,13,17,17,80,92,729,730,20784,26016,1,0,287,128,31,16,485,626,24,20,2228,2813,24,28,66,90,69,75,201,213,5166,5185,24,29
2017,Vanderbilt,SEC,221,250,9,9,20,17,4,2,2,4,12,0,1,65,168,10,7,0,0,659,350,30,16,2923,2335,403,328,232,191,7,10,27,16,69,86,601,557,21146,22054,0,1,121,161,17,17,348,479,14,30,1286,2382,29,19,73,53,70,62,169,166,4209,4717,14,9
2017,Virginia,ACC,241,245,11,15,28,26,8,3,3,8,13,1,4,154,234,11,15,2,0,1106,856,41,35,3233,2155,519,322,300,172,15,11,25,18,63,66,592,589,23711,23089,0,2,98,321,22,25,389,557,10,25,1216,2591,28,31,70,79,82,69,209,188,4449,4746,19,18
2017,Virginia Tech,ACC,290,201,11,10,27,23,5,6,6,5,13,2,1,267,126,9,13,0,0,613,288,26,16,3113,2588,412,357,245,173,13,9,21,16,60,82,548,626,25487,21313,2,0,413,47,39,12,584,463,19,7,2254,1563,32,23,101,68,86,49,211,187,5367,4151,14,19
2017,Wake Forest,ACC,296,313,12,17,20,33,6,7,6,6,13,1,0,187,25,7,14,0,0,933,1030,44,49,3599,3530,426,522,268,296,14,6,33,20,69,62,544,567,21101,25699,1,1,323,269,31,29,537,547,22,24,2456,2415,28,20,105,72,77,90,195,227,6055,5945,13,21
2017,Washington,Pac-12,271,219,6,13,12,20,6,9,9,6,13,2,1,243,42,5,15,0,0,608,1236,27,66,2889,2563,348,417,240,272,15,5,19,10,54,55,445,514,22247,24553,4,0,458,58,26,12,473,459,37,11,2382,1311,38,20,85,74,69,76,153,202,5271,3874,11,24
2017,Washington State,Pac-12,302,213,10,8,18,19,11,13,13,11,13,1,2,130,257,20,15,0,0,449,1039,25,44,4769,2222,713,351,487,190,15,20,37,11,73,75,666,659,25199,21601,0,0,91,52,22,18,303,469,8,26,884,1981,30,43,92,74,86,49,204,172,5653,4203,31,28
2017,West Virginia,Big 12,301,279,16,18,21,25,12,8,8,12,13,3,0,259,215,14,11,0,0,973,884,40,45,4021,3138,481,405,294,234,11,14,37,24,79,93,776,850,21256,25544,2,0,106,223,24,20,460,539,18,26,1954,2654,24,19,85,53,62,65,185,197,5975,5792,26,19
2017,Western Kentucky,Conference USA,294,250,11,6,27,12,13,5,5,12,13,1,2,57,79,10,10,0,0,901,722,48,36,4355,2689,577,388,381,227,10,10,27,11,74,76,633,767,22913,23887,0,0,39,72,15,12,391,500,15,27,791,2214,12,49,69,97,85,83,193,193,5146,4903,23,15
2017,Western Michigan,Mid-American,250,224,9,5,15,8,10,16,16,8,12,2,1,170,145,8,10,2,0,806,1044,40,54,1978,2669,294,363,172,209,10,8,19,18,68,81,639,741,22064,21136,0,0,105,102,15,26,562,443,26,27,2697,1873,20,22,79,72,70,64,178,168,4675,4542,18,26
2017,Wisconsin,Big Ten,296,196,4,11,6,17,9,9,9,9,14,5,3,346,255,15,20,0,0,733,565,35,29,2689,2291,325,395,204,192,20,15,25,11,75,76,703,659,29809,20591,1,0,206,132,24,20,629,436,25,7,3121,1378,42,20,89,67,90,55,185,189,5810,3669,24,29
2017,Wyoming,Mountain West,198,244,9,15,14,26,6,18,17,5,13,2,0,262,134,8,20,2,0,651,682,23,34,2304,2274,348,334,195,189,20,8,18,11,55,64,522,602,21572,25222,0,0,236,118,24,25,446,599,13,16,1414,2084,32,23,87,65,60,75,183,206,3718,4358,14,38
