season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2009,Air Force,Mountain West,261,190,27,14,38,23,9,14,14,9,13,3,0,265,72,3,20,1,1,901,1077,37,56,1230,2164,153,328,77,189,20,3,8,10,63,72,568,611,15505,13408,1,0,308,155,33,37,815,465,31,12,3685,1742,100,54,226,175,4834,3748,12,34
2009,Akron,Mid-American,198,237,3,6,14,15,11,6,6,11,12,2,0,180,256,13,13,1,2,1211,839,56,42,2351,2414,342,352,190,214,13,13,12,19,70,67,610,600,11809,14721,1,2,122,187,39,30,393,481,13,23,1421,2063,48,85,149,173,3611,4412,24,19
2009,Alabama,SEC,289,188,10,9,17,24,7,7,7,7,14,2,0,319,31,5,24,0,2,791,2005,33,81,2743,2589,346,449,212,210,24,5,17,11,69,86,598,729,17106,14266,1,0,587,156,64,33,601,394,31,5,3011,1097,76,57,194,194,5642,3421,12,31
2009,Arizona,Pac-10,263,222,11,7,23,15,8,7,7,8,13,2,1,148,221,12,12,1,0,1320,1178,53,56,3023,2816,484,421,301,239,12,12,20,19,70,74,544,631,14835,13884,2,0,245,224,37,25,430,405,19,16,2072,1569,77,63,186,179,4999,4189,20,19
2009,Arizona State,Pac-10,218,191,12,5,22,14,14,9,9,14,12,2,2,243,240,12,15,1,0,1014,942,48,50,2761,2420,418,366,225,194,15,12,17,13,111,89,1016,799,13796,12791,0,1,277,377,51,44,382,384,14,12,1431,1303,52,51,169,172,4013,3571,26,24
2009,Arkansas,SEC,255,266,10,4,20,16,6,17,17,6,13,2,0,222,96,9,13,1,0,1283,1670,56,80,4010,3441,439,404,247,239,13,9,32,22,85,87,699,654,14300,16272,1,1,130,295,38,42,395,501,23,15,1713,1985,54,66,162,180,5555,5215,15,30
2009,Arkansas State,Sun Belt,208,225,8,7,18,12,12,11,11,12,12,1,1,223,95,12,8,0,0,979,944,47,52,2546,2788,330,366,192,222,8,12,10,19,90,74,721,591,13453,13521,0,0,254,147,42,33,428,418,21,15,1623,1464,48,69,144,171,3946,4086,24,19
2009,Army,FBS Independents,175,187,7,7,15,12,14,11,11,14,12,1,2,197,92,5,13,0,1,889,984,46,41,928,2029,161,257,73,143,13,5,5,13,65,74,517,638,13931,12780,0,2,139,281,48,40,593,469,13,16,2443,1822,50,60,173,157,3304,3656,19,24
2009,Auburn,SEC,266,267,4,15,14,24,13,8,8,13,13,4,0,243,77,9,17,1,1,1493,1624,63,69,3049,3034,364,452,218,253,17,9,25,19,96,59,837,466,13850,15157,0,1,107,168,36,38,550,493,24,25,2756,2033,71,63,177,192,5613,4867,22,25
2009,BYU,Mountain West,291,239,5,15,13,26,10,10,10,10,13,0,1,247,155,14,14,0,1,873,1362,40,63,3799,3027,419,449,282,262,14,14,34,18,93,91,888,794,14547,13704,0,0,173,103,33,24,470,422,26,15,1894,1432,94,72,169,188,5553,4278,24,24
2009,Ball State,Mid-American,187,244,9,5,19,14,12,9,9,12,12,0,1,127,129,14,10,0,0,1125,1097,56,51,1889,2881,313,369,160,239,10,14,9,26,61,81,463,702,12525,14008,1,0,192,96,40,31,437,462,14,14,1895,1828,56,64,166,164,3508,4640,26,19
2009,Baylor,Big 12,210,269,8,10,20,20,7,8,8,7,12,3,1,211,189,16,10,0,0,1185,1060,54,49,3110,2858,431,430,267,268,10,16,13,16,94,92,758,834,11953,14286,0,1,232,316,31,35,346,477,16,19,1207,2145,60,81,167,183,4115,4867,23,18
2009,Boise State,Western Athletic,311,224,17,13,22,26,11,11,11,11,14,4,1,293,125,3,24,2,0,1172,1868,44,99,3737,2671,458,439,294,241,24,3,40,15,87,87,759,701,15861,14924,0,0,391,152,65,25,508,440,30,15,2605,1685,66,59,174,192,6303,4203,14,35
2009,Boston College,ACC,214,235,7,8,11,20,8,8,8,8,13,1,3,155,323,18,15,0,0,932,924,44,49,2576,3049,351,448,177,277,15,18,21,12,64,80,534,704,13824,14743,1,1,171,241,44,43,472,448,17,11,1780,1341,52,67,172,197,4211,4259,26,23
2009,Bowling Green,Mid-American,282,244,8,11,21,22,8,10,10,8,13,1,0,141,73,7,9,1,0,1208,1417,62,62,4282,2777,596,389,381,227,9,7,27,18,70,91,611,851,14951,13781,0,1,224,103,45,45,360,471,19,27,1125,2525,93,64,204,175,5235,5177,15,19
