season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2014,Air Force,Mountain West,287,249,20,14,28,31,13,8,8,13,13,0,1,72,110,4,10,0,0,709,745,34,37,1893,3369,206,434,117,239,10,4,15,20,46,59,460,535,24560,22132,0,0,71,95,14,13,796,461,35,17,3550,1763,100,71,213,195,5443,5132,17,18
2014,Akron,Mid-American,259,255,7,7,21,17,12,11,11,12,12,1,0,201,203,14,13,0,0,626,828,32,43,2995,2670,527,402,284,225,12,15,14,20,101,95,870,849,20988,22129,0,0,75,123,19,18,363,457,18,14,1484,1783,61,63,179,173,4479,4453,26,24
2014,Alabama,SEC,340,234,10,7,13,18,12,9,9,12,14,0,1,84,124,10,11,0,1,1006,1291,50,60,3890,3164,451,493,290,268,11,10,32,19,69,61,562,516,27657,23247,0,0,234,83,25,13,567,452,35,5,2893,1434,102,82,199,218,6783,4598,22,20
2014,App State,Sun Belt,283,214,14,12,23,21,10,7,7,10,12,1,0,97,61,11,12,0,1,551,1046,32,45,2637,2342,340,356,205,210,12,11,21,17,88,80,755,837,22806,20568,1,2,65,261,12,19,537,430,33,21,2901,1828,84,56,172,164,5538,4170,21,19
2014,Arizona,Pac-12,346,337,16,7,26,18,8,13,13,8,14,1,1,138,99,10,13,1,0,817,758,38,42,3945,3937,564,534,320,349,13,10,29,28,92,124,881,1086,23611,27387,1,0,174,268,17,32,575,581,26,19,2546,2377,89,94,234,232,6491,6314,18,26
2014,Arizona State,Pac-12,301,261,10,14,23,28,4,13,13,4,13,3,3,276,243,9,14,0,1,555,1280,23,56,3556,3376,467,453,281,269,14,9,34,22,58,91,421,796,22292,25636,0,2,55,196,15,16,508,511,20,17,2194,2046,76,79,199,209,5750,5422,13,27
2014,Arkansas,SEC,288,225,12,4,19,18,11,12,12,11,13,1,1,241,91,6,12,1,1,617,1192,24,51,2444,2714,359,392,199,217,12,6,21,19,68,77,581,638,26599,21204,0,0,206,49,22,16,557,429,32,11,2834,1490,88,72,188,182,5278,4204,17,24
2014,Arkansas State,Sun Belt,304,279,18,10,36,23,14,12,12,14,13,3,0,266,79,8,16,0,0,1057,685,48,42,3381,2808,448,410,276,238,16,8,25,18,104,91,905,793,23064,24686,1,0,250,31,35,11,576,565,35,34,2813,2668,78,71,207,198,6194,5476,22,28
2014,Army,FBS Independents,216,261,16,16,31,23,11,4,4,11,12,2,0,237,28,2,11,0,0,659,892,41,41,747,2854,105,362,50,244,11,2,3,31,49,54,435,460,22234,20680,2,0,65,15,18,6,665,436,33,19,3558,2316,63,68,154,149,4305,5170,13,15
2014,Auburn,SEC,314,287,3,15,7,25,13,5,5,13,13,1,0,130,95,7,22,0,0,701,717,35,33,2984,2991,332,421,208,243,22,7,23,22,92,57,896,467,23800,23948,2,0,303,148,17,19,607,493,32,22,3321,2194,94,64,179,179,6305,5185,20,27
2014,BYU,FBS Independents,325,282,15,17,23,28,15,12,12,15,13,2,0,249,61,12,14,1,0,975,1235,49,68,3623,3506,483,549,289,318,14,12,32,25,110,88,1053,768,21831,24901,0,0,224,227,30,23,567,483,28,19,2363,1584,89,85,206,224,5986,5090,27,26
2014,Ball State,Mid-American,243,265,11,11,13,22,8,14,14,8,12,0,1,177,31,7,10,0,1,1002,946,44,41,2590,2853,409,402,232,250,10,7,19,16,50,67,469,588,21476,21761,0,0,60,114,9,14,448,475,16,24,1841,2293,71,80,186,184,4431,5146,15,24
2014,Baylor,Big 12,391,256,25,6,34,24,5,13,13,5,13,0,1,203,67,8,13,0,1,801,1504,40,81,4757,3434,519,456,323,249,13,8,38,24,127,89,1149,866,22578,24656,0,0,93,56,20,11,619,485,43,17,2802,1530,100,81,214,210,7559,4964,13,26
2014,Boise State,Mountain West,338,258,10,12,21,28,9,9,9,9,14,5,2,284,189,15,22,0,1,1114,741,63,36,3926,3260,451,488,310,280,22,15,27,18,92,76,801,622,27070,23931,1,0,286,163,29,18,609,516,39,24,2994,1996,91,78,206,225,6920,5256,24,31
2014,Boston College,ACC,248,225,12,6,21,12,3,5,5,3,13,0,0,86,100,10,9,1,0,854,862,35,47,1681,2987,243,423,135,264,9,10,13,20,57,75,478,585,25768,21141,0,0,125,181,16,28,635,399,31,14,3307,1220,64,72,178,186,4988,4207,13,14
2014,Bowling Green,Mid-American,310,366,7,10,23,23,10,17,17,10,14,0,0,172,132,13,16,1,0,1288,1500,62,69,3639,4080,547,588,317,353,16,13,17,25,110,92,872,875,22045,28964,2,0,163,208,18,32,556,568,30,37,2422,2830,87,95,231,221,6061,6910,23,33
2014,Buffalo,Mid-American,244,203,12,15,23,21,6,13,13,6,11,0,1,0,147,12,2,0,0,879,772,46,39,2855,2448,367,295,235,149,2,12,32,17,58,72,588,646,22215,17903,0,0,89,32,13,9,443,451,16,29,1965,1927,75,58,164,154,4820,4375,18,15
2014,California,Pac-12,319,332,19,20,28,27,10,5,5,10,12,0,0,60,126,10,12,2,0,1170,994,53,49,4152,4406,535,544,329,356,12,10,37,42,107,96,987,974,22079,21410,0,1,175,80,24,7,440,436,22,19,1790,1736,88,78,191,186,5942,6142,20,17
2014,Central Michigan,Mid-American,287,247,7,10,16,20,14,8,8,14,13,1,0,94,153,13,14,0,0,811,933,42,44,3157,3023,382,423,243,249,14,13,27,24,70,71,592,621,25946,20643,0,0,75,158,18,12,504,426,19,15,2018,1598,70,71,162,177,5175,4621,27,22
