season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2024,Air Force,Mountain West,215,204,23,15,36,27,5,8,8,5,12,0,0,80,149,10,4,0,0,73,365,5,19,1077,2262,138,289,62,187,4,10,5,12,36,63,336,581,24457,18743,0,1,42,165,8,12,668,401,24,23,2696,1845,18,17,52,59,78,52,184,140,3773,4107,15,12
2024,Akron,Mid-American,215,244,5,15,16,26,10,7,7,10,12,0,1,27,84,10,3,0,0,395,294,25,15,2790,2780,420,343,234,221,3,10,16,24,76,80,584,641,20556,22644,2,0,27,147,8,16,342,469,11,23,1206,2184,18,29,60,63,58,62,162,163,3996,4964,20,10
2024,Alabama,SEC,271,245,8,15,16,23,10,11,11,10,13,0,2,242,200,11,17,0,0,282,478,14,26,3073,2369,354,395,226,236,17,11,17,13,95,75,897,622,22878,23922,0,0,224,8,25,8,487,484,41,10,2262,1801,25,24,71,77,78,62,164,192,5335,4170,21,28
2024,App State,Sun Belt,263,234,13,6,22,15,6,9,9,6,11,0,2,21,213,16,4,0,0,500,505,25,27,3002,2361,392,281,218,193,4,16,23,20,66,77,627,702,19872,19663,1,0,99,170,6,20,384,410,13,24,1731,2179,23,14,47,45,62,57,145,127,4733,4540,22,13
2024,Arizona,Big 12,222,250,8,14,19,28,7,7,8,7,12,0,1,17,130,13,8,0,0,712,25,32,2,2975,2868,437,355,262,226,6,13,18,22,78,60,691,534,21421,21779,0,1,95,186,17,16,329,417,11,25,1280,2123,20,36,57,63,73,62,170,152,4255,4991,20,15
2024,Arizona State,Big 12,315,283,19,13,36,24,3,7,5,3,14,2,0,155,4,6,16,0,0,181,481,11,27,3213,3122,382,478,234,281,16,6,26,19,90,76,751,678,27402,22998,1,1,149,135,10,6,582,424,30,19,2832,1604,21,21,65,63,90,80,196,189,6045,4726,9,23
2024,Arkansas,SEC,314,260,14,16,23,31,14,5,5,13,13,0,1,135,195,9,10,0,0,235,445,16,20,3570,3210,414,418,255,259,10,9,16,22,93,84,778,696,23720,23080,0,0,68,52,11,9,492,458,34,15,2401,1702,26,36,61,83,72,66,166,182,5971,4912,23,15
2024,Arkansas State,Sun Belt,284,296,15,14,20,22,8,6,5,9,13,0,0,107,47,10,14,0,0,631,551,32,31,2957,3246,442,388,274,244,14,10,19,23,73,94,672,762,22660,24140,2,0,277,147,15,15,484,481,18,32,2050,2766,19,35,65,70,81,77,198,164,5007,6012,18,20
2024,Army,American Athletic,293,227,31,17,40,40,5,2,2,5,14,0,0,170,25,4,18,0,0,153,732,13,39,1128,2603,122,402,66,253,18,4,10,16,45,64,442,567,29942,20458,0,0,38,55,10,11,762,379,48,12,4210,1570,22,6,58,36,82,67,170,162,5338,4173,9,20
2024,Auburn,SEC,251,213,9,10,19,20,9,5,5,9,12,0,1,58,114,13,8,0,0,509,328,23,16,3167,2556,369,354,230,199,8,13,27,12,69,78,592,642,19606,22994,1,1,170,30,21,8,401,453,13,18,1988,1423,28,25,68,62,61,73,147,185,5155,3979,22,13
2024,BYU,Big 12,288,220,18,16,24,34,7,7,7,7,13,1,0,113,204,14,22,3,0,578,586,22,30,2956,2372,378,392,215,217,22,14,20,13,66,80,561,679,24420,22380,2,0,235,66,18,8,453,422,21,18,2100,1658,20,18,63,62,57,72,153,175,5056,4030,21,29
2024,Ball State,Mid-American,243,265,12,8,26,16,3,7,7,3,12,1,2,115,236,11,8,1,0,794,609,35,34,2936,3363,439,375,280,232,8,11,26,37,59,63,544,589,22300,20900,0,0,18,163,10,16,370,400,10,24,1241,2116,20,32,55,76,75,72,177,149,4177,5479,14,15
