season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2005,Air Force,Mountain West,244,246,17,12,23,19,14,8,8,14,11,0,0,91,39,10,9,0,0,0,0,0,0,1952,2874,205,324,121,213,9,10,14,15,0,0,0,0,11242,10641,0,0,168,82,23,21,588,442,28,27,2712,1909,59,62,149,150,4590,4714,24,17
2005,Akron,Mid-American,251,224,10,2,27,9,13,9,9,13,13,0,0,102,72,12,7,0,0,0,0,0,0,3728,2524,541,365,284,214,7,12,24,18,0,0,0,0,14303,14092,0,1,218,235,48,43,422,528,12,19,1395,2067,69,66,213,198,4996,4418,25,16
2005,Alabama,SEC,222,162,4,5,12,17,9,10,10,9,12,1,1,155,43,4,11,0,0,0,0,0,0,2846,2121,351,352,209,175,11,4,16,9,0,0,0,0,14472,11881,0,0,195,210,43,42,463,361,12,5,1710,1132,66,47,183,166,4307,3061,13,21
2005,Arizona,Pac-10,213,208,4,5,15,17,15,7,7,15,11,1,2,133,255,16,12,0,0,0,64,0,3,2663,2568,368,341,211,200,12,16,9,13,0,8,0,72,12028,12424,1,2,223,343,42,29,382,440,6,18,1342,2021,61,48,159,140,3864,4497,31,19
2005,Arizona State,Pac-10,314,286,9,8,17,21,11,16,16,11,12,1,1,97,100,11,12,0,0,0,0,0,0,4701,3615,493,413,312,246,10,11,18,21,0,0,0,0,12829,13419,2,1,389,287,36,32,447,493,17,19,1748,2157,77,66,172,170,6229,5625,22,28
2005,Arkansas,SEC,208,202,11,9,25,12,11,12,12,11,11,1,0,107,118,12,12,0,0,0,155,0,8,1749,2538,280,336,150,171,12,12,13,20,0,4,0,30,11802,12353,0,0,287,71,40,32,481,403,19,12,2386,1458,55,52,157,158,3967,3761,23,24
2005,Arkansas State,Sun Belt,219,240,3,11,11,18,11,13,13,11,12,1,0,307,99,10,13,0,0,0,0,0,0,2321,2397,299,339,162,193,13,10,13,17,0,7,0,51,12217,14038,1,0,395,190,41,26,481,529,21,22,2318,2246,59,60,166,165,4441,4546,21,26
2005,Army,FBS Independents,206,204,10,9,23,16,5,6,6,5,11,0,2,159,293,15,12,0,0,0,69,0,5,2108,1980,312,304,174,194,12,15,11,10,0,15,0,106,12259,10736,0,0,216,296,36,33,472,430,16,24,1543,1899,64,52,175,143,3475,3812,20,18
2005,Auburn,SEC,231,178,4,2,12,11,11,8,8,11,12,0,0,75,88,8,7,0,0,0,0,0,0,2586,2472,317,334,178,188,7,8,18,8,0,0,0,0,12567,11896,0,1,192,203,39,30,446,367,21,11,1939,1302,63,51,150,156,4346,3563,19,15
2005,BYU,Mountain West,306,261,8,6,16,16,7,13,13,7,12,0,1,79,171,13,9,0,0,0,58,0,4,3872,3352,516,411,332,259,9,13,27,25,0,8,0,78,14019,12122,0,0,189,124,36,18,418,420,24,17,1828,1773,71,67,174,162,5549,5005,20,22
2005,Ball State,Mid-American,173,228,8,7,16,20,9,13,13,9,11,1,2,60,92,7,8,0,0,0,0,0,0,2163,2734,312,338,193,211,8,7,18,24,0,0,0,0,9056,9886,0,2,2,289,1,42,383,411,6,18,1117,1834,49,56,158,143,3069,4475,16,21
2005,Baylor,Big 12,200,240,4,14,12,19,13,13,13,13,11,1,1,105,192,12,16,0,0,0,62,0,4,2482,2501,392,390,222,200,15,12,13,14,0,4,0,24,11897,12226,1,0,412,323,36,35,385,438,10,20,1209,1779,64,61,175,153,3497,4158,25,29
2005,Boise State,Western Athletic,292,246,12,8,28,26,16,14,14,16,13,2,0,221,123,19,15,0,0,0,36,0,2,3035,3629,390,504,226,276,13,19,20,30,0,8,0,73,14217,13730,3,0,593,163,50,37,560,421,36,9,2632,1403,79,63,190,189,5524,4806,35,29
2005,Boston College,ACC,254,222,7,5,12,15,11,8,8,11,12,1,3,62,172,12,11,0,0,0,0,0,0,3002,2828,416,426,260,260,11,12,17,10,0,0,0,0,11976,12122,0,1,264,360,42,42,449,420,21,6,1740,1090,73,61,177,192,4653,3740,23,19
2005,Bowling Green,Mid-American,232,205,8,7,19,21,8,8,8,8,11,1,0,147,55,10,13,0,0,0,0,0,0,2943,2311,380,286,223,171,13,10,24,18,0,0,0,0,10104,9906,0,1,262,45,30,17,377,431,15,19,1447,1761,57,54,153,146,4244,3913,18,21
