season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2010,Air Force,Mountain West,286,242,18,12,30,22,11,10,10,11,13,0,0,189,23,6,12,1,0,892,1190,39,56,1576,2034,168,321,88,176,12,6,12,10,58,56,526,453,14679,14429,0,0,164,45,27,19,748,549,41,24,3985,2620,94,92,186,195,5536,4541,17,22
2010,Akron,Mid-American,175,253,5,11,12,16,8,8,8,8,12,0,3,70,128,14,8,0,1,1227,687,65,32,2069,3307,349,357,174,226,8,14,12,29,65,67,546,629,12693,13827,0,0,36,193,21,45,393,457,10,18,1361,1969,61,73,175,169,3222,5138,22,16
2010,Alabama,SEC,287,191,9,15,14,22,9,4,4,9,13,2,0,239,13,5,22,1,0,986,1628,41,77,3562,2491,362,367,253,192,22,5,24,12,66,68,490,545,15071,13143,1,0,349,64,45,24,467,435,30,6,2378,1432,68,62,151,178,5773,3723,14,26
2010,Arizona,Pac-10,308,241,9,8,18,18,10,9,9,10,13,1,2,130,98,12,9,1,0,1103,1180,48,58,4221,2940,524,413,357,233,9,12,25,18,91,81,682,662,14285,14857,0,0,129,137,41,34,435,481,20,16,1712,1712,94,81,194,196,5712,4431,22,18
2010,Arizona State,Pac-10,255,248,8,7,14,18,6,6,6,6,12,1,2,154,182,17,12,3,0,1405,1228,51,58,3617,3118,464,430,279,271,12,17,23,18,96,72,835,623,11892,14177,1,1,309,369,49,35,413,441,19,14,1671,1443,72,61,180,182,5108,4386,23,18
2010,Arkansas,SEC,291,236,9,14,19,21,9,14,14,9,13,1,0,98,187,15,11,0,1,1047,1794,54,72,4495,2631,465,340,301,187,11,15,36,13,103,92,831,678,14331,14310,1,0,311,92,39,34,421,522,22,21,1935,2114,68,63,165,185,6273,4523,24,25
2010,Arkansas State,Sun Belt,262,256,7,13,16,19,12,14,14,12,12,1,0,173,188,12,11,0,0,1198,1059,55,51,3220,2967,436,337,264,193,11,12,23,24,83,93,699,739,11734,14650,0,0,97,131,27,24,420,552,23,21,1789,2483,52,75,153,185,4841,5245,24,25
2010,Army,FBS Independents,239,228,14,10,19,19,11,16,16,11,13,1,1,241,74,3,14,0,0,954,1262,51,63,1077,2774,138,327,72,187,13,3,7,22,55,73,532,563,15633,12496,0,0,142,81,33,27,728,426,34,18,3271,1809,89,60,193,144,4286,4397,14,30
2010,Auburn,SEC,343,300,5,12,8,25,10,10,10,10,14,1,0,94,45,7,12,1,0,1482,1772,63,92,3154,3831,296,515,194,325,12,7,31,25,78,69,740,565,15869,15657,0,0,136,50,40,27,652,448,41,16,3987,1527,86,69,162,184,6989,5157,17,22
2010,BYU,Mountain West,283,229,8,13,20,19,10,7,7,10,13,0,1,211,123,11,16,0,0,1041,1041,48,45,2754,2681,428,384,243,205,16,11,17,20,69,81,562,793,15396,13821,0,0,217,94,37,24,518,462,23,14,2185,1802,92,75,199,186,4764,4301,21,23
