season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2011,Air Force,Mountain West,301,273,26,11,32,16,18,14,14,18,13,0,1,67,90,8,12,0,2,938,1199,44,65,1885,2278,204,308,123,194,12,8,16,21,61,85,562,742,14019,14394,0,0,140,88,33,19,723,576,43,24,4092,2856,85,92,181,183,5913,5024,26,26
2011,Akron,Mid-American,189,263,13,8,24,15,13,11,11,13,12,0,2,0,163,11,2,0,0,1091,840,63,38,2182,2558,376,306,171,193,2,11,12,23,63,69,523,672,12485,14227,0,0,47,167,24,40,413,535,7,33,1373,2635,50,69,180,157,3333,5126,24,13
2011,Alabama,SEC,281,131,9,11,13,26,4,7,7,4,13,3,0,218,139,8,13,0,1,530,1821,23,84,2894,1646,357,334,237,164,13,8,16,6,49,59,369,453,16073,12881,1,0,507,51,62,28,508,386,34,3,2788,938,78,45,168,184,5585,2387,12,20
2011,Arizona,Pac-12,308,275,14,15,26,19,6,5,5,6,12,3,1,234,166,15,11,0,0,1199,1080,60,45,4633,3676,577,428,398,282,11,15,29,22,95,85,786,793,12734,13191,0,1,66,217,25,21,331,411,17,30,1134,1939,71,66,164,161,5583,5526,21,16
2011,Arizona State,Pac-12,308,280,10,12,20,20,10,16,16,10,13,1,1,223,328,13,15,3,1,1658,1548,67,67,4274,3735,527,450,333,296,15,13,27,21,104,103,1037,941,13457,15796,1,0,276,115,29,41,423,455,23,21,1678,1938,69,60,178,172,5795,5487,23,31
2011,Arkansas,SEC,277,244,11,11,16,22,15,9,9,15,13,0,3,215,125,7,12,2,0,974,1135,42,52,4095,2734,471,407,299,232,12,7,26,12,80,80,593,666,13626,15167,4,2,420,349,51,39,412,505,25,21,1786,2179,78,72,184,196,5695,4717,22,21
2011,Arkansas State,Sun Belt,277,214,16,11,26,25,11,8,8,11,13,1,1,214,214,15,17,0,0,817,1028,40,58,3634,2902,463,423,301,237,17,15,18,18,83,76,706,582,14070,13205,1,0,204,62,50,28,475,423,24,12,1872,1284,78,66,187,192,5333,3936,26,25
2011,Army,FBS Independents,254,225,18,5,34,10,30,8,8,30,12,1,0,151,33,4,8,0,0,1027,889,55,43,673,2101,97,245,37,141,8,4,5,19,49,58,436,450,15080,11641,0,2,55,134,24,18,740,480,35,24,4158,2349,72,68,158,140,4763,4321,34,16
2011,Auburn,SEC,227,291,6,8,12,13,8,12,12,8,13,2,4,180,231,13,11,2,0,1356,619,56,28,2219,2964,292,394,164,250,11,13,17,23,75,72,676,539,13288,16567,0,0,155,62,39,37,536,531,20,19,2370,2460,61,90,171,186,4392,5304,21,23
2011,BYU,FBS Independents,306,213,7,11,14,19,12,12,12,12,13,1,2,210,233,15,13,1,0,1071,1101,47,55,3302,2791,464,432,262,250,13,15,28,13,75,74,653,580,14906,13940,1,0,275,127,42,21,494,400,16,16,2084,1462,98,67,191,181,5274,4074,27,25
