season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2019,Air Force,Mountain West,286,215,16,13,21,28,12,9,14,21,13,3,0,240,161,6,7,0,0,93,772,13,39,1602,2844,126,377,68,238,7,6,14,21,42,54,368,392,26885,19914,0,0,6,38,5,7,755,375,41,11,3881,1307,32,8,73,67,84,64,157,158,5483,4151,18,16
2019,Akron,Mid-American,156,261,7,8,23,15,12,6,9,22,12,1,2,120,318,14,5,0,0,859,223,40,16,2344,2405,398,305,204,201,5,14,12,23,81,64,628,571,19072,24128,0,0,35,129,12,23,327,566,2,28,562,2562,12,72,64,137,42,98,161,185,2906,4967,26,11
2019,Alabama,SEC,318,248,13,7,19,19,4,11,17,6,13,2,2,245,220,6,17,1,0,637,469,31,43,4449,2434,406,410,287,230,17,6,49,15,95,75,855,628,23390,23380,3,0,531,101,24,11,436,467,27,9,2191,1783,37,17,101,84,80,66,153,185,6640,4217,10,28
2019,App State,Sun Belt,294,258,14,15,16,26,3,10,15,4,14,4,1,149,87,6,14,1,0,562,910,25,50,2815,2894,369,455,230,253,14,6,30,20,95,88,900,661,25733,24007,1,0,220,62,24,17,599,485,35,14,3240,1811,46,26,94,91,88,62,198,202,6055,4705,9,24
2019,Arizona,Pac-12,269,293,13,6,20,18,6,4,8,12,12,0,0,129,88,12,11,0,0,716,222,37,10,3193,3468,422,429,261,281,11,12,23,26,76,83,677,779,19733,23467,0,0,89,152,14,19,451,460,19,27,2088,2189,23,44,79,81,82,79,186,168,5281,5657,18,15
2019,Arizona State,Pac-12,233,273,9,13,16,24,10,15,25,14,13,1,0,113,7,4,13,0,0,606,771,23,41,3235,3487,383,465,233,296,13,4,21,24,85,81,818,676,22795,24004,1,0,247,154,19,20,459,463,13,15,1602,1629,33,41,104,96,72,79,187,193,4837,5116,14,28
2019,Arkansas,SEC,219,271,8,9,20,16,6,10,15,11,12,0,3,60,279,15,6,0,0,649,242,42,18,2315,2750,407,341,202,227,6,15,14,25,61,69,492,653,20031,23169,0,0,160,28,14,7,376,486,14,29,1766,2658,26,27,76,77,55,71,166,156,4081,5408,21,16
2019,Arkansas State,Sun Belt,287,315,13,20,23,37,11,7,10,15,13,2,0,205,74,11,12,1,1,954,816,50,48,4065,3417,469,461,298,280,12,11,37,23,99,78,878,747,21572,25223,0,0,228,112,24,13,456,557,13,32,1654,2801,31,55,96,97,78,74,193,195,5719,6218,22,19
2019,Army,FBS Independents,272,234,26,12,39,24,11,10,16,18,13,0,1,155,162,7,7,0,0,285,799,26,43,1066,2326,126,326,59,203,7,7,6,16,60,63,496,479,25472,21058,0,0,37,37,14,9,743,462,45,21,3863,2124,21,22,73,59,76,74,168,165,4929,4450,18,17
2019,Auburn,SEC,277,249,7,10,15,24,11,13,24,16,13,2,0,181,45,6,9,1,1,451,446,23,24,2684,2780,396,452,228,264,9,6,20,21,92,92,718,761,22683,23692,0,0,308,242,24,14,548,452,31,10,2591,1601,35,19,111,89,76,58,189,195,5275,4381,17,22
2019,BYU,FBS Independents,293,268,7,10,19,21,10,7,11,14,13,1,2,240,198,11,15,0,0,427,885,23,48,3700,2938,468,399,296,254,15,11,20,22,79,82,668,709,23231,23070,0,1,283,184,21,17,465,514,25,14,2068,2180,19,37,85,91,79,76,186,189,5768,5118,21,22
2019,Ball State,Mid-American,292,266,12,10,23,21,9,9,16,16,12,0,0,71,32,7,15,1,0,948,1129,43,62,2923,2941,373,391,239,229,15,7,24,11,71,73,635,620,21796,21345,0,2,112,303,14,20,536,482,27,34,2633,2161,21,42,91,109,71,72,173,175,5556,5102,16,24
2019,Baylor,Big 12,309,280,6,15,15,25,11,13,20,14,14,0,0,250,40,8,16,0,1,472,713,24,39,3571,3043,444,483,277,292,16,8,24,15,89,86,740,862,23734,26577,1,0,134,60,15,10,504,547,35,16,2329,1981,62,46,149,119,75,91,180,233,5900,5024,19,29
2019,Boise State,Mountain West,316,257,10,11,17,29,8,9,14,12,14,1,0,84,125,11,9,1,0,826,602,38,30,3664,3273,464,473,287,271,9,11,31,20,75,87,680,732,25981,24182,2,0,301,83,25,14,519,455,26,19,2309,1578,53,29,104,84,93,77,196,198,5973,4851,19,18
2019,Boston College,ACC,277,306,13,15,24,22,6,7,6,6,13,1,0,61,41,6,10,0,0,978,465,48,23,2288,3711,305,456,161,297,10,6,20,29,67,76,516,538,21691,25108,0,0,159,149,19,28,659,527,27,19,3291,2512,22,17,124,86,89,98,207,211,5579,6223,12,17
2019,Bowling Green,Mid-American,204,257,7,8,32,17,6,8,13,5,12,0,2,77,195,15,7,0,0,799,642,43,32,1888,2692,336,297,189,198,7,15,9,24,84,63,710,546,21114,22086,0,0,94,116,18,17,502,501,15,36,1941,2914,35,17,70,101,61,69,184,156,3829,5606,21,15
2019,Buffalo,Mid-American,276,199,16,14,25,33,8,11,20,12,13,2,2,152,111,6,11,0,0,181,772,12,38,1795,2571,278,352,150,206,11,6,14,17,64,67,580,525,26548,20067,0,0,94,165,14,16,659,428,36,15,3256,1224,57,10,95,77,87,60,194,178,5051,3795,14,22
2019,California,Pac-12,244,271,6,18,16,29,4,8,11,7,13,0,0,65,122,9,8,0,0,442,599,29,29,2561,3415,365,482,204,308,8,9,19,16,62,94,544,893,22639,24147,0,0,171,183,14,22,475,462,16,16,1710,1643,42,76,105,98,66,77,175,194,4271,5058,13,16
2019,Central Michigan,Mid-American,311,275,17,12,30,33,17,6,8,26,14,0,1,135,111,13,13,0,0,749,945,38,46,3531,3360,473,444,290,266,13,13,19,25,118,93,925,826,25435,24866,0,0,212,172,27,21,523,492,36,20,2545,1714,38,24,136,79,81,63,200,190,6076,5074,30,19
2019,Charlotte,Conference USA,270,251,13,15,23,19,5,6,8,7,13,1,1,101,167,14,9,0,1,380,589,30,24,2749,2435,321,312,195,193,9,14,24,23,68,75,594,744,24958,21842,1,3,127,238,19,20,527,512,26,27,2605,2517,50,33,107,82,64,68,157,164,5354,4952,19,15
2019,Cincinnati,American Athletic,291,277,11,5,17,19,9,10,18,13,14,3,0,300,154,11,16,0,1,590,1059,27,55,2552,3119,377,452,208,233,16,11,19,17,122,93,977,757,26673,23725,0,0,250,89,31,18,616,535,30,15,2937,1941,43,42,116,92,92,81,213,214,5489,5060,20,26
2019,Clemson,ACC,392,217,6,9,12,22,5,11,16,9,15,2,0,254,112,10,19,0,0,504,439,23,28,4325,2584,509,433,326,231,19,10,40,14,85,87,675,824,27242,26738,0,0,185,68,34,10,566,536,45,10,3606,1741,72,20,139,79,80,72,181,231,7931,4325,15,30
2019,Coastal Carolina,Sun Belt,267,242,23,12,29,17,8,6,8,12,12,0,2,127,115,9,11,0,0,267,1008,20,45,2379,2687,334,327,217,228,11,9,21,25,67,80,586,685,24056,19144,1,0,183,90,14,14,520,434,24,23,2346,1924,27,20,92,80,70,68,172,146,4725,4611,17,17
2019,Colorado,Pac-12,257,261,12,7,20,13,3,6,10,4,12,0,0,40,122,11,11,0,0,480,305,25,20,2858,3460,411,406,257,267,11,11,18,28,85,73,726,730,22027,21173,0,1,57,200,10,15,436,409,14,21,1804,1843,24,28,71,84,74,74,179,156,4662,5303,14,17
2019,Colorado State,Mountain West,257,238,11,15,21,22,13,7,13,25,12,1,1,105,119,11,6,1,1,591,498,34,23,3660,2179,445,316,279,183,6,11,21,19,80,76,782,650,21712,21488,0,0,142,93,21,17,395,495,18,23,1586,2350,34,32,97,92,67,60,169,168,5246,4529,24,13
2019,Duke,ACC,224,232,20,11,33,21,15,8,15,25,12,0,2,88,212,14,9,2,1,923,629,37,36,2152,2388,378,353,213,185,9,14,18,21,63,68,544,639,20898,22054,1,0,231,193,22,20,495,498,16,19,1804,2151,35,39,86,87,64,68,195,184,3956,4539,29,17
