season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2015,Air Force,Mountain West,300,230,14,11,23,20,11,7,7,11,14,1,0,92,96,12,11,0,1,669,825,33,34,1847,2942,170,387,87,205,11,12,15,23,53,77,532,587,27169,23231,1,0,139,98,15,14,816,483,45,20,4468,2026,84,73,196,200,6315,4968,23,18
2015,Akron,Mid-American,257,250,7,9,15,23,6,14,14,6,13,0,1,29,86,12,14,0,0,525,849,31,50,2508,3102,370,478,184,282,14,12,18,23,98,98,839,897,25600,21200,0,0,25,123,2,24,535,411,20,12,2134,1209,73,65,200,179,4642,4311,18,28
2015,Alabama,SEC,329,222,12,7,24,20,7,8,8,7,15,4,0,462,140,10,19,1,0,803,779,39,41,3407,3009,446,495,301,250,19,10,22,17,89,90,835,696,30191,23752,5,2,597,279,47,30,642,468,33,7,2999,1136,80,65,215,228,6406,4145,17,27
2015,App State,Sun Belt,292,223,15,12,24,24,13,6,6,13,13,3,2,280,70,9,18,0,0,804,919,38,41,2546,2378,297,374,180,223,18,9,33,10,84,79,739,688,24402,22398,0,0,99,119,20,18,605,497,25,14,3529,1710,73,66,170,194,6075,4088,22,24
2015,Arizona,Pac-12,320,299,10,10,27,18,10,5,5,10,13,2,2,98,162,10,11,0,0,729,1106,32,51,3548,3487,466,443,273,276,11,10,27,28,74,95,633,929,20521,26279,1,0,144,79,9,23,526,581,31,30,2886,2581,77,96,189,210,6434,6068,20,16
2015,Arizona State,Pac-12,305,271,10,11,18,19,10,6,6,10,13,2,1,189,57,9,15,1,1,1237,483,55,18,3887,4392,534,516,320,294,15,9,30,35,60,75,518,664,24584,22216,0,1,189,267,27,22,536,450,19,16,2319,1637,94,81,230,212,6206,6029,19,21
2015,Arkansas,SEC,304,261,12,9,21,20,3,7,7,3,13,0,0,80,50,8,11,0,1,782,1210,38,65,3486,3577,374,436,246,280,11,8,31,18,55,57,477,441,26824,19976,0,0,186,125,14,18,512,403,31,25,2565,1514,75,75,161,170,6051,5091,11,18
2015,Arkansas State,Sun Belt,290,256,10,5,20,15,11,8,8,11,13,6,3,503,235,15,26,2,1,1112,942,43,54,2693,3481,365,493,207,266,27,15,23,26,108,93,996,806,23748,23052,1,0,413,47,37,10,608,454,35,21,3007,1969,74,66,192,196,5700,5450,26,34
2015,Army,FBS Independents,194,215,9,7,22,8,13,5,5,13,12,0,0,98,15,9,6,0,0,691,541,38,29,1128,2525,108,306,49,186,6,9,10,13,48,75,474,567,23227,19973,1,0,135,76,24,14,616,436,24,26,2931,1982,70,68,160,163,4059,4507,22,11
2015,Auburn,SEC,257,295,9,13,15,28,5,5,5,5,13,1,1,144,131,12,14,0,0,950,384,34,18,2257,2892,306,458,179,278,14,12,11,13,62,61,603,472,22123,24619,0,1,179,87,15,7,587,523,28,24,2553,2375,74,89,179,199,4810,5267,17,19
