id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,offenseTimeouts,defenseTimeouts,wallclock
2324024590207,23240245902,232402459,2,7,Maryland,ACC,0,Northern Illinois,Northern Illinois,Maryland,Mid-American,0,1,"{'seconds': 30, 'minutes': 10}",16,16,1,10,6,False,Rush,Josh Allen (MARY) rushed up the middle for 6 yards.,0.1820990038493714,,,
2324024590208,23240245902,232402459,2,8,Maryland,ACC,0,Northern Illinois,Northern Illinois,Maryland,Mid-American,0,1,"{'seconds': 0, 'minutes': 10}",10,10,2,4,8,False,Rush,Josh Allen (MARY) rushed up the middle for 8 yards.,1.173388419770905,,,
2324024590204,23240245902,232402459,2,4,Maryland,ACC,0,Northern Illinois,Northern Illinois,Maryland,Mid-American,0,1,"{'seconds': 15, 'minutes': 11}",45,45,2,9,11,False,Pass Completion,Scott McBrien (MARY) pass left side complete to Jafar Williams (MARY) for 11 yards.,1.400782154645514,,,
2324024590211,23240245902,232402459,2,11,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,0,1,"{'seconds': 45, 'minutes': 8}",0,0,0,0,0,True,Extra Point Good,Extra point by Nick Novak (MARY) is good.,,,,
2324024590206,23240245902,232402459,2,6,Maryland,ACC,0,Northern Illinois,Northern Illinois,Maryland,Mid-American,0,1,"{'seconds': 0, 'minutes': 11}",34,34,1,10,18,False,Penalty,18 yard penalty on Huskies.,,,,
2324024592801,23240245928,232402459,27,1,Maryland,ACC,13,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,4,"{'seconds': 10, 'minutes': 9}",0,0,1,0,16,False,Kickoff Return (Offense),Kickoff returned by Dan Sheldon (NIU) for 16 yards.,,,,
2324024592005,23240245920,232402459,19,5,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 30, 'minutes': 13}",47,47,2,2,0,False,Rush,Josh Allen (MARY) rushed up the middle for no gain.,-1.267471633082744,,,
2324024592001,23240245920,232402459,19,1,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 55, 'minutes': 14}",67,67,1,10,-1,False,Rush,Josh Allen (MARY) rushed up the middle for -1 yards.,-1.1039242433392733,,,
2324024592002,23240245920,232402459,19,2,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 30, 'minutes': 14}",68,68,2,11,10,False,Pass Completion,Scott McBrien (MARY) pass right side complete to Rich Parson (MARY) for 10 yards.,1.0556312785845083,,,
2324024592008,23240245920,232402459,19,8,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 30, 'minutes': 11}",33,33,2,8,1,False,Rush,Josh Allen (MARY) rushed up the middle for 1 yard.,-0.6272466695412947,,,
2324024592003,23240245920,232402459,19,3,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 20, 'minutes': 14}",58,58,3,1,3,False,Rush,Josh Allen (MARY) rushed up the middle for 3 yards.,1.2007363965795488,,,
2324024592007,23240245920,232402459,19,7,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 0, 'minutes': 12}",35,35,1,10,2,False,Rush,Scott McBrien (MARY) rushed up the middle for 2 yards.,-0.3683205836524783,,,
2324024592010,23240245920,232402459,19,10,Maryland,ACC,10,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 0, 'minutes': 10}",29,29,4,4,46,True,Field Goal Good,46 yard field goal by Nick Novak (MARY) is good.,,,,
2324024592009,23240245920,232402459,19,9,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 45, 'minutes': 10}",32,32,3,7,3,False,Rush,Scott McBrien (MARY) rushed left side for 3 yards.,-0.3425963346387688,,,
2324024592006,23240245920,232402459,19,6,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 45, 'minutes': 12}",47,47,3,2,12,False,Rush,Josh Allen (MARY) rushed left side for 12 yards.,1.6294200868878586,,,
2324024592004,23240245920,232402459,19,4,Maryland,ACC,7,Northern Illinois,Northern Illinois,Maryland,Mid-American,10,3,"{'seconds': 0, 'minutes': 14}",55,55,1,10,8,False,Rush,Josh Allen (MARY) rushed right side for 8 yards.,0.9420759997342945,,,
