id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,offenseTimeouts,defenseTimeouts,wallclock
2331201500508,23312015005,233120150,5,8,Duke,ACC,7,Georgia Tech,Duke,Georgia Tech,ACC,0,1,"{'seconds': 50, 'minutes': 1}",79,21,1,10,-4,False,Rush,Senterrio Landrum (DUKE) rushed left side for -4 yards.,-0.79592320899093,,,
2331201500502,23312015005,233120150,5,2,Duke,ACC,7,Georgia Tech,Duke,Georgia Tech,ACC,0,1,"{'seconds': 24, 'minutes': 4}",35,65,2,11,-1,False,Rush,Khary Sharpe (DUKE) rushed right side for -1 yards.,-0.6291621707046113,,,
2331201500507,23312015005,233120150,5,7,Duke,ACC,7,Georgia Tech,Duke,Georgia Tech,ACC,0,1,"{'seconds': 10, 'minutes': 3}",73,27,2,5,6,False,Rush,Chris Douglas (DUKE) rushed left side for 6 yards.,0.160182374685461,,,
2331201500504,23312015005,233120150,5,4,Duke,ACC,7,Georgia Tech,Duke,Georgia Tech,ACC,0,1,"{'seconds': 30, 'minutes': 3}",34,66,3,12,13,False,Rush,Mike Schneider (DUKE) rushed up the middle for 13 yards.,2.8898974153703483,,,
2331201500503,23312015005,233120150,5,3,Duke,ACC,7,Georgia Tech,Duke,Georgia Tech,ACC,0,1,"{'seconds': 30, 'minutes': 3}",34,66,3,12,0,False,Timeout,Blue Devils timeout; 03:30 remaining 1st quarter,,,,
2331201502601,23312015026,233120150,25,1,Duke,ACC,27,Georgia Tech,Duke,Georgia Tech,ACC,10,3,"{'seconds': 2, 'minutes': 4}",100,0,0,0,29,False,Kickoff Return (Offense),Kickoff returned by Dennis Davis (GT) for 29 yards.,,,,
2331201502101,23312015021,233120150,20,1,Duke,ACC,20,Georgia Tech,Duke,Georgia Tech,ACC,10,3,"{'seconds': 10, 'minutes': 10}",92,8,1,0,2,False,Kickoff Return (Offense),Kickoff returned by Dennis Davis (GT) for 2 yards.,,,,
2331201503704,23312015037,233120150,36,4,Duke,ACC,34,Georgia Tech,Duke,Georgia Tech,ACC,17,4,"{'seconds': 18, 'minutes': 6}",47,53,3,4,0,False,Rush,Chris Dapolito (DUKE) rushed right side for no gain.,-0.9078276011078685,,,
2331201503701,23312015037,233120150,36,1,Duke,ACC,34,Georgia Tech,Duke,Georgia Tech,ACC,17,4,"{'seconds': 54, 'minutes': 8}",59,41,1,10,4,False,Rush,Cedric Dargan (DUKE) rushed up the middle for 4 yards.,-0.0951556089752721,,,
2331201503703,23312015037,233120150,36,3,Duke,ACC,34,Georgia Tech,Duke,Georgia Tech,ACC,17,4,"{'seconds': 18, 'minutes': 6}",47,53,3,4,0,False,Timeout,Yellow Jackets timeout; 06:18 remaining 4th quarter,,,,
2331201503702,23312015037,233120150,36,2,Duke,ACC,34,Georgia Tech,Duke,Georgia Tech,ACC,17,4,"{'seconds': 54, 'minutes': 8}",45,55,2,6,2,False,Rush,Cedric Dargan (DUKE) rushed up the middle for 2 yards.,-0.6755109994490383,,,
2331201503706,23312015037,233120150,36,6,Duke,ACC,34,Georgia Tech,Duke,Georgia Tech,ACC,17,4,"{'seconds': 11, 'minutes': 6}",47,53,4,4,-5,False,Penalty,5 yard penalty on Blue Devils.,,,,
