id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401013376104894401,40101337616,401013376,16,1,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,0,4,"{'seconds': 55, 'minutes': 10}",3,2,3,97,1,10,1,False,Rush,Andy Davidson run for 1 yd to the Army 4,-0.2184310249941177,2018-12-08T22:46:59.000Z
401013376104898901,40101337616,401013376,16,2,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,0,4,"{'seconds': 10, 'minutes': 10}",3,2,4,96,2,9,3,False,Rush,Darnell Woolfolk run for 3 yds to the Army 7,-0.05511885384399484,2018-12-08T22:47:30.000Z
401013376104906501,40101337616,401013376,16,3,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,0,4,"{'seconds': 34, 'minutes': 9}",3,2,7,93,3,6,5,False,Pass Reception,Kelvin Hopkins Jr. pass complete to Kell Walker for 5 yds to the Army 12,0.0249564255897603,2018-12-08T22:48:15.000Z
401013376104909701,40101337616,401013376,16,4,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,0,4,"{'seconds': 2, 'minutes': 9}",3,2,12,88,4,1,4,False,Punt,"Nick Schrage punt for 40 yds , Jacob Springer returns for 4 yds to the Army 48",,2018-12-08T22:50:18.000Z
401013376103914901,40101337612,401013376,12,7,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 50, 'minutes': 8}",3,3,59,41,2,8,2,False,Rush,Andy Davidson run for 2 yds to the Navy 39,-0.58318014721233,2018-12-08T21:59:46.000Z
401013376103917901,40101337612,401013376,12,8,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 20, 'minutes': 8}",3,3,61,39,3,6,11,False,Rush,Kelvin Hopkins Jr. run for 11 yds to the Navy 28 for a 1ST down,1.6825308480618004,2018-12-08T22:00:16.000Z
401013376103879901,40101337612,401013376,12,2,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 0, 'minutes': 12}",3,3,19,81,2,11,14,False,Pass Reception,Kelvin Hopkins Jr. pass complete to Zack Boobas for 14 yds to the Army 33 for a 1ST down,1.5913365530356867,2018-12-08T21:56:34.000Z
401013376103889901,40101337612,401013376,12,4,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 0, 'minutes': 11}",3,3,38,62,2,5,1,False,Rush,Kelvin Hopkins Jr. run for 1 yd to the Army 39,-0.8308401139162731,2018-12-08T21:57:44.000Z
401013376103935901,40101337612,401013376,12,11,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 40, 'minutes': 6}",3,3,86,14,1,10,2,False,Rush,Andy Davidson run for 2 yds to the Navy 12,-0.1755370905391265,2018-12-08T22:02:23.000Z
401013376103905901,40101337612,401013376,12,6,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 40, 'minutes': 9}",3,3,57,43,1,10,2,False,Rush,Andy Davidson run for 2 yds to the Navy 41,-0.5109950870570472,2018-12-08T21:59:04.000Z
401013376103925401,40101337612,401013376,12,9,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 45, 'minutes': 7}",3,3,72,28,1,10,2,False,Rush,Darnell Woolfolk run for 2 yds to the Navy 26,-0.2736731894519623,2018-12-08T22:01:16.000Z
401013376103875901,40101337612,401013376,12,1,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 40, 'minutes': 12}",3,3,20,80,1,10,-1,False,Rush,Jordan Asberry run for a loss of 1 yard to the Army 19,-0.6343354265717327,2018-12-08T21:55:43.000Z
401013376103949901,40101337612,401013376,12,13,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 0, 'minutes': 5}",3,3,84,16,3,12,0,False,Rush,Kell Walker run for no gain to the Navy 16,-0.6662720921943813,2018-12-08T22:03:51.000Z
401013376103898401,40101337612,401013376,12,5,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 15, 'minutes': 10}",3,3,39,61,3,4,18,False,Rush,Darnell Woolfolk run for 18 yds to the Navy 43 for a 1ST down,2.8006531875327854,2018-12-08T21:58:18.000Z
401013376103945401,40101337612,401013376,12,12,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 45, 'minutes': 5}",3,3,88,12,2,8,-4,False,Rush,Kelvin Hopkins Jr. run for a loss of 4 yards to the Navy 16,-0.6767797133355595,2018-12-08T22:02:55.000Z
401013376103956601,40101337612,401013376,12,14,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 33, 'minutes': 4}",3,3,84,16,4,12,33,True,Field Goal Good,John Abercrombie 33 yd FG GOOD,0.0668720712481488,2018-12-08T22:07:20.000Z
401013376103886901,40101337612,401013376,12,3,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 30, 'minutes': 11}",3,3,33,67,1,10,5,False,Rush,Darnell Woolfolk run for 5 yds to the Army 38,0.1068735075937823,2018-12-08T21:57:01.000Z
401013376103929901,40101337612,401013376,12,10,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 0, 'minutes': 7}",3,3,74,26,2,8,12,False,Rush,Kelvin Hopkins Jr. run for 12 yds to the Navy 14 for a 1ST down,0.4894044884113118,2018-12-08T22:01:51.000Z
401013376103849901,40101337611,401013376,11,1,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,3,"{'seconds': 0, 'minutes': 15}",3,3,35,65,1,10,33,False,Kickoff,"Landon Salyers kickoff for 56 yds , Malcolm Perry return for 33 yds to the Navy 42",,2018-12-08T21:52:09.000Z
401013376101988901,4010133765,401013376,5,6,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,1,"{'seconds': 10, 'minutes': 1}",3,2,59,41,3,7,6,False,Rush,Kelvin Hopkins Jr. run for 6 yds to the Navy 35,0.3037359391042695,2018-12-08T20:49:26.000Z
401013376102858301,4010133765,401013376,5,10,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,2,"{'seconds': 16, 'minutes': 14}",3,2,70,30,2,8,0,False,Pass Incompletion,Kelvin Hopkins Jr. pass incomplete to Christian Hayes,-0.728184745898302,2018-12-08T20:55:34.000Z
401013376101966601,4010133765,401013376,5,2,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,1,"{'seconds': 33, 'minutes': 3}",3,2,31,69,2,12,0,False,Pass Incompletion,Kelvin Hopkins Jr. pass incomplete to Kell Walker,-0.40436075291942153,2018-12-08T20:46:10.000Z
401013376102884101,4010133765,401013376,5,14,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,2,"{'seconds': 58, 'minutes': 11}",3,2,84,16,3,9,0,False,Pass Incompletion,Kelvin Hopkins Jr. pass incomplete to Jordan Asberry,-0.5780515645532986,2018-12-08T20:58:34.000Z
401013376101996401,4010133765,401013376,5,7,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,1,"{'seconds': 35, 'minutes': 0}",3,2,65,35,4,1,3,False,Rush,Darnell Woolfolk run for 3 yds to the Navy 32 for a 1ST down,1.5959614512811395,2018-12-08T20:50:36.000Z
401013376102859901,4010133765,401013376,5,11,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,2,"{'seconds': 0, 'minutes': 14}",3,2,70,30,3,8,13,False,Rush,Kelvin Hopkins Jr. run for 13 yds to the Navy 17 for a 1ST down,1.343348697920298,2018-12-08T20:56:36.000Z
401013376101968401,4010133765,401013376,5,3,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,1,"{'seconds': 15, 'minutes': 3}",3,2,31,69,3,12,25,False,Pass Reception,Kelvin Hopkins Jr. pass complete to Kell Walker for 25 yds to the Navy 44 for a 1ST down,3.6527980121562518,2018-12-08T20:47:21.000Z
401013376102854401,4010133765,401013376,5,9,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,0,2,"{'seconds': 55, 'minutes': 14}",3,2,68,32,1,10,2,False,Rush,Darnell Woolfolk run for 2 yds to the Navy 30,-0.3235476292174476,2018-12-08T20:54:52.000Z
