id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,offenseTimeouts,defenseTimeouts,wallclock
2428301201705,24283012017,242830120,15,5,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,3,"{'seconds': 48, 'minutes': 13}",25,75,2,10,1,False,Rush,Joel Statham (MARY) rushed up the middle for 1 yard.,-0.29282347426074384,,,
2428301201703,24283012017,242830120,15,3,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,3,"{'seconds': 22, 'minutes': 14}",16,84,2,5,9,False,Rush,Josh Allen (MARY) rushed up the middle for 9 yards.,0.6146330957455621,,,
2428301201702,24283012017,242830120,15,2,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,3,"{'seconds': 52, 'minutes': 14}",11,89,1,10,5,False,Rush,Josh Allen (MARY) rushed up the middle for 5 yards.,0.07118409266078807,,,
2428301201706,24283012017,242830120,15,6,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,3,"{'seconds': 18, 'minutes': 13}",26,74,3,9,-9,False,Sack,Joel Statham (MARY) sacked for a loss of 9 yards.,-0.30704854244231417,,,
2428301201704,24283012017,242830120,15,4,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,3,"{'seconds': 2, 'minutes': 14}",25,75,1,10,0,False,Pass Incompletion,Joel Statham (MARY) pass incomplete to the left side.,-0.7029700220436519,,,
2428301201707,24283012017,242830120,15,7,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,3,"{'seconds': 18, 'minutes': 13}",17,83,4,18,0,False,Punt Return,Punt by Adam Podlesh (MARY) no return by Yellow Jackets.,,,,
2428301201701,24283012017,242830120,15,1,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,3,"{'seconds': 52, 'minutes': 14}",21,79,1,10,-10,False,Penalty,10 yard penalty on Terrapins.,,,,
2428301201402,24283012014,242830120,14,2,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,2,"{'seconds': 14, 'minutes': 1}",52,48,2,10,0,False,Pass Incompletion,Joel Statham (MARY) pass incomplete to the left side.,-1.0509966519448302,,,
2428301201403,24283012014,242830120,14,3,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,2,"{'seconds': 10, 'minutes': 1}",52,48,3,10,0,False,Pass Incompletion,Joel Statham (MARY) pass incomplete to the right side.,-0.7682826649286678,,,
2428301201401,24283012014,242830120,14,1,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,2,"{'seconds': 17, 'minutes': 1}",52,48,1,10,0,False,Pass Incompletion,Joel Statham (MARY) pass incomplete across the middle.,-1.0742999147475647,,,
2428301201404,24283012014,242830120,14,4,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,10,2,"{'seconds': 4, 'minutes': 1}",52,48,4,10,0,False,Punt Return,Punt by Adam Podlesh (MARY) no return by Yellow Jackets.,,,,
2428301202204,24283012022,242830120,20,4,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,17,3,"{'seconds': 57, 'minutes': 5}",7,93,4,17,0,False,Pass Incompletion,Jordan Steffy (MARY) pass incomplete to the left side.; turnover on downs.,0.3933420764809359,,,
2428301202201,24283012022,242830120,20,1,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,17,3,"{'seconds': 17, 'minutes': 6}",14,86,1,10,-2,False,Rush,Vernon Davis (MARY) rushed left side for -2 yards.,-0.522030626580742,,,
2428301202202,24283012022,242830120,20,2,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,17,3,"{'seconds': 7, 'minutes': 6}",12,88,2,12,-3,False,Sack,Jordan Steffy (MARY) sacked for a loss of 3 yards.,-0.1717068581079797,,,
2428301202203,24283012022,242830120,20,3,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,17,3,"{'seconds': 7, 'minutes': 6}",9,91,3,15,0,False,Fumble Recovery (Own),"Terrapins fumble by Jordan Steffy (MARY), recovered by Jordan Steffy (MARY), advanced for no gain.",-0.03210095207487473,,,
2428301201103,24283012011,242830120,11,3,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,7,2,"{'seconds': 34, 'minutes': 5}",14,86,3,16,3,False,Pass Completion,Joel Statham (MARY) pass right side complete to Steve Suter (MARY) for 3 yards.,-0.01763464801299984,,,
2428301201102,24283012011,242830120,11,2,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,7,2,"{'seconds': 14, 'minutes': 6}",20,80,2,10,-6,False,Pass Completion,Joel Statham (MARY) pass right side complete to Josh Allen (MARY) for -6 yards.,-0.39643150107339764,,,
2428301201101,24283012011,242830120,11,1,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,7,2,"{'seconds': 44, 'minutes': 6}",20,80,1,10,0,False,Rush,Joel Statham (MARY) rushed up the middle for no gain.,-0.5586693796725282,,,
2428301201104,24283012011,242830120,11,4,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,7,2,"{'seconds': 34, 'minutes': 5}",17,83,4,13,0,False,Punt Return,Punt by Adam Podlesh (MARY) no return by Yellow Jackets.,,,,
2428301200403,24283012004,242830120,4,3,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,0,1,"{'seconds': 38, 'minutes': 8}",44,56,1,10,9,False,Pass Completion,Joel Statham (MARY) pass left side complete to Derrick Fenner (MARY) for 9 yards.,1.257116610962765,,,
2428301200404,24283012004,242830120,4,4,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,0,1,"{'seconds': 38, 'minutes': 8}",53,47,2,1,7,False,Rush,Josh Allen (MARY) rushed up the middle for 7 yards.,-0.0759829735208,,,
2428301200407,24283012004,242830120,4,7,Maryland,ACC,0,Georgia Tech,Maryland,Georgia Tech,ACC,0,1,"{'seconds': 51, 'minutes': 7}",50,50,2,20,-11,False,Sack,Joel Statham (MARY) sacked for a loss of 11 yards.,-1.1881455231624676,,,
